子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2参数2	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
4000100	40001	1			1		1	31101	3											4	4000100																																1																																			
4000101	40001	2					1	31101	3											6	1154																						1		Q40001Target1		3	4	2				1																														201301		1050			
4000102	40001	3			1		1	4000101	3											2	4000102																																																														201301		1050			
4000112	40001	4					1	99902	3											6	1161																						1		Q4000103_Player		3	4	2				1																																			
4000103	40001	5					1	4000102	3											2	4000103																						2		2026		3	2	2				1																																			
4000110	40001	6					1	4000103	3											2	4000110																						2		2004		3	2	2				1																															2004	1050			
4000111	40001	7					1	4000110	3											5	200004																						1		Q40001Target2		3	2	2				1																																			
4000104	40001	8	1				1	4000111	3											2	7202901																						2		2029		3	2	2							23	40010601	1																										2029	1050			
4000105	40001	9					1	99902	3											2	4000105																						2		2004		3	2	2							23	40010601	1																										2004	1050			
4000106	40001	10	1				1	4000111	3											2	7209301																						2		2093		3	2	2							23	40010601	1																										2093	1050			
4000109	40001	11	1				1	4000111	3											2	7202501																						2		2025		3	2	2							23	40010601	1																										2025	1050			
4000107	40001	12			1		1	4000111	3											24	40010601			3																																																																
4000108	40001	13			1		1	4000111	3											4	4000108																														1		1			15	3	301001009																														
4000201	40002	1			1		1	4000108	3											4	4000201																																																																			
4000202	40002	2					1	4000108	3											2	4000202																						2		2029		3	2	2							37	10017		37	10018																								2029	1050			
4000203	40002	3		1			1	4000202	3											5	100237																						1		Q40002Target3	30	3	4	2																																							
4000204	40002	4		1			1	4000202	3											5	100238																						1		Q40002Target4	30	3	4	2																																							
4000216	40002	5			1		1	4000202	3											4	4000216																																1																																			
4000205	40002	6				1	1	4000203	3		1	4000204	3							2	4000205																						2		2029		3	2	2							38	10017		38	10018		29	100237,100238																					2029	1050			
4000206	40002	7					1	4000205	3											6	1158																						1		Q40002Target1	30	3	4	2				1																																			
4000207	40002	8			1		1	99902	3											2	4000207																																																																			
4000208	40002	9					1	4000206	3											2	4000208																						2		10205		3	2	2				1																																			
4000209	40002	10			1		1	4000208	3											25	70710041																																			23	40002121	1																														
4000210	40002	11			1		1	4000208	3											25	70710042																																			23	40002121	1																														
4000211	40002	12			1		1	4000208	3											25	70710043																																			23	40002121	1																														
4000212	40002	13	1				1	4000208	3											24	40002121			3																			1		Q40002Search2	50	3	4	2																																							
4000213	40002	14			1		1	4000208	3											4	4000113																																1																																			
4000214	40002	15			1		1	4000213	3											2	4000214																																1																																			
4000215	40002	16					1	4000214	3											2	4000215																						2		2056		3	2	2		1		1																															2056	1050			
4000301	40003	1			1		1	4000215	3											4	4000301																																1																																			
4000302	40003	2					1	4000215	3											2	4000302																						2		2056		3	2	2				1			37	10019																											2056	1050			
4000305	40003	3					1	4000302	3											4	4000305																						1		Q40003Target1	40	3	4	2				1																																			
4000303	40003	4		1			1	4000305	3										1	20			3010010021	1	20			3010010022	1														1		Q40003Target1	40	3	4	2				1																					19	3	301001002,1												
4000304	40003	5					1	4000303	3											2	4000304																						2		242801		3	2	2				1			38	10019																										242801		1050			
4000306	40003	6					1	4000304	3											6	1158																						1		Q40002Target1		3	4	2				1																																			
4000307	40003	7			1		1	4000306	3											2	4000307																																																																			
4000308	40003	8					1	99902	3											6	1161																																1																																			
4000309	40003	9					1	4000307	3											2	4000309																						2		 10204		3	2	2		1		1																														 10204		1050			
4000400	40004	1			1		1	4000309	3											4	4000400																						1		Q40004Target1		1009	4	2				1																																			
4000401	40004	2					1	4000309	3											17	1009																						1		Q40004Target1		1009	4	2				1																																			
4000402	40004	3					1	4000401	3											2	4000402																						2		1004		1009	2	2				1																														1004		1050			
4000403	40004	4					1	4000402	3											2	4000403																						2		146101		3	2	2				1	100242	1	37	10020																										146101		1050			
4000404	40004	5					1	99902	3											17	1004																						1		Q40004Target1		1004	4	2				1																																			
4000405	40004	6					1	99902	3											2	4000405																						2		1004		1004	2	2				1																																			
4000406	40004	7					1	4000403	3											6	1162																						1		Q40004Target2	80	3	4	2				1																																			
4000409	40004	8		1			1	4000406	3											2	4000409																						2		10207		3	2	2																																		10207,10208		1050			
4000407	40004	9		1			1	4000409	3											20			301001005	1											8	4000407							1		Q40004Target3	30	3	4	2				1			19	3	301001005,2	20	15					14	4000406		19	3	301001005,2	20	15		19	3	301001005,1	12	15					10207,10208		1050	15		
4000408	40004	10		1	1		1	4000407	3											2	4000408																						2		10207		3	2	2		1		1																														10207,10208		1050			
4000500	40005	1			1		1	4000408	3											4	4000500																						1		Q40005Player		3	4	2				1																																			
4000501	40005	1					1	4000408	3											6	1163																						1		Q40005Player		3	4	2				1			38	10020		37	10021																							10205		1050			
4000502	40005	2		1			1	4000501	3											2	4000502																						2		10205		3	2	2				1			19	3	301001006,1																19	3	301001006,2							10205		1050			
4000503	40005	3		1			1	4000502	3											20			301001006	1																			1		Q40005Player	30	3	4	2							19	3	301001006,2																									10205		1050			
4000504	40005	4		1	1		1	4000503	3											2	4000504																																1			38	10021																										10205		1050			
4000505	40005	5					1	4000504	3											2	4000505																						2		10204		3	2	2				1																														 10204		1050			
4000506	40005	6		1			1	4000505	3											6	1164																						1		Q40005Target1		3	4	2		1		1			15	3	301001009																														
4000601	40006	1			1															4	4000601																														1		1			19	3	133107011,1	19	3	133107018,1													19	3	133107011,2	19	3	133107018,2									
4000703	40007	1			1		1	4000205	3											4	4000703																																																														10205		1050			
4000701	40007	2			1		1	4000703	3											4	4000701														8	4000701																	1																														10205		1050			
4000702	40007	3			1		1	4000701	3											4	4000702														8	4000702																				14	4000701																										10205		1050			
4000704	40007	4			1		1	4000703	3											4	4000704														8	4000701															1																																					
4000801	40008	1			1	1	1	4000203	3		1	4000204	3							2	4000205																														1		1																																			
4000901	40009	1			1		1	4000103	3											2	4000110																														1		1																																			
