子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
2100101	21001	1			1		1	99902	3										2	2	2100101				2	2100102			2	2100103																																																														0.1
2100102	21001	2			1		1	99902	3											6	1170																																																																							0.1
2100103	21001	3			1		1	99902	3										2	6	1136				6	1166			6	1167																																																														0.1
2100104	21001	4				2	1	99902	3		1	2100102	3		1	2100103	3			6	1135																							1		Q2100102_Target		3	1	2				1			15	3	133103010																																	0.1
2100105	21001	15	1				1	99902	3											24	210010401			3																														1			15	3	133103010		23	2100113	1																													0.1
2100106	21001	20					1	99902	3											6	1169																							1		Q2100102_Target		3	3	2		1		1			15	3	133103010																																	0.1
2100110	21001	10			1		1	99902	3											20			133103010_progress1	1																														1			23	210010401	1																																	0.1
2100111	21001	11			1		1	99902	3											20			133103010_progress2	1																														1			23	210010401	1																																	0.1
2100112	21001	12			1		1	99902	3											20			133103010_progress3	1																														1			23	210010401	1																																	0.1
2100113	21001	16			1		1	99902	3											24	2100113			1																														1																																						0.1
2100201	21002	1			1		1	35104	3											20			133103106_start	1																																																																			0.3	
2100202	21002	2					1	2100201	3											2	2100202																																	1																																					0.3	
2100203	21002	8	1		1		1	2100202	3											24	210020301			5																														1			15	3	133103106																																0.3	
2100204	21002	9					1	2100203	3											20			133103106_activate	1																														1			15	3	133103106																																0.3	
2100205	21002	10					1	2100204	3											20			133103106_finish	1																												1		1			15	3	133103106																																0.3	
2100206	21002	3					1	2100202	3											20			133103106_progress1	1																				1		Q2100206_Target	40	3		2				1			23	210020301	1																																0.3	
2100207	21002	4					1	2100202	3											20			133103106_progress2	1																				1		Q2100207_Target	40	3		2				1			23	210020301	1																																0.3	
2100208	21002	5					1	2100202	3											20			133103106_progress3	1																				1		Q2100208_Target	40	3		2				1			23	210020301	1																																0.3	
2100209	21002	6					1	2100202	3											20			133103106_progress4	1																				1		Q2100209_Target	40	3		2				1			23	210020301	1																																0.3	
2100210	21002	7					1	2100202	3											20			133103106_progress5	1																				1		Q2100210_Target	40	3		2				1			23	210020301	1																																0.3	
2100301	21003	1			1															2	2100302																							2		2429		3	1	2																																										
2100311	21003	11			0		1	2100301	3											20			133102073362	1																				1		IQ2100311TargetPoint		3																														19	3	133102297,2												
2100399	21003	99			0		1	2100311	3											2	2100399																							2		2429		3	3	2		1					15	3	133102142																																	
2100401	21004	1			1															2	2100401																																																																							
2100402	21004	2			1		1	2100401	3											2	2100402																																																																							
2100403	21004	5			1		1	2100402	3											24	210040301			4																														1			23	2100414	1																			15	3	133104053												
2100410	21004	10	1		0		1	2100402	3											20			133104053_progress1	1																														1	100445	1	23	210040301	1																																	
2100411	21004	11	1		0		1	2100402	3											20			133104053_progress2	1																														1	100444	1	23	210040301	1																																	
2100412	21004	12	1		0		1	2100402	3											20			133104053_progress3	1																				1		Q21004_ClueWind	70	3						1	100442	1	23	210040301	1																																	
2100413	21004	13	1		0		1	2100402	3											20			133104053_progress4	1																														1	100443	1	23	210040301	1																																	
2100414	21004	14			1		1	2100402	3											24	2100414			1																														1																																						
2100420	21004	20			0		1	2100403	3											2	2100420																							2		2211		3	4	2				1			15	3	133104053																																	
2100421	21004	21			0		1	2100420	3											20			find_secret	1																														1																																						
2100430	21004	30			0		1	2100421	3											20			unlock_dungeon	1																														1																																						
2100440	21004	40			0		1	2100430	3										2	20			get_reward		11	5000	133																	1		Q21004_TreasureBox		3						1																																						
2100450	21004	50			0		1	2100440	3											2	2100450																							2		2211		3	3	2		1		1			15	3	133104053		29	100442,100443,100444,100445																														
2100501	21005	1			1															2	2100508																																	1																																						
2100509	21005	2			1		1	2100501	3											4	2100509																																																																							
2100502	21005	3			1		1	2100509	3											20			1331041380101	1										20			1331041380102	1																			34	26600	1	100									14	2100501								15	3	133104138												
2100503	21005	4			1		1	2100502	3											2	2100509																																	1																																						
2100510	21005	5			1		1	2100503	3											4	2100510																																																																							
2100504	21005	6			1		1	2100510	3											20			1331041380201	1										20			1331041380202	1																															14	2100503								15	3	133104138												
2100505	21005	7			1		1	2100504	3											2	2100510																																	1																																						
2100511	21005	8			1		1	2100505	3											4	2100511																																																																							
2100506	21005	9			1		1	2100511	3											20			1331041380301	1										20			1331041380302	1																															14	2100505								15	3	133104138												
2100507	21005	10			1		1	2100506	3											2	2100511																																	1																																						
2100512	21005	11			1		1	2100507	3											4	2100512																																																																							
2100508	21005	12			1		1	2100512	3											20			1331041380401	1										20			1331041380402	1																			14	2100507											14	2100507								15	3	133104138												
2100701	21007	1			1															2	2100701			1																																																																				
2100702	21007	2			1		1	2100701	3											24	210070201			4																														1			15	3	133105169		23	2100709	1															19	3	133105167,2												
2100703	21007	3	1				1	2100701	3											20			133105167_progress1	1																				1		Q2100703_Target	40	3		2							23	210070201	1																																	
2100704	21007	4	1				1	2100701	3											20			133105167_progress2	1																				1		Q2100704_Target	40	3		2							23	210070201	1																																	
2100705	21007	5	1				1	2100701	3											20			133105167_progress3	1																				1		Q2100705_Target	40	3		2							23	210070201	1																																	
2100706	21007	6	1				1	2100701	3											20			133105167_progress4	1																				1		Q2100706_Target	40	3		2							23	210070201	1																																	
2100709	21007	7			1		1	2100701	3											24	2100709			1																														1																																						
2100707	21007	8					1	2100702	3											20			133105169_progress1	1																				1		Q2100707_Target	40	3		2				1			15	3	133105167																			19	3	133105169,2												
2100708	21007	9					1	2100707	3											7	133105168			1										21																		1		1			15	3	133105170										14	2100707								19	3	133105168,2												
2100800	21008	1			1															2	2100800																																																																							
2100801	21008	2			1		1	2100800	3											2	2100802																																																																							
2100802	21008	3			1		1	2100801	3											24	210080201			3																														1			23	2100806	1																			19	3	133104217,1												
2100803	21008	4	1		0		1	2100801	3											20			133104217_progress1	1																				1		Q21008Touch01		3						1			23	210080201	1																																	
2100804	21008	5	1		0		1	2100801	3											20			133104217_progress2	1																				1		Q21008Touch02		3						1			23	210080201	1																																	
2100805	21008	6	1		0		1	2100801	3											20			133104217_progress3	1																				1		Q21008Touch03		3						1			23	210080201	1																																	
2100806	21008	7			1		1	2100801	3											24	2100806			1																														1																																						
2100810	21008	10			0		1	2100802	3											2	2100810																							2		2428		3	3	2		1		1			15	3	133104217																																	
2100900	21009	1			1															2	2100900																																	1																																						
2100910	21009	2			1		1	2100900	3											2	2100901																																	1																																						
2100920	21009	3			0		1	2100910	3											27	7																							2		2430		3	3	2				1																								28	7													
2100930	21009	4			0		1	2100920	3											2	2100930																							2		2430		3	3	2		1		1			15	3	133104241																																	
2101001	21010	1			1		17	1												20			2101001	1																												1		1			22	2006	0		22	2009	1															19	3	133105180,2												
2101101	21011	1			1		17	1																																																																																			0.3	
2101102	21011	2			1		1	2101101	3											2	2101101																																	1																																					0.3	
2101103	21011	3			1		1	2101101	3											24	210110301			6																														1																																					0.3	
2101110	21011	4	1		1		1	2101102	3											27	2101110																																	1	100001	5	23	210110301	1																			28	2101110												0.3	
2101105	21011	5	1		1		1	2101110	3											27	2101105																																	1	100001	5	23	210110301	1																			28	2101105												0.3	
2101106	21011	6	1		1		1	2101105	3											27	2101106																																	1	100001	5	23	210110301	1																			28	2101106												0.3	
2101107	21011	7	1		1		1	2101106	3											27	2101107																																	1	100001	5	23	210110301	1																			28	2101107												0.3	
2101108	21011	8	1		1		1	2101107	3											27	2101108																																	1	100001	5	23	210110301	1																			28	2101108												0.3	
2101109	21011	9	1		1		1	2101108	3											27	2101109																																	1	100001	5	23	210110301	1																			28	2101109												0.3	
2101104	21011	10			1		1	2101103	3											2	2101103																															1		1																																					0.3	
2101201	21012	1			1		1	99902	3											2	2101000			1																																																																				
2101202	21012	2					1	2101201	3											24	133104279			6																														1			23	2101210	1																			19	3	133104279,2	15	3	133104279									
2101203	21012	3	1				1	2101201	3											20			133104279_1	1																				1		Q21012_Pile_01		3						1			23	133104279	1																																	
2101204	21012	4	1				1	2101201	3											20			133104279_2	1																				1		Q21012_Pile_02		3						1			23	133104279	1																																	
2101205	21012	5	1				1	2101201	3											20			133104279_3	1																				1		Q21012_Pile_03		3						1			23	133104279	1																																	
2101206	21012	6	1				1	2101201	3											20			133104279_4	1																				1		Q21012_Pile_04		3						1			23	133104279	1																																	
2101207	21012	7	1				1	2101201	3											20			133104279_5	1																				1		Q21012_Pile_05		3						1			23	133104279	1																																	
2101208	21012	8	1				1	2101201	3											20			133104279_6	1																				1		Q21012_Pile_06		3						1			23	133104279	1																																	
2101210	21012	9			1		1	2101201	3											24	2101210			1																														1																																						
2101209	21012	10					1	2101202	3											2	2101002																							1		Q21012		3				1		1			15	3	133104279																																	
2101501	21015	1			1															2	2101206			1																																																																				
2101502	21015	2			1		1	2101501	3											24	133102357			2																														1			15	3	133102357		23	2101506	1															19	3	133102356,2												
2101503	21015	3	1				1	2101501	3											25	70710021																							1		Q21015hua01	30	3		2				1			23	133102357	1		15	3	133102357																													
2101504	21015	4	1				1	2101501	3											25	70710022																							1		Q21015hua02	30	3		2				1			23	133102357	1		15	3	133102357																													
2101506	21015	5			1		1	2101501	3											24	2101506			1																														1																																						
2101505	21015	6					1	2101502	3											25	70710023																							1		Q21015hua03		3	4	2		1		1			15	3	133102357																			19	3	133102356,3												
2101901	21019	1			1															20			133102008_1	1																																																																				
2101902	21019	2					1	2101901	3											2	2100602			1										24	2101907	1								1		Q21019biji		3	4	2																			19	3	133102249,1																					
2101903	21019	3			1		1	2101902	3											24	133102008			3										24	2101907	1																		1			15	3	133102503		23	2101908	1		15	3	133102699		19	3	133102249,1							19	3	133102249,2	15	3	133102699									
2101904	21019	4	1				1	2101902	3											20			133102008_3	1										24	2101907	1								1		Q21019_fang	30	3		2				1			23	133102008	1		15	3	133102503						19	3	133102249,1																					
2101905	21019	5	1				1	2101902	3											20			133102008_4	1										24	2101907	1								1		Q21019_sanjiao	30	3		2				1			23	133102008	1		15	3	133102503						19	3	133102249,1																					
