子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4复杂参数	[完成条件]4次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
2210001	22100	1					9	25300																2	2210001																											2		2202		3	1	1				1																																	2202					
2210002	22100	2				1	9	25300			1	2210001	3											20			13310227201	1																								1		Event_25300_01	40	3	2	2				1															19	3	133102272,1							19	3	133102272,2							2202					
2210003	22100	3				1	9	25300			1	2210002	3											2	2210003																											2		2202		3	3	2		1		1			19	3	133102272,1		24	25300																									2202					
2210101	22101	1					9	25301																2	2210101																											2		2202		3	1	1				1																																	2202					
2210102	22101	2				1	9	25301			1	2210101	3											20			13310207201	1																								1		Event_25300_02	40	3	2	2				1															19	3	133102072,1							19	3	133102072,2							2202					
2210103	22101	3				1	9	25301			1	2210102	3											2	2210103																											2		2202		3	3	2		1		1			19	3	133102072,1		24	25301																									2202					
2210201	22102	1					9	25302																2	2210201																											2		2202		3	1	1				1																																	2202					
2210202	22102	2				1	9	25302			1	2210201	3											20			13310239001	1																								1		Event_25300_03	40	3	2	2				1															19	3	133102390,1							19	3	133102390,2							2202					
2210203	22102	3				1	9	25302			1	2210202	3											2	2210203																											2		2202		3	3	2		1		1			19	3	133102390,1		24	25302																									2202					
2210301	22103	1					9	25400																2	2210301																											2		2208		3	1	1				1																																	2208					
2210302	22103	2				1	9	25400			1	2210301	3											20			13310525401	1																								1		Event_25400_01		3	4					1															19	3	133105254,1							19	3	133105254,2							2208					
2210303	22103	3				1	9	25400			1	2210302	3											20			13310525402	1																								1		Event_25400_01	40	3	2	2				1															19	3	133105254,1																2208					
2210304	22103	4				1	9	25400			1	2210303	3											2	2210303																											2		2208		3	3	2		1		1			19	3	133105254,1		24	25400																									2208					
2210401	22104	1					9	25401																2	2210401																											2		2208		3	1	1				1																																	2208					
2210402	22104	2				1	9	25401			1	2210401	3											20			13310525501	1																								1		Event_25400_02		3	4					1															19	3	133105255,1							19	3	133105255,2							2208					
2210403	22104	3				1	9	25401			1	2210402	3											20			13310525502	1																								1		Event_25400_02	40	3	2	2				1															19	3	133105255,1																2208					
2210404	22104	4				1	9	25401			1	2210403	3											2	2210403																											2		2208		3	3	2		1		1			19	3	133105255,1		24	25401																									2208					
2210501	22105	1					9	25402																2	2210501																											2		2208		3	1	1				1																																	2208					
2210502	22105	2				1	9	25402			1	2210501	3											20			13310525601	1																								1		Event_25400_03		3	4					1															19	3	133105256,1	19	3	133104058,1				19	3	133105256,2	19	3	133104058,2				2208					
2210503	22105	3				1	9	25402			1	2210502	3											20			13310525602	1																								1		Event_25400_03	40	3	2	2				1															19	3	133105256,1	19	3	133104058,1													2208					
2210504	22105	4				1	9	25402			1	2210503	3											2	2210503																											2		2208		3	3	2		1		1			19	3	133105256,1		24	25402			19	3	133104058,1																				2208					
2210601	22106	1					9	25100																2	2210601																											2		2017		3	1	1				1																																	2017,2074,2030,2031,207401,203001,203101					
2210602	22106	2				1	9	25100			24	0	1											2	2210602																											2		207401	20	3	2	2				1	100377	1	23	2210613	1																																	
2210603	22106	3				1	9	25100			24	0	2											2	2210603																											2		207401	20	3	2	2				1	100378	1	23	2210613	1																																	
2210604	22106	4				1	9	25100			24	0	3											2	2210604																											2		207401	20	3	2	2				1	100379	1	23	2210613	1																																	
2210605	22106	5				1	9	25100			24	1	1											2	2210605																											2		203001	20	3	2	2				1	100380	1	23	2210613	1																																	
2210606	22106	6				1	9	25100			24	1	2											2	2210606																											2		203001	20	3	2	2				1	100381	1	23	2210613	1																																	
2210607	22106	7				1	9	25100			24	1	3											2	2210607																											2		203001	20	3	2	2				1	100382	1	23	2210613	1																																	
2210608	22106	8				1	9	25100			24	2	1											2	2210608																											2		203101	20	3	2	2				1	100383	1	23	2210613	1																																	
2210609	22106	9				1	9	25100			24	2	2											2	2210609																											2		203101	20	3	2	2				1	100384	1	23	2210613	1																																	
2210610	22106	10				1	9	25100			24	2	3											2	2210610																											2		203101	20	3	2	2				1	100385	1	23	2210613	1																																	
2210611	22106	13				1	9	25100			1	2210614	3											4	2210611																	8	2210611									2		2017		3	3	1		1		1			24	25100			18	100377:999,100378:999,100379:999,100380:999,100381:999,100382:999,100383:999,100384:999,100385:999																									2017,2074,2030,2031,207401,203001,203101					
2210612	22106	14			1	1	9	25100			1	2210614	3											4	2210612																											2		2017		3	3	1		1		1			24	25100			18	100377:999,100378:999,100379:999,100380:999,100381:999,100382:999,100383:999,100384:999,100385:999																														
2210613	22106	11			1	1	9	25100			1	2210601	3											24	2210613			3																								2		2017		3	2	1				1																																						
2210614	22106	12			1	1	9	25100			1	2210601	3											4	2210614																											2		2017		3	2	1				1																																						
2210701	22107	1					9	25200																2	2210701																											2		200101		3	1	1				1																																	2001,200101					
2210702	22107	2				1	9	25200			24	0	1											20			13310790401	1																								1		Event_25200_01		3	4					1			23	2210707	1		19	3	133107904,1															19	3	133107904,2												
2210703	22107	3				1	9	25200			24	0	2											20			13310790501	1																								1		Event_25200_02		3	4					1			23	2210707	1		19	3	133107905,1															19	3	133107905,2												
2210704	22107	4				1	9	25200			24	0	3											20			13310790601	1																								1		Event_25200_03		3	4					1			23	2210707	1		19	3	133107906,1															19	3	133107906,2												
2210705	22107	5				1	9	25200			24	0	4											20			13310790701	1																								1		Event_25200_04		3	4					1			23	2210707	1		19	3	133107907,1															19	3	133107907,2												
2210706	22107	6				1	9	25200			24	0	5											20			13310790801	1																								1		Event_25200_05		3	4					1			23	2210707	1		19	3	133107908,1															19	3	133107908,2												
2210707	22107	7			1	1	9	25200			1	2210701	3											24	2210707			1																																																																								
2210708	22107	8			1	1	9	25200			1	2210701	3											24	2210707			2																																																																								
2210720	22107	9			1	1	9	25200			1	2210701	3											4	2210720																																					1																																						
2210709	22107	10				1	9	25200			1	2210708	3											2	2210709																											2		200101		3	3	1				1																																	2001,200101					
2210710	22107	11			1	1	9	25200			24	0	1											2	2210710																	20			13310790402	1						2		200101		3	3	1				1			23	2210715	1																																	
2210711	22107	12			1	1	9	25200			24	1	1											2	2210711																											2		200101		3	3	1				1			23	2210715	1																																	
2210712	22107	13			1	1	9	25200			24	2	1											2	2210712																	20			13310790602	1						2		200101		3	3	1				1			23	2210715	1																																	
2210713	22107	14			1	1	9	25200			24	3	1											2	2210713																	20			13310790702	1						2		200101		3	3	1				1			23	2210715	1																																	
2210714	22107	15			1	1	9	25200			24	4	1											2	2210714																	20			13310790802	1						2		200101		3	3	1				1			23	2210715	1																																	
2210716	22107	16			1	1	9	25200			1	2210710	4											2	2210716																											2		200101		3	3	1				1			23	2210715	1																																	
2210717	22107	17			1	1	9	25200			1	2210712	4											2	2210717																											2		200101		3	3	1				1			23	2210715	1																																	
2210718	22107	18			1	1	9	25200			1	2210713	4											2	2210718																											2		200101		3	3	1				1			23	2210715	1																																	
2210719	22107	19			1	1	9	25200			1	2210714	4											2	2210719																											2		200101		3	3	1				1			23	2210715	1																																	
2210715	22107	20				1	9	25200			1	2210709	3											24	2210715			2																								2		200101		3	3	1		1					24	25200																																		
2210721	22107	21			1	1	9	25200			1	2210709	3											4	2210721																																					1																																						
2210801	22108	1					9	25000																2	2210801																											2		2016		3	1	1				1																																	2016					
2210802	22108	2				1	9	25000			1	2210801	3											20			13310428101	1																								1		Event_25001_01	30	3	2	2				1															19	3	133104281,1							27	3	133104281,2,3							2016					
2210803	22108	3				1	9	25000			1	2210802	3											2	2210803																											2		2016		3	3	2		1		1			19	3	133104281,1		24	25000																									2016					
2210901	22109	1					9	25001																2	2210901																											2		2016		3	1	1				1																																	2016					
2210902	22109	2				1	9	25001			1	2210901	3											20			13310419101	1																								1		Event_25000_01	30	3	2	2				1															19	3	133104191,1							27	3	133104191,2,3,4							2016					
2210903	22109	3				1	9	25001			1	2210902	3											2	2210903																											2		2016		3	3	2		1		1			19	3	133104191,1		24	25001																									2016					
2211001	22110	1					9	25002																2	2211001																											2		2016		3	1	1				1																																	2016					
2211002	22110	2				1	9	25002			1	2211001	3											20			13310431301	1																								1		Event_25002_01	30	3	2	2				1															19	3	133104910,1							19	3	133104910,2							2016					
2211003	22110	3				1	9	25002			1	2211002	3											2	2211003																											2		2016		3	3	2		1		1			19	3	133104910,1		24	25002																									2016					
2211101	22111	1					1	38406	3															2	2211101																											2		1512		3	1	1				1	100398	1																																				
2211102	22111	2					1	2211101	3															2	2211102																											2		2078		3	3	1		1		1			1	100398	1																																	
2211201	22112	1					9	26600																2	2211201																											2		220201		3	1	1				1																																	220201					
2211202	22112	2	1			1	9	26600			1	2211201	3											5	100306			5																								1		Event_26600_03	30	3	2	2				1															19	3	133104906,1							19	3	133104906,2	1	100306	5				220201					
2211203	22112	3				1	9	26600			1	2211202	3											2	2211203																											2		220201		3	2	2				1																																	220201					
