子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4复杂参数	[完成条件]4次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
2230001	22300	1					9	25500																2	2230001																											2		2014		3	1	1				1																														2014					
2230002	22300	2				1	9	25500			1	2230001	3											27	2230002																											2		2014		3	2	2				1																					28	2230002								2014					
2230003	22300	3				1	9	25500			1	2230002	3											24	223000301			1																								2		2014		3	2	2				1																														2014					
2230010	22300	4			1	1	9	25500			1	2230002	3		24	0	1							2	2230010																																						100366	1	23	223000301	1																														
2230011	22300	5			1	1	9	25500			1	2230002	3		24	0	2							2	2230011																																						100367	1	23	223000301	1																														
2230012	22300	6			1	1	9	25500			1	2230002	3		24	0	3							2	2230012																																						100368	1	23	223000301	1																														
2230013	22300	7			1	1	9	25500			1	2230002	3		24	0	4							2	2230013																																						100369	1	23	223000301	1																														
2230060	22300	10			1	1	9	25500															1	5	100366			1	5	100367		1	5	100368		1																										1																																			
2230061	22300	10			1	1	9	25500															1	5	100366			1	5	100367		1	5	100368		1																										1																																			
2230004	22300	11				1	9	25500			1	2230003	3										2	2	2230003				24	223000401		1																				2		2014		3	3	2		1		1			24	25500																										2014					
2230080	22300	12			1	1	9	25500			1	2230003	3		24	1	1							2	2230080																											2				3						1			29	100366,100367		23	223000401	1	33	1																									
2230081	22300	12			1	1	9	25500			1	2230003	3		24	1	2							2	2230080																											2				3						1			29	100368,100369		23	223000401	1	33	2																									
2230101	22301	1					9	25600																2	2230101																											2		201001		3	1	1				1																														2010,162601,202601,201001,201101,1626,2026,2011,2062					
2230191	22301	2			1	1	9	25600			1	2230101	2											4	2230191																																					1																																			
2230192	22301	3			1	1	9	25600			1	2230101	2											4	2230192																																					1																																			
2230193	22301	4			1	1	9	25600			1	2230101	2											4	2230193																																					1																																			
2230102	22301	5			1	1	9	25600			1	2230101	3											24	223010201			2																																		1																																			
2230111	22301	6			1	1	9	25600			1	2230102	2										2	2	2230111																																					1	100370	1																																	
2230112	22301	7			1	1	9	25600			1	2230102	2										2	2	2230112																																					1	100371	1																																	
2230113	22301	8			1	1	9	25600			1	2230102	2										2	2	2230113																																					1	100372	1																																	
2230121	22301	9			1	1	9	25600			1	2230102	2										2	2	2230114																																					1	100373	1																																	
2230122	22301	10			1	1	9	25600			1	2230102	2										2	2	2230117																																					1	100374	1																																	
2230123	22301	11			1	1	9	25600			1	2230102	2										2	2	2230116																																					1	100375	1																																	
2230161	22301	12	1			1	9	25600			1	2230102	2		1	2230191	3							2	2230121																											2		162601		3	2	2				1			23	223010201	1																									2010,162601,202601,201001,201101,1626,2026,2011,2062					
2230162	22301	13	1			1	9	25600			1	2230102	2		1	2230192	3							2	2230120																											2		201101		3	2	2				1			23	223010201	1																									2010,162601,202601,201001,201101,1626,2026,2011,2062					
2230163	22301	14	1			1	9	25600			1	2230102	2		1	2230193	3							2	2230122																											2		2026		3	2	2				1			23	223010201	1																									2010,162601,202601,201001,201101,1626,2026,2011,2062					
2230109	22301	15			1	1	9	25600			1	2230102	2											4	2230109																																					1																																			
2230103	22301	16				1	9	25600			1	2230102	3											27	2230103																											2		201001		3	2	2				1																					28	2230103								2010,162601,202601,201001,201101,1626,2026,2011,2062					
2230104	22301	17				1	9	25600			1	2230103	3											2	2230107																											2		201001		3	2	2				1																														2010,162601,202601,201001,201101,1626,2026,2011,2062					
2230105	22301	18			1	1	9	25600			1	2230104	2		24	1	1																																													1																																			
2230106	22301	19			1	1	9	25600			1	2230104	2		24	1	2																																													1																																			
2230107	22301	20			1	1	9	25600			1	2230104	2		25	1	2																																													1																																			
2230108	22301	21				1	9	25600			1	2230104	3											2	2230109																											2		201001		3	3	2		1		1			24	25600																										2010,162601,202601,201001,201101,1626,2026,2011,2062					
2230201	22302	1					9	25700																2	2230201																											2		1624		3	1	1				1	100386	1																			29	100386,100387								1624,1627					
2230202	22302	2				1	9	25700			1	2230201	3											6	1165																											1		Q22302FYSH		3	4	2				1																														1624,1627					
2230204	22302	3			1	1	9	25700			1	2230202	3											2	2230205																	2	2230206																			1	100387	1	29	100386																															
2230203	22302	4				1	9	25700			1	2230202	3											2	2230203																											2		1627		3	3	2		1		1			29	100386,100387		24	25700																							1624,1627					
2230301	22303	1					9	25800																2	2230301																											2		2040		3	1	1				1																														2040					
2230302	22303	2				1	9	25800			1	2230301	3											27	2230302																											2		2040		3	2	2				1																					28	2230302								2040					
2230303	22303	3				1	9	25800			1	2230302	3											2	2230303																											2		2040		3	3	2		1		1			24	25800																										2040					
2230401	22304	1					9	25900																2	2230401																											2		2033		3	1	1				1																														2033,2013					
2230402	22304	2				1	9	25900			1	2230401	3											2	2230408																											2		2013		3	2	2				1																					28	2230402								2033,2013					
2230403	22304	3			1	1	9	25900			1	2230401	3											2	2230403																																					1																																			
2230404	22304	4			1	1	9	25900			1	2230401	3											24	223040401			1																																		1																																			
2230411	22304	5			1	1	9	25900			1	2230401	3		24	0	1							20			13310290201	1																																		1	100395	1	23	223040401	1	19	3	133102584,1	19	3	133102902,1										19	3	133102902,2	19	3	133102584,2									
2230412	22304	6			1	1	9	25900			1	2230401	3		24	0	2							20			13310259101	1																																		1	100396	1	23	223040401	1	19	3	133102591,1	19	3	133102592,1										19	3	133102591,2	19	3	133102592,2									
2230413	22304	7			1	1	9	25900			1	2230401	3		24	0	3							20			13310259301	1																																		1	100395	1	23	223040401	1	19	3	133102593,1	19	3	133102594,1										19	3	133102593,2	19	3	133102594,2									
2230441	22304	8			1	1	9	25900			1	2230401	3		24	0	1							2	2230402																																					1	100392	1																																	
2230442	22304	9			1	1	9	25900			1	2230401	3		24	0	2							2	2230402																																					1	100393	1																																	
2230443	22304	10			1	1	9	25900			1	2230401	3		24	0	3							2	2230402																																					1	100394	1																																	
2230421	22304	11				1	9	25900			1	2230402	3		24	0	1						2	20			13310290201	1	2	2230403			20		13310290202	1																2		2013		3	2	2				1																														2033,2013					
2230422	22304	12				1	9	25900			1	2230402	3		24	0	2						2	20			13310259101	1	2	2230403			20		13310259102	1																2		2013		3	2	2				1																														2033,2013					
2230423	22304	13				1	9	25900			1	2230402	3		24	0	3						2	20			13310259301	1	2	2230403			20		13310259302	1																2		2013		3	2	2				1																														2033,2013					
2230431	22304	14				1	9	25900			1	2230421	3											20			13310290201	1																								1		Event_25900C	60	3	2	2				1																														2033,2013					
2230432	22304	15				1	9	25900			1	2230422	3											20			13310259101	1																								1		Event_25900C	60	3	2	2				1																														2033,2013					
2230433	22304	16				1	9	25900			1	2230423	3											20			13310259301	1																								1		Event_25900C	60	3	2	2				1																														2033,2013					
2230451	22304	17			1	1	9	25900			1	2230402	3										2	20			13310290202	1	20		13310259102	1	20		13310259302	1																																																													
2230405	22304	18				1	9	25900			1	2230404	3										2	2	2230406				2	2230409																						2		2013		3	3	2		1		1			24	25900																										2033,2013					
2230501	22305	1					9	26000																2	2230501																											2		2054		3	1	1				1																														2054					
2230502	22305	2				1	9	26000			1	2230501	3											24	223050201			1																								2		2054		3	2	2				1																					19	3	133107909,1							2054					
