子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
1100001	11000	1				1	17	12			1	35802	3							4	1100001																					1		Q1100001XL	50	3			1			1																												1012	1100			
1100002	11000	2			1		1	1100001	3											4	1100002																																																															
1100003	11000	3					1	1100001	3											2	1100003																					2		1012		3	1	2				1			7	133002125																	19	3	133002317,2				1012		1100			
1100004	11000	4	1				1	1100003	3										1	5	100061			3	4	1100004																										1																					19	3	133002317,2				1012		1100			
1100005	11000	5					1	1100004	3											2	1100005																					2		1012		3	2	2		1		1			1	100061	3																19	3	133002317,2				1012,1539		1100			
1100006	11000	6					1	99902	3											4	1100006																					2		153901		3	2	2																																				
1100101	11001	1					1	1100005	3											4	1100101																					2		153701		3	2	2				1			19	3	133002317,1																						1012,1537,1541		1100			
1100102	11001	2					1	1100101	3											2	1100102																					2		153701		3	2	2																															1012,1537,1541		1100			
1100103	11001	3					1	1100102	3											4	1100103																																																										1012,1537,1541		1100			
1100104	11001	4					1	1100103	3											2	1100104																					2		1012		3	2	2		1		1																											1012,1537,1541		1100			
1100201	11002	1					1	1100104	3											4	1100201																					2		1012		3	2	2				1																											1012		1100			
1100202	11002	2					1	1100201	3											2	1100202																					2		1012		3	2	2																															1012		1100			
1100203	11002	3					1	1100202	3											4	1100203																					1		Q1100204M1	60	3	2	2	1			1																											1012		1100			
1100204	11002	4	1				1	1100203	3											5	100026			3																		1		Q1100204M1		3	2	2	1			1																											1012		1100			
1100205	11002	5					1	1100204	3											4	1100205																					1		Q1100204T1	40	3	2	2	1			1																					19	3	133002329,2				1012		1100			
1100206	11002	6	2				1	1100205	3											5	100027			3																		1		Q1100204M2		3	2	2	1			1																					19	3	133002329,2				1012		1100			
1100207	11002	7					1	1100206	3											2	1100207																					2		1012		3	2	2		1		1																					19	3	133002329,2				1012		1100			
1100301	11003	1					1	1100207	3											4	1100301																					2		163001		3	2	2				1																					19	3	133002329,2				1012,1630		1100			
