子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4复杂参数	[完成条件]4次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[执行]4类型	[执行]4参数1	[执行]4参数2	[执行]4参数3	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
42901	429	1					1	99902	3															2	42903																											1		Q429Judge								1																																										0.1
42902	429	2					1	42901	3														1	3	21010301			6	3	21010901		7	3	21020201		1						8	42902									1		Q429Judge																																																		0.1
42903	429	3			1		1	42901	3														2	3	21010301			1	3	21010901		1	3	21020201		1						8	42903									1		Q429Judge								1			14	42903																																						0.1
42904	429	4					1	42902	3															2	42905																											1		Q429Judge						1					14	42901																																						0.1
42905	429	5					1	42902	4															2	42906																											1		Q429Judge											14	42901																																						0.1
49102	491	1			1		1	46613	3															6	1171																																					1			14	49102																																	1009,1218		1100			0.1
49101	491	2			1		1	46618	3															10	3																																			1																																												0.1
2000101	20001	1					9	20500																20			1330034692	1																								1		EventTest01	20	3	2	2				1																												19	3	133003469,1							140301					
2000102	20001	2			1	1	9	20500			1	2000101	3											20			133003469	5																								1		EventTest01	20	3	2	2																																									140301					
2000103	20001	3				1	9	20500			1	2000101	3											20			1330034691	6																								1		EventTest01	20	3	2	2																																														
2000104	20001	4				1	9	20500			1	2000103	3											2	2000110																											2		140301		3	3	2		1		1			24	20500																																	140301					
2000501	20005	1					9	20400																2	2000501																											2		155101		3	1	1				1			1	100301	1																							19	3	133001302,1							155101					
2000502	20005	2				1	9	20400			1	2000501	3											5	100301																											1		Q20005KEY01_Reminder	80	3	2	2				1																			1	100301	1							27	3	133001302,2,3	29	100301					155101					
2000503	20005	3			1	1	9	20400			1	99902	3											5	100302																											1		Q20005KEY02_Reminder	80	3	2	2				1																			1	100301	1	1	100302	1				27	3	133001303,2,3,4	29	100302										
2000504	20005	4				1	9	20400			1	2000502	3											2	2000504																											2		155101		3	3	2		1		1			24	20400			1	100301	1										1	100301	1							19	3	133001302,1							155101					
2000601	20006	1					9	20300																20			133004906	1																								2		1419		3	1	1				1			1	100305	1																							19	3	133004906,2							159401					
2000602	20006	2				1	9	20300			1	2000601	3											2	2000601																											2		1419		3	2	2				1	100305	1	19	3	133002902,2																							19	3	133002902,1	1	100305	999	1	100304	999	159401					
2000603	20006	3			1	1	9	20300			1	2000602	3											2	2000602																2	8	2000603				111	100305	1																																1	100305	1																159401					
2000604	20006	7				1	9	20300			1	2000607	3											2	2000602																											2		159401		3	2	1					100304	1	1	100305	1																																					
2000605	20006	4			1	1	9	20300			1	2000603	4											2	2000602																	8	2000605																																						14	2000602																	159401					
2000606	20006	5				1	9	20300			1	2000602	3											20			13300290201	1																								2		159401		3	2	2																																														
2000607	20006	6				1	9	20300			1	2000606	3											20			133002902	1																								1		EventNpc102	20	3	2	2																																														
2000610	20006	8				1	9	20300			1	2000604	3											2	2000604																											2		1419		3	3	2		1					24	20300			1	100304	1										1	100304	1																					
2000709	20007	1					9	20100																6	1127																											2		153901		3	1	1				1																			19	3	133002264,1				19	3	133002265,1	19	3	133002264,2	19	3	133002901,1				153901					
