子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
48601	486	1				1	1	39604	3		1	1020204	3		1	46618	3			6	1113																					2		1419		3	1	2				1																											1419,141901				0.2	
48602	486	2					1	48601	3											2	48602																					2		1419		3	1	2																															1419,141901				0.2	
48603	486	3					1	48602	3											2	48603																					2		10030		3	2	2				1																															0.2	
48604	486	4					1	48603	3											6	1114																					1		Q48607Qin		1004	4	2				1																											1006,1008				0.2	
48605	486	5			1		1	48604	3											2	48605																															1																															0.2	
48606	486	6					1	48605	3											6	1116																					1		Q48607Qin		1004	4	2				1																											1006,1008				0.2	
48607	486	7			1		1	48606	3											2	48607																															1																															0.2	
48608	486	8					1	48607	3											2	48608																															1																											1006,1008				0.2	
48609	486	9					1	48608	3											6	1115																					1		Q48610Kaeya		3	4	2				1																											1004				0.2	
48610	486	10			1		1	48609	3											2	48610																															1																											1004				0.2	
48611	486	11					1	48610	3											2	48701																					2		10031		3	2	2				1																															0.2	
48612	486	12					1	48610	3											2	48800																					2		10030		3	2	2				1																															0.2	
48613	486	13					1	48610	3											2	48901																					2		1419		3	2	2				1																															0.2	
48616	486	14			1		1	48610	3										2	2	48710				2	48703																2		10031		3	2	2				1																															0.2	
48617	486	15			1		1	48610	3											2	48803																					2		10030		3	2	2				1																															0.2	
48618	486	16			1		1	48610	3										2	2	48905				2	48906																2		1419		3	2	2				1																															0.2	
48614	486	17			1		1	48610	3											4	48614																															1																															0.2	
48619	486	18				1	1	48611	3		1	48612	3		1	48613	3			4	48619																															1																															0.2	
48615	486	19			1	1	1	48616	3		1	48617	3		1	48618	3			4	48615																													1		1																															0.2	
