子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
1020001	10200	1					1	45406	3											18	0		18,6																													1																																
1020002	10200	2			1		1	99902	3											20			133004913	1										18	0	6,18																												14	1020001								19	3	133004913,2									
1020015	10200	3					1	1020001	3											2	1020002													18	0	6,18						2		1467		3	2	2				1												14	1020001														160301,1603,141401,1414,152301,1523,1465,1467,1006,10090		1100			
1020003	10200	4					1	1020015	3											20			201009004	1																		1		Q10200Pub		1009	4	2				1																					19	1009	201009004,2				160301,1603,141401,1414,152301,1523,1465,1467,1006,10090					
1020004	10200	5	1				1	1020003	3											2	1020007																					2		141401		1009	2	2																																				
1020011	10200	6	1				1	1020003	3											2	1020008																					2		160301		1009	2	2																																				
1020012	10200	7	1				1	1020003	3											2	1020009																					2		1465		1009	2	2																																				
1020013	10200	8	1				1	1020003	3											2	1020010																					2		152301		1009	2	2																																				
1020014	10200	9			1		1	1020003	3											4																																1																											160301,1603,141401,1414,152301,1523,1465,1467,1006,10090		1100			
1020005	10200	10		1			1	1020014	3											2	1020003																															1																											1006,10090		1100			
1020006	10200	11					1	1020005	3											17	1004																					1		QuestKnighthood		3						1																											1006,10090		1100			
1020007	10200	12					1	1020006	3											2	1020004																					2		1006		1004	2	2				1																											1006,10090		1100			
1020008	10200	13		1			1	1020007	3											4	1020008																					1		Q10200KnighthoodHall		1004	4	2				1																					19	1004	201004002,2				1006,10090		1100			
1020009	10200	14			1		1	1020008	3											4	1020009																					2		10090		1004	2	2				1																											10090		1100			
1020010	10200	15					1	1020009	3											2	1020006																					2		10090		1004	3	2		1		1																											10090		1100			
1020101	10201	1					1	1020010	3											25	71700083																					1		Q1020101Treasure	50	3	4	2				1																					19	3	133003495,2				10090,10091,10093					
1020112	10201	2					1	1020101	3											2	1020101																					2		10090		3	2	2				1																											10090,10091,10093					
1020102	10201	3					1	1020112	3											20			133003496	1																		2		10091		3	4	1																									19	3	133003495,1				10090,10091,10093					
1020103	10201	4		1	1		1	1020112	3											20			13300349901	1										8	1020103							2		10091		3	4	2																19	3	133003499,1	14	1020101					19	3	133003499,2									
1020114	10201	5			1		1	1020103	3											2	1020106													8	1020114							2		10091		3	4	2				1												19	3	133003499,1	14	1020101																
1020104	10201	6		1	1		1	1020114	3											20			13300349902	1									2	21				8	1020104			2		10091		3	4	2							19	3	133003499,1							19	3	133003499,1	14	1020101					19	3	133003499,3									
1020105	10201	7		1	1		1	1020104	3											20			13300350001	1										8	1020105							2		10091		3	4	2																19	3	133003500,1	14	1020101					19	3	133003500,2									
1020115	10201	8			1		1	1020105	3											2	1020107													8	1020115							2		10091		3	4	2				1												19	3	133003500,1	14	1020101																
1020106	10201	9		1	1		1	1020115	3											20			13300350002	1									2	21				8	1020106			2		10091		3	4	2							19	3	133003500,1							19	3	133003500,1	14	1020101					19	3	133003500,3									
1020107	10201	10		1	1		1	1020106	3											20			133003496	1										8	1020107							2		10091		3	4	2																19	3	133003496,1	14	1020101					19	3	133003496,2	19	3	133003502,2						
1020108	10201	11					1	1020107	3											20			133003502	1																		1		Q10201Chaseend	30	3	2	2				1												19	3	133003502,1													10090,10091,10093		1100			
1020113	10201	12			1		1	1020108	3											2	1020103																															1																											10090,10091,10093		1100			
1020109	10201	13					1	1020113	3											9	30	129																				1		Q10201Chaseend		3	4	2				1			12	14		19	3	133003502,1													2	3	129				10090,10091,10093		1100			
1020110	10201	14					1	1020109	3											20			220031005	1										19	30																													14	1020109		20	14											10090,10091,10093		1100	14		
1020111	10201	15					1	1020110	3											2	1020104													19	30															1		1			17	3	129	20	14					14	1020109		20	14											10090,10091,10093		1100	14		
1020201	10202	1					1	1020111	3											2	1020201																					2		1006		1004	2	2				1																											1006,10090,10092		1100			
1020202	10202	2			1		1	1020111	3											17	1004																					1		QuestKnighthood		3						1																													1100			
1020203	10202	3			1		1	1020202	3											2	1020201																															1																													1100			
1020204	10202	4					1	1020201	3											2	1020204																					1		Q10202Door		1004	3	2		1		1																											10090,10092		1100			
1020301	10203	1			1		1	1020201	3										2	2	1020301				10	3																2		1006		1004	2	2				1																											1006,10090,10092		1100			
1020302	10203	2			1		1	1020204	3										2	2	1020302				10	3																2		10092		1004	3	2		1		1																											1006,10090,10092		1100			
1030001	10300	1			1		1	99902	3																																																																											
1030002	10300	1			1		1	99902	3											4	1030002																																																															
1040001	10400	1					1	99902	3											2	1040001																					2		1008		3	4	2		1		1																											1008		10			
