ID	随机方式	刷新时间	[关卡]1ID	[关卡]1出现	[关卡]1关闭	[关卡]2ID	[关卡]2出现	[关卡]2关闭	[关卡]3ID	[关卡]3出现	[关卡]3关闭	[关卡]4ID	[关卡]4出现	[关卡]4关闭	[关卡]5ID	[关卡]5出现	[关卡]5关闭	[关卡]6ID	[关卡]6出现	[关卡]6关闭	[关卡]7ID	[关卡]7出现	[关卡]7关闭
1	0	1	2	14400	100800	3	100800	187200	4	187200	273600	5	273600	360000	6	360000	446400	8	446400	532800	9	532800	619200
2	1	1	11			12			13			14											
3	2	2	3005	14400	619200	3006	14400	619200															
10	1	2	4500	14400	619200	4501	14400	619200	4502	14400	619200	4503	14400	619200	4504	14400	619200	4505	14400	619200	4506	14400	619200
11	1	2	4520	14400	619200	4521	14400	619200	4522	14400	619200	4523	14400	619200	4524	14400	619200	4525	14400	619200	4526	14400	619200
12	1	2	4540	14400	619200	4541	14400	619200	4542	14400	619200	4543	14400	619200	4544	14400	619200	4545	14400	619200	4546	14400	619200
13	1	2	4560	14400	619200	4561	14400	619200	4562	14400	619200	4563	14400	619200	4564	14400	619200	4565	14400	619200	4566	14400	619200
14	1	2	4580	14400	619200	4581	14400	619200	4582	14400	619200	4583	14400	619200	4584	14400	619200	4585	14400	619200	4586	14400	619200
15	1	2	4700	14400	619200	4701	14400	619200	4702	14400	619200	4703	14400	619200	4704	14400	619200	4705	14400	619200	4706	14400	619200
16	1	2	4720	14400	619200	4721	14400	619200	4722	14400	619200	4723	14400	619200	4724	14400	619200	4725	14400	619200	4726	14400	619200
17	0	1	5254	14400	100800	5258	100800	187200	5262	187200	273600	5254	273600	360000	5258	360000	446400	5262	446400	532800	5250	532800	619200
18	0	1	5255	14400	100800	5259	100800	187200	5263	187200	273600	5255	273600	360000	5259	360000	446400	5263	446400	532800	5251	532800	619200
19	0	1	5256	14400	100800	5260	100800	187200	5264	187200	273600	5256	273600	360000	5260	360000	446400	5264	446400	532800	5252	532800	619200
20	0	1	5257	14400	100800	5261	100800	187200	5265	187200	273600	5257	273600	360000	5261	360000	446400	5265	446400	532800	5253	532800	619200
21	0	1	5214	14400	100800	5218	100800	187200	5222	187200	273600	5214	273600	360000	5218	360000	446400	5222	446400	532800	5210	532800	619200
22	0	1	5215	14400	100800	5219	100800	187200	5223	187200	273600	5215	273600	360000	5219	360000	446400	5223	446400	532800	5211	532800	619200
23	0	1	5216	14400	100800	5220	100800	187200	5224	187200	273600	5216	273600	360000	5220	360000	446400	5224	446400	532800	5212	532800	619200
24	0	1	5217	14400	100800	5221	100800	187200	5225	187200	273600	5217	273600	360000	5221	360000	446400	5225	446400	532800	5213	532800	619200
25	0	1	4210	14400	100800	4220	100800	187200	4230	187200	273600	4210	273600	360000	4220	360000	446400	4230	446400	532800	4200	532800	619200
26	0	1	4211	14400	100800	4221	100800	187200	4231	187200	273600	4211	273600	360000	4221	360000	446400	4231	446400	532800	4201	532800	619200
27	0	1	4212	14400	100800	4222	100800	187200	4232	187200	273600	4212	273600	360000	4222	360000	446400	4232	446400	532800	4202	532800	619200
28	0	1	4213	14400	100800	4223	100800	187200	4233	187200	273600	4213	273600	360000	4223	360000	446400	4233	446400	532800	4203	532800	619200
29	0	1	4310	14400	100800	4320	100800	187200	4330	187200	273600	4310	273600	360000	4320	360000	446400	4330	446400	532800	4300	532800	619200
30	0	1	4311	14400	100800	4321	100800	187200	4331	187200	273600	4311	273600	360000	4321	360000	446400	4331	446400	532800	4301	532800	619200
31	0	1	4312	14400	100800	4322	100800	187200	4332	187200	273600	4312	273600	360000	4322	360000	446400	4332	446400	532800	4302	532800	619200
32	0	1	4313	14400	100800	4323	100800	187200	4333	187200	273600	4313	273600	360000	4323	360000	446400	4333	446400	532800	4303	532800	619200
