追加属性ID	追加属性库ID	组别	属性类别	追加属性值	随机权重	升级权重
101021	101	2	2	26.31	1500	1000
101022	101	2	2	32.89	1200	1000
201021	201	2	2	55.26	1500	1000
201022	201	2	2	67.1	1200	1000
201023	201	2	2	78.94	900	1000
301021	301	2	2	126.3	1500	1000
301022	301	2	2	137.35	1200	1000
301023	301	2	2	148.4	900	1000
301024	301	2	2	157.87	600	1000
401021	401	2	2	189.45	1500	1000
401022	401	2	2	206.02	1200	1000
401023	401	2	2	222.6	900	1000
401024	401	2	2	236.81	600	1000
501021	501	2	2	263.12	1500	1000
501022	501	2	2	286.14	1200	1000
501023	501	2	2	309.17	900	1000
501024	501	2	2	328.9	600	1000
101031	101	3	3	0.015	1000	1000
101032	101	3	3	0.0188	800	1000
201031	201	3	3	0.021	1000	1000
201032	201	3	3	0.0255	800	1000
201033	201	3	3	0.03	600	1000
301031	301	3	3	0.036	1000	1000
301032	301	3	3	0.0392	800	1000
301033	301	3	3	0.0423	600	1000
301034	301	3	3	0.045	400	1000
401031	401	3	3	0.048	1000	1000
401032	401	3	3	0.0522	800	1000
401033	401	3	3	0.0564	600	1000
401034	401	3	3	0.06	400	1000
501031	501	3	3	0.06	1000	1000
501032	501	3	3	0.0653	800	1000
501033	501	3	3	0.0705	600	1000
501034	501	3	3	0.075	400	1000
101051	101	5	5	1.71	1500	1000
101052	101	5	5	2.14	1200	1000
201051	201	5	5	3.6	1500	1000
201052	201	5	5	4.37	1200	1000
201053	201	5	5	5.14	900	1000
301051	301	5	5	8.22	1500	1000
301052	301	5	5	8.94	1200	1000
301053	301	5	5	9.66	900	1000
301054	301	5	5	10.28	600	1000
401051	401	5	5	12.33	1500	1000
401052	401	5	5	13.41	1200	1000
401053	401	5	5	14.49	900	1000
401054	401	5	5	15.42	600	1000
501051	501	5	5	17.13	1500	1000
501052	501	5	5	18.63	1200	1000
501053	501	5	5	20.13	900	1000
501054	501	5	5	21.41	600	1000
101061	101	6	6	0.015	1000	1000
101062	101	6	6	0.0188	800	1000
201061	201	6	6	0.021	1000	1000
201062	201	6	6	0.0255	800	1000
201063	201	6	6	0.03	600	1000
301061	301	6	6	0.036	1000	1000
301062	301	6	6	0.0392	800	1000
301063	301	6	6	0.0423	600	1000
301064	301	6	6	0.045	400	1000
401061	401	6	6	0.048	1000	1000
401062	401	6	6	0.0522	800	1000
401063	401	6	6	0.0564	600	1000
401064	401	6	6	0.06	400	1000
501061	501	6	6	0.06	1000	1000
501062	501	6	6	0.0653	800	1000
501063	501	6	6	0.0705	600	1000
501064	501	6	6	0.075	400	1000
101081	101	8	8	1.88	1500	1000
101082	101	8	8	2.34	1200	1000
201081	201	8	8	3.94	1500	1000
201082	201	8	8	4.78	1200	1000
201083	201	8	8	5.63	900	1000
301081	301	8	8	9	1500	1000
301082	301	8	8	9.79	1200	1000
301083	301	8	8	10.58	900	1000
301084	301	8	8	11.25	600	1000
401081	401	8	8	13.5	1500	1000
401082	401	8	8	14.69	1200	1000
401083	401	8	8	15.87	900	1000
401084	401	8	8	16.88	600	1000
501081	501	8	8	18.76	1500	1000
501082	501	8	8	20.4	1200	1000
501083	501	8	8	22.04	900	1000
501084	501	8	8	23.45	600	1000
101091	101	9	9	0.0188	1000	1000
101092	101	9	9	0.0234	800	1000
201091	201	9	9	0.0263	1000	1000
201092	201	9	9	0.0319	800	1000
201093	201	9	9	0.0375	600	1000
301091	301	9	9	0.045	1000	1000
301092	301	9	9	0.0489	800	1000
301093	301	9	9	0.0529	600	1000
301094	301	9	9	0.0563	400	1000
401091	401	9	9	0.06	1000	1000
401092	401	9	9	0.0653	800	1000
401093	401	9	9	0.0705	600	1000
401094	401	9	9	0.075	400	1000
501091	501	9	9	0.075	1000	1000
501092	501	9	9	0.0816	800	1000
501093	501	9	9	0.0881	600	1000
501094	501	9	9	0.0938	400	1000
101231	101	23	23	0.0188	1000	1000
101232	101	23	23	0.0234	800	1000
201231	201	23	23	0.0263	1000	1000
201232	201	23	23	0.0319	800	1000
201233	201	23	23	0.0375	600	1000
301231	301	23	23	0.045	1000	1000
301232	301	23	23	0.0489	800	1000
301233	301	23	23	0.0529	600	1000
301234	301	23	23	0.0563	400	1000
401231	401	23	23	0.06	1000	1000
401232	401	23	23	0.0653	800	1000
401233	401	23	23	0.0705	600	1000
401234	401	23	23	0.075	400	1000
501231	501	23	23	0.075	1000	1000
501232	501	23	23	0.0816	800	1000
501233	501	23	23	0.0881	600	1000
501234	501	23	23	0.0938	400	1000
101241	101	24	28	3	1000	1000
101242	101	24	28	3.75	800	1000
201241	201	24	28	4.2	1000	1000
201242	201	24	28	5.1	800	1000
201243	201	24	28	6	600	1000
301241	301	24	28	7.2	1000	1000
301242	301	24	28	7.83	800	1000
301243	301	24	28	8.46	600	1000
301244	301	24	28	9	400	1000
401241	401	24	28	9.6	1000	1000
401242	401	24	28	10.44	800	1000
401243	401	24	28	11.28	600	1000
401244	401	24	28	12	400	1000
501241	501	24	28	12	1000	1000
501242	501	24	28	13.05	800	1000
501243	501	24	28	14.1	600	1000
501244	501	24	28	15	400	1000
101201	101	20	20	0.0094	750	1000
101202	101	20	20	0.0117	600	1000
201201	201	20	20	0.0131	750	1000
201202	201	20	20	0.0159	600	1000
201203	201	20	20	0.0188	450	1000
301201	301	20	20	0.0225	750	1000
301202	301	20	20	0.0245	600	1000
301203	301	20	20	0.0264	450	1000
301204	301	20	20	0.0281	300	1000
401201	401	20	20	0.03	750	1000
401202	401	20	20	0.0326	600	1000
401203	401	20	20	0.0353	450	1000
401204	401	20	20	0.0375	300	1000
501201	501	20	20	0.0375	750	1000
501202	501	20	20	0.0408	600	1000
501203	501	20	20	0.0441	450	1000
501204	501	20	20	0.0469	300	1000
101221	101	22	22	0.0188	750	1000
101222	101	22	22	0.0234	600	1000
201221	201	22	22	0.0263	750	1000
201222	201	22	22	0.0319	600	1000
201223	201	22	22	0.0375	450	1000
301221	301	22	22	0.045	750	1000
301222	301	22	22	0.0489	600	1000
301223	301	22	22	0.0529	450	1000
301224	301	22	22	0.0563	300	1000
401221	401	22	22	0.06	750	1000
401222	401	22	22	0.0653	600	1000
401223	401	22	22	0.0705	450	1000
401224	401	22	22	0.075	300	1000
501221	501	22	22	0.075	750	1000
501222	501	22	22	0.0816	600	1000
501223	501	22	22	0.0881	450	1000
501224	501	22	22	0.0938	300	1000
999001	999	22	22	0.5	1000	1000
999002	999	20	20	1	1000	1000
