ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	圣遗物类别	阶数	主属性库ID	追加属性库ID	追加属性初始条数	套装ID	属性加成等级	基础转化经验	强化等级上限	$#VersionBegin	$#VersionEnd
20002	3	1	10	70600041	0			圣遗物	2	0	2000	101	0			1240	1		
20004	3	1	10	70600041	0			圣遗物	1	0	4000	101	0			1240	1		
23333	3	1	10	70600041	0			圣遗物	3	1	4000	999	2			500000	1		0.1
51110	3	1	10	70600041	0			圣遗物	4	1	5000	101	0	10001	5,9,13,17,21	420	5		
51111	3	1	10	70600041	0			圣遗物	4	1	5000	101	1	10001	5,9,13,17,21	420	5		
51112	3	1	10	70600041	0			圣遗物	4	1	5000	101	2	10001	5,9,13,17,21	420	5		
51113	3	1	10	70600041	0			圣遗物	4	1	5000	101	3	10001	5,9,13,17,21	420	5		
51114	3	1	10	70600041	0			圣遗物	4	1	5000	101	4	10001	5,9,13,17,21	420	5		
51120	3	1	10	70600041	0			圣遗物	2	1	2000	101	0	10001	5,9,13,17,21	420	5		
51121	3	1	10	70600041	0			圣遗物	2	1	2000	101	1	10001	5,9,13,17,21	420	5		
51122	3	1	10	70600041	0			圣遗物	2	1	2000	101	2	10001	5,9,13,17,21	420	5		
51123	3	1	10	70600041	0			圣遗物	2	1	2000	101	3	10001	5,9,13,17,21	420	5		
51124	3	1	10	70600041	0			圣遗物	2	1	2000	101	4	10001	5,9,13,17,21	420	5		
51130	3	1	10	70600041	0			圣遗物	5	1	3000	101	0	10001	5,9,13,17,21	420	5		
51131	3	1	10	70600041	0			圣遗物	5	1	3000	101	1	10001	5,9,13,17,21	420	5		
51132	3	1	10	70600041	0			圣遗物	5	1	3000	101	2	10001	5,9,13,17,21	420	5		
51133	3	1	10	70600041	0			圣遗物	5	1	3000	101	3	10001	5,9,13,17,21	420	5		
51134	3	1	10	70600041	0			圣遗物	5	1	3000	101	4	10001	5,9,13,17,21	420	5		
51140	3	1	10	70600041	0			圣遗物	1	1	4000	101	0	10001	5,9,13,17,21	420	5		
51141	3	1	10	70600041	0			圣遗物	1	1	4000	101	1	10001	5,9,13,17,21	420	5		
51142	3	1	10	70600041	0			圣遗物	1	1	4000	101	2	10001	5,9,13,17,21	420	5		
51143	3	1	10	70600041	0			圣遗物	1	1	4000	101	3	10001	5,9,13,17,21	420	5		
51144	3	1	10	70600041	0			圣遗物	1	1	4000	101	4	10001	5,9,13,17,21	420	5		
51150	3	1	10	70600041	0			圣遗物	3	1	1000	101	0	10001	5,9,13,17,21	420	5		
51151	3	1	10	70600041	0			圣遗物	3	1	1000	101	1	10001	5,9,13,17,21	420	5		
51152	3	1	10	70600041	0			圣遗物	3	1	1000	101	2	10001	5,9,13,17,21	420	5		
51153	3	1	10	70600041	0			圣遗物	3	1	1000	101	3	10001	5,9,13,17,21	420	5		
51154	3	1	10	70600041	0			圣遗物	3	1	1000	101	4	10001	5,9,13,17,21	420	5		
51210	3	1	10	70600042	0			圣遗物	4	2	5000	201	0	10001	5,9,13,17,21	840	5		
51211	3	1	10	70600042	0			圣遗物	4	2	5000	201	1	10001	5,9,13,17,21	840	5		
51212	3	1	10	70600042	0			圣遗物	4	2	5000	201	2	10001	5,9,13,17,21	840	5		
51213	3	1	10	70600042	0			圣遗物	4	2	5000	201	3	10001	5,9,13,17,21	840	5		
51214	3	1	10	70600042	0			圣遗物	4	2	5000	201	4	10001	5,9,13,17,21	840	5		
51220	3	1	10	70600042	0			圣遗物	2	2	2000	201	0	10001	5,9,13,17,21	840	5		
51221	3	1	10	70600042	0			圣遗物	2	2	2000	201	1	10001	5,9,13,17,21	840	5		
51222	3	1	10	70600042	0			圣遗物	2	2	2000	201	2	10001	5,9,13,17,21	840	5		
51223	3	1	10	70600042	0			圣遗物	2	2	2000	201	3	10001	5,9,13,17,21	840	5		
51224	3	1	10	70600042	0			圣遗物	2	2	2000	201	4	10001	5,9,13,17,21	840	5		
51230	3	1	10	70600042	0			圣遗物	5	2	3000	201	0	10001	5,9,13,17,21	840	5		
51231	3	1	10	70600042	0			圣遗物	5	2	3000	201	1	10001	5,9,13,17,21	840	5		
51232	3	1	10	70600042	0			圣遗物	5	2	3000	201	2	10001	5,9,13,17,21	840	5		
51233	3	1	10	70600042	0			圣遗物	5	2	3000	201	3	10001	5,9,13,17,21	840	5		
51234	3	1	10	70600042	0			圣遗物	5	2	3000	201	4	10001	5,9,13,17,21	840	5		
51240	3	1	10	70600042	0			圣遗物	1	2	4000	201	0	10001	5,9,13,17,21	840	5		
51241	3	1	10	70600042	0			圣遗物	1	2	4000	201	1	10001	5,9,13,17,21	840	5		
51242	3	1	10	70600042	0			圣遗物	1	2	4000	201	2	10001	5,9,13,17,21	840	5		
51243	3	1	10	70600042	0			圣遗物	1	2	4000	201	3	10001	5,9,13,17,21	840	5		
51244	3	1	10	70600042	0			圣遗物	1	2	4000	201	4	10001	5,9,13,17,21	840	5		
51250	3	1	10	70600042	0			圣遗物	3	2	1000	201	0	10001	5,9,13,17,21	840	5		
51251	3	1	10	70600042	0			圣遗物	3	2	1000	201	1	10001	5,9,13,17,21	840	5		
51252	3	1	10	70600042	0			圣遗物	3	2	1000	201	2	10001	5,9,13,17,21	840	5		
51253	3	1	10	70600042	0			圣遗物	3	2	1000	201	3	10001	5,9,13,17,21	840	5		
51254	3	1	10	70600042	0			圣遗物	3	2	1000	201	4	10001	5,9,13,17,21	840	5		
