阶数	等级	成长到下一级所需经验	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	[增加属性]4类型	[增加属性]4值	[增加属性]5类型	[增加属性]5值	[增加属性]6类型	[增加属性]6值	[增加属性]7类型	[增加属性]7值	[增加属性]8类型	[增加属性]8值	[增加属性]9类型	[增加属性]9值	[增加属性]10类型	[增加属性]10值	[增加属性]11类型	[增加属性]11值	[增加属性]12类型	[增加属性]12值	[增加属性]13类型	[增加属性]13值	[增加属性]14类型	[增加属性]14值	[增加属性]15类型	[增加属性]15值	[增加属性]16类型	[增加属性]16值	[增加属性]17类型	[增加属性]17值	[增加属性]18类型	[增加属性]18值	[增加属性]19类型	[增加属性]19值	[增加属性]20类型	[增加属性]20值
0	1	0	2	40	3	0.02	5	3	6	0.02	8	2	9	0.03	20	0.015	22	0.03	23	0.03	26	0.03	28	5	40	0.02	41	0.02	42	0.02	44	0.02	45	0.02	43	0.02	46	0.02	30	0.04	50	0.02
1	1	600	2	86	3	0.023	5	6	6	0.023	8	6	9	0.028	20	0.019	22	0.034	23	0.025	26	0.019	28	5.7	40	0.023	41	0.023	42	0.023	44	0.023	45	0.023	43	0.023	46	0.023	30	0.034	50	0.045
1	2	750	2	119	3	0.031	5	8	6	0.031	8	8	9	0.039	20	0.026	22	0.047	23	0.035	26	0.026	28	7.8	40	0.031	41	0.031	42	0.031	44	0.031	45	0.031	43	0.031	46	0.031	30	0.047	50	0.062
1	3	875	2	151	3	0.04	5	10	6	0.04	8	11	9	0.05	20	0.033	22	0.06	23	0.044	26	0.033	28	9.9	40	0.04	41	0.04	42	0.04	44	0.04	45	0.04	43	0.04	46	0.04	30	0.06	50	0.079
1	4	1025	2	184	3	0.048	5	12	6	0.048	8	13	9	0.06	20	0.04	22	0.072	23	0.054	26	0.04	28	12.1	40	0.048	41	0.048	42	0.048	44	0.048	45	0.048	43	0.048	46	0.048	30	0.072	50	0.096
1	5	1175	2	216	3	0.057	5	14	6	0.057	8	15	9	0.071	20	0.047	22	0.085	23	0.063	26	0.047	28	14.2	40	0.057	41	0.057	42	0.057	44	0.057	45	0.057	43	0.057	46	0.057	30	0.085	50	0.113
1	6	1325	2	249	3	0.065	5	16	6	0.065	8	18	9	0.082	20	0.055	22	0.098	23	0.073	26	0.055	28	16.4	40	0.065	41	0.065	42	0.065	44	0.065	45	0.065	43	0.065	46	0.065	30	0.098	50	0.13
1	7	1500	2	281	3	0.074	5	18	6	0.074	8	20	9	0.092	20	0.062	22	0.111	23	0.082	26	0.062	28	18.5	40	0.074	41	0.074	42	0.074	44	0.074	45	0.074	43	0.074	46	0.074	30	0.111	50	0.147
1	8	1675	2	314	3	0.083	5	20	6	0.083	8	22	9	0.103	20	0.069	22	0.124	23	0.092	26	0.069	28	20.6	40	0.083	41	0.083	42	0.083	44	0.083	45	0.083	43	0.083	46	0.083	30	0.124	50	0.164
1	9	1850	2	346	3	0.091	5	23	6	0.091	8	25	9	0.114	20	0.076	22	0.137	23	0.101	26	0.076	28	22.8	40	0.091	41	0.091	42	0.091	44	0.091	45	0.091	43	0.091	46	0.091	30	0.137	50	0.181
1	10	2025	2	379	3	0.1	5	25	6	0.1	8	27	9	0.125	20	0.083	22	0.149	23	0.111	26	0.083	28	24.9	40	0.1	41	0.1	42	0.1	44	0.1	45	0.1	43	0.1	46	0.1	30	0.149	50	0.198
1	11	2200	2	411	3	0.108	5	27	6	0.108	8	29	9	0.135	20	0.09	22	0.162	23	0.12	26	0.09	28	27.1	40	0.108	41	0.108	42	0.108	44	0.108	45	0.108	43	0.108	46	0.108	30	0.162	50	0.215
1	12	2400	2	444	3	0.117	5	29	6	0.117	8	32	9	0.146	20	0.097	22	0.175	23	0.13	26	0.097	28	29.2	40	0.117	41	0.117	42	0.117	44	0.117	45	0.117	43	0.117	46	0.117	30	0.175	50	0.232
1	13	2600	2	476	3	0.125	5	31	6	0.125	8	34	9	0.157	20	0.104	22	0.188	23	0.139	26	0.104	28	31.3	40	0.125	41	0.125	42	0.125	44	0.125	45	0.125	43	0.125	46	0.125	30	0.188	50	0.249
1	14	2800	2	509	3	0.134	5	33	6	0.134	8	36	9	0.167	20	0.112	22	0.201	23	0.149	26	0.112	28	33.5	40	0.134	41	0.134	42	0.134	44	0.134	45	0.134	43	0.134	46	0.134	30	0.201	50	0.266
1	15	3025	2	541	3	0.142	5	35	6	0.142	8	39	9	0.178	20	0.119	22	0.214	23	0.158	26	0.119	28	35.6	40	0.142	41	0.142	42	0.142	44	0.142	45	0.142	43	0.142	46	0.142	30	0.214	50	0.283
1	16	3225	2	574	3	0.151	5	37	6	0.151	8	41	9	0.189	20	0.126	22	0.227	23	0.168	26	0.126	28	37.8	40	0.151	41	0.151	42	0.151	44	0.151	45	0.151	43	0.151	46	0.151	30	0.227	50	0.3
2	1	1200	2	215	3	0.038	5	14	6	0.038	8	15	9	0.047	20	0.031	22	0.057	23	0.042	26	0.031	28	9.4	40	0.038	41	0.038	42	0.038	44	0.038	45	0.038	43	0.038	46	0.038	30	0.057	50	0.053
2	2	1500	2	276	3	0.048	5	18	6	0.048	8	20	9	0.061	20	0.04	22	0.073	23	0.054	26	0.04	28	12.1	40	0.048	41	0.048	42	0.048	44	0.048	45	0.048	43	0.048	46	0.048	30	0.073	50	0.067
2	3	1775	2	337	3	0.059	5	22	6	0.059	8	24	9	0.074	20	0.049	22	0.089	23	0.066	26	0.049	28	14.8	40	0.059	41	0.059	42	0.059	44	0.059	45	0.059	43	0.059	46	0.059	30	0.089	50	0.082
2	4	2050	2	398	3	0.07	5	26	6	0.07	8	28	9	0.087	20	0.058	22	0.105	23	0.078	26	0.058	28	17.5	40	0.07	41	0.07	42	0.07	44	0.07	45	0.07	43	0.07	46	0.07	30	0.105	50	0.097
2	5	2350	2	459	3	0.081	5	30	6	0.081	8	33	9	0.101	20	0.067	22	0.121	23	0.089	26	0.067	28	20.1	40	0.081	41	0.081	42	0.081	44	0.081	45	0.081	43	0.081	46	0.081	30	0.121	50	0.112
2	6	2675	2	520	3	0.091	5	34	6	0.091	8	37	9	0.114	20	0.076	22	0.137	23	0.101	26	0.076	28	22.8	40	0.091	41	0.091	42	0.091	44	0.091	45	0.091	43	0.091	46	0.091	30	0.137	50	0.127
2	7	3000	2	581	3	0.102	5	38	6	0.102	8	41	9	0.127	20	0.085	22	0.153	23	0.113	26	0.085	28	25.5	40	0.102	41	0.102	42	0.102	44	0.102	45	0.102	43	0.102	46	0.102	30	0.153	50	0.142
2	8	3350	2	642	3	0.113	5	42	6	0.113	8	46	9	0.141	20	0.094	22	0.169	23	0.125	26	0.094	28	28.2	40	0.113	41	0.113	42	0.113	44	0.113	45	0.113	43	0.113	46	0.113	30	0.169	50	0.157
2	9	3700	2	703	3	0.123	5	46	6	0.123	8	50	9	0.154	20	0.103	22	0.185	23	0.137	26	0.103	28	30.8	40	0.123	41	0.123	42	0.123	44	0.123	45	0.123	43	0.123	46	0.123	30	0.185	50	0.172
2	10	4050	2	764	3	0.134	5	50	6	0.134	8	54	9	0.168	20	0.112	22	0.201	23	0.149	26	0.112	28	33.5	40	0.134	41	0.134	42	0.134	44	0.134	45	0.134	43	0.134	46	0.134	30	0.201	50	0.186
2	11	4425	2	825	3	0.145	5	54	6	0.145	8	59	9	0.181	20	0.121	22	0.217	23	0.161	26	0.121	28	36.2	40	0.145	41	0.145	42	0.145	44	0.145	45	0.145	43	0.145	46	0.145	30	0.217	50	0.201
2	12	4800	2	886	3	0.155	5	58	6	0.155	8	63	9	0.194	20	0.129	22	0.233	23	0.173	26	0.129	28	38.9	40	0.155	41	0.155	42	0.155	44	0.155	45	0.155	43	0.155	46	0.155	30	0.233	50	0.216
2	13	5200	2	946	3	0.166	5	62	6	0.166	8	67	9	0.208	20	0.138	22	0.249	23	0.185	26	0.138	28	41.5	40	0.166	41	0.166	42	0.166	44	0.166	45	0.166	43	0.166	46	0.166	30	0.249	50	0.231
2	14	5600	2	1007	3	0.177	5	66	6	0.177	8	72	9	0.221	20	0.147	22	0.265	23	0.196	26	0.147	28	44.2	40	0.177	41	0.177	42	0.177	44	0.177	45	0.177	43	0.177	46	0.177	30	0.265	50	0.246
2	15	6050	2	1068	3	0.188	5	70	6	0.188	8	76	9	0.234	20	0.156	22	0.281	23	0.208	26	0.156	28	46.9	40	0.188	41	0.188	42	0.188	44	0.188	45	0.188	43	0.188	46	0.188	30	0.281	50	0.261
2	16	6475	2	1129	3	0.198	5	74	6	0.198	8	80	9	0.248	20	0.165	22	0.297	23	0.22	26	0.165	28	49.5	40	0.198	41	0.198	42	0.198	44	0.198	45	0.198	43	0.198	46	0.198	30	0.297	50	0.276
2	17	6900	2	1190	3	0.209	5	77	6	0.209	8	85	9	0.261	20	0.174	22	0.313	23	0.232	26	0.174	28	52.2	40	0.209	41	0.209	42	0.209	44	0.209	45	0.209	43	0.209	46	0.209	30	0.313	50	0.291
2	18	7350	2	1251	3	0.22	5	81	6	0.22	8	89	9	0.274	20	0.183	22	0.329	23	0.244	26	0.183	28	54.9	40	0.22	41	0.22	42	0.22	44	0.22	45	0.22	43	0.22	46	0.22	30	0.329	50	0.305
2	19	7825	2	1312	3	0.23	5	85	6	0.23	8	94	9	0.288	20	0.192	22	0.345	23	0.256	26	0.192	28	57.6	40	0.23	41	0.23	42	0.23	44	0.23	45	0.23	43	0.23	46	0.23	30	0.345	50	0.32
2	20	8300	2	1373	3	0.241	5	89	6	0.241	8	98	9	0.301	20	0.201	22	0.361	23	0.268	26	0.201	28	60.2	40	0.241	41	0.241	42	0.241	44	0.241	45	0.241	43	0.241	46	0.241	30	0.361	50	0.335
2	21	8800	2	1434	3	0.252	5	93	6	0.252	8	102	9	0.315	20	0.21	22	0.378	23	0.28	26	0.21	28	62.9	40	0.252	41	0.252	42	0.252	44	0.252	45	0.252	43	0.252	46	0.252	30	0.378	50	0.35
3	1	1800	2	402	3	0.053	5	26	6	0.053	8	29	9	0.066	20	0.044	22	0.079	23	0.059	26	0.044	28	13.2	40	0.053	41	0.053	42	0.053	44	0.053	45	0.053	43	0.053	46	0.053	30	0.079	50	0.06
3	2	2225	2	515	3	0.068	5	34	6	0.068	8	37	9	0.085	20	0.057	22	0.102	23	0.075	26	0.057	28	17	40	0.068	41	0.068	42	0.068	44	0.068	45	0.068	43	0.068	46	0.068	30	0.102	50	0.077
3	3	2650	2	629	3	0.083	5	41	6	0.083	8	45	9	0.103	20	0.069	22	0.124	23	0.092	26	0.069	28	20.7	40	0.083	41	0.083	42	0.083	44	0.083	45	0.083	43	0.083	46	0.083	30	0.124	50	0.094
3	4	3100	2	743	3	0.098	5	48	6	0.098	8	53	9	0.122	20	0.081	22	0.147	23	0.109	26	0.081	28	24.4	40	0.098	41	0.098	42	0.098	44	0.098	45	0.098	43	0.098	46	0.098	30	0.147	50	0.111
3	5	3550	2	857	3	0.113	5	56	6	0.113	8	61	9	0.141	20	0.094	22	0.169	23	0.125	26	0.094	28	28.2	40	0.113	41	0.113	42	0.113	44	0.113	45	0.113	43	0.113	46	0.113	30	0.169	50	0.128
