主属性ID	主属性库ID	属性类别	随机权重
10001	1000	2	0
10002	1000	3	1334
10003	1000	5	0
10004	1000	6	1333
10005	1000	8	0
10006	1000	9	1333
10007	1000	23	500
10008	1000	28	500
10009	1000	50	0
10010	1000	51	0
10011	1000	56	0
10012	1000	52	0
10013	1000	54	0
10014	1000	55	0
10015	1000	53	0
12001	2000	5	1000
13001	3000	2	0
13002	3000	3	1200
13003	3000	5	0
13004	3000	6	1200
13005	3000	8	0
13006	3000	9	1100
13007	3000	20	500
13008	3000	22	500
13009	3000	26	500
14001	4000	2	1000
15001	5000	2	0
15002	5000	3	900
15003	5000	5	0
15004	5000	6	900
15005	5000	8	0
15006	5000	9	800
15007	5000	40	200
15008	5000	41	200
15009	5000	46	200
15010	5000	42	200
15011	5000	44	200
15012	5000	45	200
15013	5000	43	0
15014	5000	30	200
