套装ID	套装激活件数	装备词缀ID	是否不被筛选	套装包含id列表
10001	2,4	210001		51140,51120,51150,51110,51130
10002	2,4	210002		52140,52120,52150,52110,52130
10003	2,4	210003		53140,53120,53150,53110,53130
10004	2,4	210004		54140,54120,54150,54110,54130
10005	2,4	210005		55140,55120,55150,55110,55130
10006	2,4	210006		56140,56120,56150,56110,56130
10007	2,4	210007		57140,57120,57150,57110,57130
10008	2,4	210008		58240,58220,58250,58210,58230
10009	2,4	210009		59140,59120,59150,59110,59130
10010	2,4	210010		60140,60120,60150,60110,60130
10011	2,4	210011		61140,61120,61150,61110,61130
10012	2,4	210012		62140,62120,62150,62110,62130
10013	2,4	210013		63140,63120,63150,63110,63130
14001	2,4	214001		71340,71320,71350,71310,71330
14002	2,4	214002		72340,72320,72350,72310,72330
14003	2,4	214003		73340,73320,73350,73310,73330
14004	2,4	214004		74340,74320,74350,74310,74330
15001	2,4	215001		75340,75320,75350,75310,75330
15002	2,4	215002		76340,76320,76350,76310,76330
15003	2,4	215003		77340,77320,77350,77310,77330
15004	2,4	215004		78340,78320,78350,78310,78330
15005	2,4	215005		79340,79320,79350,79310,79330
15006	2,4	215006		80340,80320,80350,80310,80330
15007	2,4	215007		81340,81320,81350,81310,81330
15008	2,4	215008		82340,82320,82350,82310,82330
15000	3,5		1	83340,83320,83350,83310,83330
