RewardID	原石	摩拉	冒险阅历	角色经验	好感经验	树脂	元素精魄	Reward道具1ID	Reward道具1数量	Reward道具2ID	Reward道具2数量	Reward道具3ID	Reward道具3数量	Reward道具4ID	Reward道具4数量	Reward道具5ID	Reward道具5数量	Reward道具6ID	Reward道具6数量	产出来源类型	每日产出次数上限	历史产出次数上限
100351	0	4750	175	100				0	0	0	0	0	0							10001		
100352	0	4750	175	100				0	0	0	0	0	0							10001		
100353	20	6000	225	175				108005	10	108032	10	0	0							10001		
100355	0	6250	225	200				0	0	0	0	0	0							10001		
100354	0	7500	275	325				0	0	0	0	0	0							10001		
100360	30	8000	275	350				0	0	0	0	0	0							10001		
100356	0	6750	225	300				0	0	0	0	0	0							10001		
100357	30	8500	275	925				0	0	0	0	0	0							10001		
100358	20	5500	175	625				104011	2	0	0	0	0							10001		
100306	30	8750	275	975				0	0	0	0	0	0							10001		
100307	30	8750	275	975				3021	1	0	0	0	0							10001		
100308	30	8750	275	975				3022	1	0	0	0	0							10001		
100370	0	7250	175	775				0	0	0	0	0	0							10001		
100371	0	11000	275	1150				0	0	0	0	0	0							10001		
100372	0	9250	225	950				0	0	0	0	0	0							10001		
100373	20	9250	225	950				0	0	0	0	0	0							10001		
100374	0	11000	275	1150				0	0	0	0	0	0							10001		
100375	0	9250	225	950				0	0	0	0	0	0							10001		
100376	0	9250	225	950				0	0	0	0	0	0							10001		
100377	0	5500	150	575				0	0	0	0	0	0							10001		
120101	0	5500	150	575				0	0	0	0	0	0							10001		
100379	20	9250	225	950				0	0	0	0	0	0							10001		
100380	30	10500	225	1075				0	0	0	0	0	0							10001		
100381	30	10500	225	1075				0	0	0	0	0	0							10001		
100382	30	10500	225	1075				0	0	0	0	0	0							10001		
100383	20	10500	225	1075				0	0	0	0	0	0							10001		
100384	50	19000	300	1925				915	1	0	0	0	0							10001		
100397	30	21500	350	0				63221	1	0	0	104001	9							10001		
100388	20	21500	350	0				63231	1	0	0	104001	9							10001		
100389	20	14250	225	0				0	0	0	0	104001	6							10001		
100390	30	23750	400	0				63251	1	63241	1	104001	10							10001		
100393	20	12000	200	0				0	0	0	0	104001	5							10001		
100394	30	28750	475	0				15401	1	0	0	104002	3							10001		
100396	50	23750	400	0				915	1	0	0	104001	10							10001		
101000	0	11750	150	0																10001		
101002	50	26500	325	0																10001		
101003	20	20750	250	0																10001		
100461	0	6000	200	0				0	0	104011	11	104001	7							10001		
100462	10	0	200	0				0	0	104011	11	104001	7							10001		
100463	40	0	300	0				11302	1	104011	16	104001	10							10001		
100451	0	22000	350	0				0	0	104012	13	104002	7							10001		
100452	10	0	350	0				0	0	104012	13	104002	7							10001		
100453	0	16500	250	0				0	0	104012	10	104002	5							10001		
100454	40	0	350	0				104307	5	104012	13	104002	7							10001		
100486	0	19000	250	0				0	0	104012	13	104002	7							10001		
100487	0	19000	250	0				0	0	104012	13	104002	7							10001		
100488	10	0	250	0				0	0	104012	13	104002	7							10001		
100489	0	19000	250	0				0	0	104012	13	104002	7							10001		
100490	40	0	300	0				104304	5	104012	15	104002	8							10001		
110100	0	13000	200	0				0	0	104012	6	104002	3							10001		
110101	50	0	200	0				104307	5	104012	6	104002	3							10001		
100481	0	6000	175	0				0	0	104011	11	104001	7							10001		
100480	10	0	175	0				0	0	104011	11	104001	7							10001		
100427	10	0	175	0				0	0	104011	11	104001	7							10001		
100484	0	6750	200	0				0	0	104011	13	104001	8							10001		
100485	30	0	200	0				104301	5	104011	13	104001	8							10001		
100464	10	0	225	0				0	0	104012	7	104002	4							10001		
100465	0	14000	225	0				0	0	104012	7	104002	4							10001		
100466	40	0	275	0				104304	5	104012	8	104002	4							10001		
111000	0	7000	125	0				0	0	104011	14	104001	5							10001		
111001	0	5000	75	0				0	0	104011	10	104001	4							10001		
111002	15	0	150	0				0	0	104011	16	104001	6							10001		
111003	0	7000	125	0				0	0	104011	14	104001	5							10001		
111004	35	0	300	0				0	0	104012	7	104002	3							10001		
111005	0	13750	250	0				104313	5	104012	6	104001	10							10001		
112000	0	9000	150	0				0	0	104012	5	104001	9							10001		
112001	10	0	100	0				0	0	104011	18	104001	7							10001		
112002	0	10500	175	0				0	0	104012	6	104002	2							10001		
112003	40	0	150	0				104316	5	104012	5	104001	9							10001		
110200	0	11750	150	0				0	0	104012	9	104002	4							10001		
110201	40	0	100	0				0	0	104012	6	104002	3							10001		
