台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	$#VersionBegin	$#VersionEnd
300000101	300000102		1	{QuestNpcID}		0.1
300000102	300000103		1	{QuestNpcID}		0.1
300000103	300000104		1	{QuestNpcID}		0.1
300000104	300000105		1	{QuestNpcID}		
300000105			1	{QuestNpcID}		
300000201			1	{QuestNpcID}		0.1
300000301			1	{QuestNpcID}		0.1
300000401	300000402		1	{QuestNpcID}		0.1
300000402			1	{QuestNpcID}		
300000501	300000502		1	{QuestNpcID}		
300000502			1	{QuestNpcID}		
300000601			2			
300000701	300000702		2			
300000702			1	{QuestNpcID}		
300000801	300000802		2			
300000802			1	{QuestNpcID}		
300000901	300000902		2			
300000902	300000903		1	{QuestNpcID}		
300000903			1	{QuestNpcID}		
300001001			1	{QuestNpcID}		
300001101	300001102		1	{QuestNpcID}		
300001102	300001103		1	{QuestNpcID}		
300001103			1	{QuestNpcID}		
300010101	300010102		1	{QuestNpcID}		0.1
300010102	300010103		1	{QuestNpcID}		0.1
300010103			1	{QuestNpcID}		0.1
300010104	300010105		1	{QuestNpcID}		
300010105			1	{QuestNpcID}		
300010106			1	{QuestNpcID}		
300010107			1	{QuestNpcID}		
300010201			1	{QuestNpcID}		0.1
300010301			1	{QuestNpcID}		0.1
300010401	300010402		1	{QuestNpcID}		0.1
300010402			1	{QuestNpcID}		
300010501	300010502		1	{QuestNpcID}		
300010502			1	{QuestNpcID}		
300010601			2			
300010701	300010702		2			
300010702			1	{QuestNpcID}		
300010801	300010802		2			
300010802			1	{QuestNpcID}		
300010901	300010902		2			
300010902	300010903		1	{QuestNpcID}		
300010903			1	{QuestNpcID}		
300011001			1	{QuestNpcID}		
300011101	300011102		1	{QuestNpcID}		
300011102	300011103		1	{QuestNpcID}		
300011103			1	{QuestNpcID}		
300110101	300110102		1	{QuestNpcID}		0.1
300110102	300110103		1	{QuestNpcID}		0.1
300110103			1	{QuestNpcID}		0.1
300110104			1	{QuestNpcID}		0.1
300110105			1	{QuestNpcID}		0.1
300110106			1	{QuestNpcID}		0.1
300110107			1	{QuestNpcID}		0.1
300110401	300110402		2			0.1
300110402	300110403		1	{QuestNpcID}		0.1
300110403			1	{QuestNpcID}		
300110501	300110502		2			0.1
300110502			1	{QuestNpcID}		0.1
300110201			1	{QuestNpcID}		0.1
300110301	300110302		1	{QuestNpcID}		0.1
300110302			1	{QuestNpcID}		0.1
300110601	300110602		2			0.1
300110602			1	{QuestNpcID}		0.1
300110701	300110702		2			0.1
300110702			1	{QuestNpcID}		0.1
300210101	300210102		1	{QuestNpcID}		
300210102	300210103		1	{QuestNpcID}		
300210103			1	{QuestNpcID}		
300210201	300210202		1	{QuestNpcID2}		
300210202	300210203		1	{QuestNpcID2}		
300210203	300210204	1	2			
300210204	300210205		1	{QuestNpcID2}		
300210205			1	{QuestNpcID2}		
300210301	300210302		2			
300210302			1	{QuestNpcID}		
300210401	300210402		2			
300210402			1	{QuestNpcID}		
