ID	要素池ID	随机权重	[样本]1类型	[样本]1内容	[样本]2类型	[样本]2内容	[样本]3类型	[样本]3内容
300010701	3000107	100	{PlayerLevel}	1,5	{MonsterLevel}	1		
300010702	3000107	100	{PlayerLevel}	6,10	{MonsterLevel}	4		
300010703	3000107	100	{PlayerLevel}	11,15	{MonsterLevel}	15		
300010704	3000107	100	{PlayerLevel}	16,20	{MonsterLevel}	22		
300010705	3000107	100	{PlayerLevel}	21,25	{MonsterLevel}	30		
300010706	3000107	100	{PlayerLevel}	26,30	{MonsterLevel}	26		
300010707	3000107	100	{PlayerLevel}	31,35	{MonsterLevel}	24		
300010708	3000107	100	{PlayerLevel}	36,40	{MonsterLevel}	23		
300010709	3000107	100	{PlayerLevel}	41,45	{MonsterLevel}	24		
300010710	3000107	100	{PlayerLevel}	46,50	{MonsterLevel}	26		
300010711	3000107	100	{PlayerLevel}	51,55	{MonsterLevel}	23		
300010712	3000107	100	{PlayerLevel}	56,60	{MonsterLevel}	26		
300010101	3000101	100	{QuestNpcID}	157701				
300020102	3000201	100	{QuestNpcID}	152301				
300030103	3000301	100	{QuestNpcID}	154901				
300040104	3000401	100	{QuestNpcID}	141301				
300050105	3000501	100	{QuestNpcID}	154101				
300060106	3000601	100	{QuestNpcID}	153901				
300070107	3000701	100	{QuestNpcID}	156301				
300010401	3000104	100	{QuestGatherID}	100001				
300010402	3000104	100	{QuestGatherID}	100011				
300010403	3000104	100	{QuestGatherID}	100012				
300010404	3000104	100	{QuestGatherID}	100013				
300010405	3000104	100	{QuestGatherID}	100014				
300010406	3000104	100	{QuestGatherID}	100015				
300010407	3000104	100	{QuestGatherID}	100016				
300010408	3000104	100	{QuestGatherID}	100020				
300010409	3000104	100	{QuestGatherID}	100051				
300010410	3000104	100	{QuestGatherID}	100062				
300010411	3000104	100	{QuestGatherID}	100063				
300010412	3000104	100	{QuestGatherID}	100084				
300010413	3000104	100	{QuestGatherID}	112002				
300010414	3000104	100	{QuestGatherID}	112003				
300010415	3000104	100	{QuestGatherID}	112005				
300010416	3000104	100	{QuestGatherID}	112006				
300010417	3000104	100	{QuestGatherID}	112008				
300010418	3000104	100	{QuestGatherID}	112009				
300010419	3000104	100	{QuestGatherID}	112011				
300010420	3000104	100	{QuestGatherID}	112012				
300010421	3000104	100	{QuestGatherID}	112014				
300010422	3000104	100	{QuestGatherID}	112015				
300010423	3000104	100	{QuestGatherID}	112020				
300010424	3000104	100	{QuestGatherID}	112021				
300020401	3000204	100	{QuestGatherID}	100001				
300020402	3000204	100	{QuestGatherID}	100011				
300020403	3000204	100	{QuestGatherID}	100012				
300020404	3000204	100	{QuestGatherID}	100013				
300020405	3000204	100	{QuestGatherID}	100014				
300020406	3000204	100	{QuestGatherID}	100015				
300020407	3000204	100	{QuestGatherID}	100016				
300020408	3000204	100	{QuestGatherID}	100020				
300020409	3000204	100	{QuestGatherID}	100051				
300020410	3000204	100	{QuestGatherID}	100052				
300020411	3000204	100	{QuestGatherID}	100053				
300020412	3000204	100	{QuestGatherID}	100055				
300020413	3000204	100	{QuestGatherID}	100056				
300020414	3000204	100	{QuestGatherID}	100057				
300020415	3000204	100	{QuestGatherID}	100063				
300030401	3000304	100	{QuestGatherID}	100016				
300030402	3000304	100	{QuestGatherID}	100020				
300030403	3000304	100	{QuestGatherID}	100051				
300030404	3000304	100	{QuestGatherID}	100062				
300030405	3000304	100	{QuestGatherID}	100063				
300030406	3000304	100	{QuestGatherID}	100084				
300030407	3000304	100	{QuestGatherID}	112002				
300030408	3000304	100	{QuestGatherID}	112003				
300030409	3000304	100	{QuestGatherID}	112005				
300030410	3000304	100	{QuestGatherID}	112006				
300030411	3000304	100	{QuestGatherID}	112008				
300030412	3000304	100	{QuestGatherID}	112009				
300040401	3000404	100	{QuestGatherID}	112002				
300040402	3000404	100	{QuestGatherID}	112003				
300040403	3000404	100	{QuestGatherID}	112005				
300040404	3000404	100	{QuestGatherID}	112006				
300040405	3000404	100	{QuestGatherID}	112008				
300040406	3000404	100	{QuestGatherID}	112009				
300040407	3000404	100	{QuestGatherID}	112011				
300040408	3000404	100	{QuestGatherID}	112012				
300040409	3000404	100	{QuestGatherID}	112014				
300040410	3000404	100	{QuestGatherID}	112015				
300040411	3000404	100	{QuestGatherID}	112020				
300040412	3000404	100	{QuestGatherID}	112021				
300040413	3000404	100	{QuestGatherID}	112023				
300040414	3000404	100	{QuestGatherID}	112024				
300050401	3000504	100	{QuestGatherID}	100061				
300050402	3000504	100	{QuestGatherID}	100064				
300050403	3000504	100	{QuestGatherID}	100073				
300050404	3000504	100	{QuestGatherID}	100081				
300050405	3000504	100	{QuestGatherID}	100083				
300050406	3000504	100	{QuestGatherID}	100084				
300050407	3000504	100	{QuestGatherID}	100086				
300050408	3000504	100	{QuestGatherID}	100087				
