ID	敏感词
1	提供阔刀地雷
2	提供炸弹闹钟
3	提供拆弹闹钟
4	提供遥控地雷
5	提供枪击闹钟
6	提供手雷水枪
7	提供手雷玩具
8	提供手雷打火机
9	提供地雷模型
10	提供地雷闹钟
11	DIY阔刀地雷
12	DIY炸弹闹钟
13	DIY拆弹闹钟
14	DIY遥控地雷
15	DIY枪击闹钟
16	DIY手雷水枪
17	DIY手雷玩具
18	DIY手雷打火机
19	DIY地雷模型
20	DIY地雷闹钟
21	制作阔刀地雷
22	制作炸弹闹钟
23	制作拆弹闹钟
24	制作遥控地雷
25	制作枪击闹钟
26	制作手雷水枪
27	制作手雷玩具
28	制作手雷打火机
29	制作地雷模型
30	制作地雷闹钟
31	出售阔刀地雷
32	出售炸弹闹钟
33	出售拆弹闹钟
34	出售遥控地雷
35	出售枪击闹钟
36	出售手雷水枪
37	出售手雷玩具
38	出售手雷打火机
39	出售地雷模型
40	出售地雷闹钟
41	供应阔刀地雷
42	供应炸弹闹钟
43	供应拆弹闹钟
44	供应遥控地雷
45	供应枪击闹钟
46	供应手雷水枪
47	供应手雷玩具
48	供应手雷打火机
49	供应地雷模型
50	供应地雷闹钟
51	定制阔刀地雷
52	定制炸弹闹钟
53	定制拆弹闹钟
54	定制遥控地雷
55	定制枪击闹钟
56	定制手雷水枪
57	定制手雷玩具
58	定制手雷打火机
59	定制地雷模型
60	定制地雷闹钟
61	怎么做阔刀地雷
62	怎么做炸弹闹钟
63	怎么做拆弹闹钟
64	怎么做遥控地雷
65	怎么做枪击闹钟
66	怎么做手雷水枪
67	怎么做手雷玩具
68	怎么做手雷打火机
69	怎么做地雷模型
70	怎么做地雷闹钟出售梅花鹿
71	出售砗磲
72	出售鹦鹉螺
73	出售犀角
74	出售蟒
75	出售扬子鳄
76	出售红珊瑚
77	出售金丝猴
78	批发梅花鹿
79	批发砗磲
80	批发鹦鹉螺
81	批发犀角
82	批发蟒
83	批发扬子鳄
84	批发红珊瑚
85	批发金丝猴提供区域短信设备
86	提供伪基站
87	提供小区圈地设备
88	出租区域短信设备
89	出租伪基站
90	出租小区圈地设备
91	试用区域短信设备
92	试用伪基站
