商品ID	对应物品ID	对应物品数量	消耗金币	消耗水晶	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	限购数量	刷新间隔	上架时间	下架时间	是否终身限购
1001	106	1								1	2014-01-01 00:00:00	2035-01-01 00:00:00	
1002	107	3								1	2014-01-01 00:00:00	2035-01-01 00:00:00	
101001	223	1		160							2014-01-01 00:00:00	2035-01-01 00:00:00	
101002	224	1		160							2014-01-01 00:00:00	2035-01-01 00:00:00	
101003	223	1			221	7					2014-01-01 00:00:00	2035-01-01 00:00:00	
101004	224	1			221	7					2014-01-01 00:00:00	2035-01-01 00:00:00	
101005	1014	1			221	50			1	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101006	1121	1			221	30			6	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101007	1115	1			221	30			6	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101008	1106	1			221	30			6	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101009	223	1			222	128			5	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101010	224	1			222	128			5	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101011	202	10000			222	10			30	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101012	104111	3			222	30			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101013	104121	3			222	30			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101014	104151	3			222	30			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101015	104161	3			222	30			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101016	104171	3			222	30			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101017	104141	3			222	30			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101018	114001	3			222	12			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101019	114005	3			222	12			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101020	114009	3			222	12			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101021	114013	3			222	12			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101022	114017	3			222	12			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101023	114021	3			222	12			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101024	112002	3			222	2			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101025	112005	3			222	2			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101026	112008	3			222	2			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101027	112011	3			222	2			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101028	112032	3			222	2			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101029	112014	3			222	5			20	30	2014-01-01 00:00:00	2035-01-01 00:00:00	
101030	112020	3			222	5			20	30	2014-01-01 00:00:01	2035-01-01 00:00:01	
101031	112023	3			222	5			20	30	2014-01-01 00:00:02	2035-01-01 00:00:02	
101032	112029	3			222	5			20	30	2014-01-01 00:00:03	2035-01-01 00:00:03	
101033	112026	3			222	5			20	30	2014-01-01 00:00:04	2035-01-01 00:00:04	
101034	112017	3			222	5			20	30	2014-01-01 00:00:05	2035-01-01 00:00:05	
101035	104002	3			222	8					2014-01-01 00:00:06	2035-01-01 00:00:06	
101036	104012	3			222	3					2014-01-01 00:00:07	2035-01-01 00:00:07	
102001	104012	1			305	3			30	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102002	104002	1			305	7			30	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102003	104111	1			305	25			2	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102004	104121	1			305	25			2	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102005	104151	1			305	25			2	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102006	104161	1			305	25			2	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102007	104171	1			305	25			2	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102008	104141	1			305	25			2	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102009	104301	1			305	15			3	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102010	104304	1			305	15			3	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102011	104307	1			305	15			3	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102012	114001	1			305	10			3	9999	2014-01-01 00:00:01	2035-01-01 00:00:01	1
102013	114005	1			305	10			3	9999	2014-01-01 00:00:02	2035-01-01 00:00:02	1
102014	114009	1			305	10			3	9999	2014-01-01 00:00:03	2035-01-01 00:00:03	1
102015	202	1000			305	3					2014-01-01 00:00:04	2035-01-01 00:00:04	
102051	104012	1			307	3			60	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
