ID	商店类型	商品ID	最小队伍等级	最大队伍等级	排序等级	最小可见等级
1	1007	1001	1	99	1	1
2	1007	1002	1	99	1	1
101	1001	101001	4	99	1	1
102	1001	101002	4	99	1	1
103	1001	101003	4	99	1	1
104	1001	101004	4	99	1	1
105	1001	101005	10	99	1	1
106	1001	101006	10	99	1	1
107	1001	101007	10	99	1	1
108	1001	101008	10	99	1	1
110	1001	101010	4	99	1	1
111	1001	101011	10	99	1	1
112	1001	101012	10	99	1	1
113	1001	101013	10	99	1	1
114	1001	101014	10	99	1	1
115	1001	101015	10	99	1	1
116	1001	101016	10	99	1	1
117	1001	101017	10	99	1	1
118	1001	101018	10	99	1	1
119	1001	101019	10	99	1	1
120	1001	101020	10	99	1	1
121	1001	101021	10	99	1	1
122	1001	101022	10	99	1	1
123	1001	101023	10	99	1	1
124	1001	101024	10	99	1	1
125	1001	101025	10	99	1	1
126	1001	101026	10	99	1	1
127	1001	101027	10	99	1	1
128	1001	101028	10	99	1	1
129	1001	101029	10	99	1	1
130	1001	101030	10	99	1	1
131	1001	101031	10	99	1	1
132	1001	101032	10	99	1	1
133	1001	101033	10	99	1	1
134	1001	101034	10	99	1	1
135	1001	101035	10	99	1	1
136	1001	101036	10	99	1	1
201	1002	102001	1	99	1	1
202	1002	102002	1	99	1	1
203	1002	102003	1	99	1	1
204	1002	102004	1	99	1	1
205	1002	102005	1	99	1	1
206	1002	102006	1	99	1	1
207	1002	102007	1	99	1	1
208	1002	102008	1	99	1	1
209	1002	102009	1	99	1	1
210	1002	102010	1	99	1	1
211	1002	102011	1	99	1	1
212	1002	102012	1	99	1	1
213	1002	102013	1	99	1	1
214	1002	102014	1	99	1	1
215	1002	102015	1	99	1	1
251	1009	102051	1	99	1	1
252	1009	102052	1	99	1	1
253	1009	102053	1	99	1	1
254	1009	102054	1	99	1	1
255	1009	102055	1	99	1	1
256	1009	102056	1	99	1	1
257	1009	102057	1	99	1	1
258	1009	102058	1	99	1	1
259	1009	102059	1	99	1	1
260	1009	102060	1	99	1	1
261	1009	102061	1	99	1	1
262	1009	102062	1	99	1	1
263	1009	102063	1	99	1	1
264	1009	102064	1	99	1	1
265	1009	102065	1	99	1	1
301	1003	103001	1	99	1	1
302	1003	103002	1	99	1	1
303	1003	103003	1	99	1	1
304	1003	103004	1	99	1	1
305	1003	103005	1	99	1	1
401	1004	104001	1	99	1	1
402	1004	104002	1	99	1	1
403	1004	104003	1	99	1	1
404	1004	104004	1	99	1	1
405	1004	104005	1	99	1	1
406	1004	104006	1	99	1	1
407	1004	104007	1	99	1	1
408	1004	104008	1	99	1	1
451	1008	104001	1	99	1	1
452	1008	104002	1	99	1	1
453	1008	104003	1	99	1	1
454	1008	104004	1	99	1	1
455	1008	104005	1	99	1	1
456	1008	104006	1	99	1	1
457	1008	104007	1	99	1	1
458	1008	104008	1	99	1	1
501	1005	105001	1	99	1	1
502	1005	105002	1	99	1	1
503	1005	105003	1	99	1	1
504	1005	105004	1	99	1	1
505	1005	105005	1	99	1	1
506	1005	105006	1	99	1	1
507	1005	105007	1	99	1	1
508	1005	105008	1	99	1	1
509	1005	105009	1	99	1	1
510	1005	105010	1	99	1	1
511	1005	105011	1	99	1	1
512	1005	105012	1	99	1	1
513	1005	105013	1	99	1	1
514	1005	105014	1	99	1	1
515	1005	105015	15	99	1	1
516	1005	105016	20	99	1	1
517	1005	105017	25	99	1	1
518	1005	105018	30	99	1	1
519	1005	105019	35	99	1	1
520	1005	105020	40	99	1	1
601	1006	106001	1	99	1	1
602	1006	106002	1	99	1	1
603	1006	106003	1	99	1	1
604	1006	106004	1	99	1	1
605	1006	106005	1	99	1	1
606	1006	106006	1	99	1	1
701	1010	107001	1	99	1	1
702	1010	107002	1	99	1	1
703	1010	107003	1	99	1	1
704	1010	107004	1	99	1	1
705	1010	107005	1	99	1	1
706	1010	107006	15	99	1	1
707	1010	107007	25	99	1	1
708	1010	107008	30	99	1	1
709	1010	107009	35	99	1	1
