天赋ID	开启天赋配置	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	参数1	参数2	参数3	参数4	参数5	参数6	前置星命	激活消耗主材料ID	激活消耗主材料数量	激活消耗副材料ID	激活消耗副材料数量	$#VersionBegin	$#VersionEnd
21	Ayaka_Constellation_1											0	1102	1				
22	Ayaka_Constellation_2	23	0.08									21	1102	1				
23	Ayaka_Constellation_3											22	1102	1				
24	Ayaka_Constellation_4											23	1102	1				
25	Ayaka_Constellation_5											24	1102	1				
26	Ayaka_Constellation_6											25	1102	1				
31	Qin_Talent_1					0.5	0.15						1103	1				
32	Qin_Talent_2					0.15	0.15	15				31	1103	1				
33	Qin_Talent_3											32	1103	1				
34	Qin_Talent_4					0.4						33	1103	1				
35	Qin_Talent_5											34	1103	1				
36	Qin_Talent_6					0.35						35	1103	1				
41	Lisa_Constellation_1											0	1106	1				
42	Lisa_Constellation_2											41	1106	1				
43	Lisa_Constellation_3											42	1106	1				
44	Lisa_Constellation_4											43	1106	1				
45	Lisa_Constellation_5											44	1106	1				
46	Lisa_Constellation_6											45	1106	1				
71	Player_Wind_Constellation_1											0	915	1				
72	Player_Wind_Constellation_2	23	0.16									71	915	1				
73	Player_Wind_Constellation_3											72	915	1				
74	Player_Wind_Constellation_4											73	915	1				
75	Player_Wind_Constellation_5											74	915	1				
76	Player_Wind_Constellation_6											75	915	1				
91	Player_Rock_Constellation_1											0	917	1				
92	Player_Rock_Constellation_2											91	917	1				
93	Player_Rock_Constellation_3											92	917	1				
94	Player_Rock_Constellation_4											93	917	1				
95	Player_Rock_Constellation_5											94	917	1				
96	Player_Rock_Constellation_6											95	917	1				
141	Barbara_Constellation_1											0	1114	1				
142	Barbara_Constellation_2											141	1114	1				
143	Barbara_Constellation_3											142	1114	1				
144	Barbara_Constellation_4											143	1114	1				
145	Barbara_Constellation_5											144	1114	1				
146	Barbara_Constellation_6											145	1114	1				
151	Kaeya_Constellation_1											0	1115	1				
152	Kaeya_Constellation_2											151	1115	1				
153	Kaeya_Constellation_3											152	1115	1				
154	Kaeya_Constellation_4											153	1115	1				
155	Kaeya_Constellation_5											154	1115	1				
156	Kaeya_Constellation_6											155	1115	1				
161	Diluc_Talent_1					0.15							1116	1				
162	Diluc_Talent_2					0.1	0.05	10	3	1.5		161	1116	1				
163	Diluc_Talent_3											162	1116	1				
164	Diluc_Talent_4					0.4						163	1116	1				
165	Diluc_Talent_5											164	1116	1				
166	Diluc_Talent_6					6	0.3	0.3				165	1116	1				
201	Razor_Constellation_1											0	1120	1				
202	Razor_Constellation_2											201	1120	1				
203	Razor_Constellation_3											202	1120	1				
204	Razor_Constellation_4											203	1120	1				
205	Razor_Constellation_5											204	1120	1				
206	Razor_Constellation_6											205	1120	1				
211	Ambor_Talent_212					0.2						0	1121	1				
212	Ambor_Talent_213					2						211	1121	1				
213	Ambor_Talent_E_Levelup											212	1121	1				
214	Ambor_Talent_211											213	1121	1				
215	Ambor_Talent_S_Levelup											214	1121	1				
216	Ambor_Talent_216					0.2	0.3	10				215	1121	1				
221	Venti_Constellation_1											0	1122	1				
222	Venti_Constellation_2											221	1122	1				
223	Venti_Constellation_3											222	1122	1				
224	Venti_Constellation_4											223	1122	1				
225	Venti_Constellation_5											224	1122	1				
226	Venti_Constellation_6											225	1122	1				
231	Xiangling_Talent_231					0.15	6					0	1123	1				
232	Xiangling_Talent_232					2	2	0.2				231	1123	1				
233	Xiangling_Talent_E_Levelup											232	1123	1				
234	Xiangling_Talent_234					2.1						233	1123	1				
235	Xiangling_Talent_S_Levelup											234	1123	1				
236	Xiangling_Talent_236					0.15						235	1123	1				
241	Beidou_Constellation_1					0.35						0	1124	1				
242	Beidou_Constellation_2											241	1124	1				
243	Beidou_Constellation_3											242	1124	1				
244	Beidou_Constellation_4					0.2	10	0.1				243	1124	1				
245	Beidou_Constellation_5											244	1124	1				
246	Beidou_Constellation_6					0.15						245	1124	1				
261	Xiao_Constellation_1											0	1126	1				
