对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
1	2	1												3		101	9004	
2	2	1												3		201	9005	
3	2	1												3		301	9006	
4	2	1												3		401	9007	
34701	2	1												3		3470101	1246	
34702	2	1												3		3470201	1247	
34703	2	1												3		3470301	1248	
34704	2	1												3		3470401	1249	
34705	2	1												3		3470501	1250	
34706	2	1												3		3470601	1251	
34707	2	1												3		3470701	1252	
34708	2	1												3		3470801	1253	
34709	2	1												3		3470901	1254	
34710	2	1												3		3471001	1255	
34711	2	1												3		3471101	1513	
34712	2	1												3		3471201	1514	
34713	2	1												3		3471301	20049	
34714	2	1												3		3471401	20050	
34715	2	1												3		3471501	20051	
34716	2	1												3		3471601	20052	
34717	2	1												3		3471701	20053	
34718	2	1												3		3471801	20054	
34719	2	1												3		3471901	20055	
34720	2	1												3		3472001	20059	
34721	2	1												3		3472101	20060	
34722	2	1												3		3472201	20061	
34723	2	1												3		3472301	20062	
34724	2	1												3		3472401	20063	
34725	2	1												3		3472501	20064	
34726	2	1												3		3472601	20065	
34727	2	1												3		3472701	20066	
34728	2	1												3		3472801	20067	
34729	2	1												3		3472901	20068	
34801	2	1		1	34801	2								3		3480101	1245	
34802	2	1		1	34802	2								3		3480201	1245	
34803	2	1		1	34803	2								3		3480301	1245	
34804	2	1		1	34804	2								3		3480401	1245	
34805	2	1		1	34805	2								3		3480501	1245	
34806	2	1		1	34806	2								3		3480601	1245	
34807	2	1		1	34807	2								3		3480701	1245	
34808	2	1		1	34808	2								3		3480801	1245	
34809	2	1		1	34809	2								3		3480901	1245	
34810	2	1		1	34810	2								3		3481001	1245	
34811	2	1		1	34811	2								3		3481101	1245	
34812	2	1		1	34812	2								3		3481201	1245	
34813	2	1		1	34813	2								3		3481301	1245	
34814	2	1		1	34814	2								3		3481401	1245	
34815	2	1		1	34815	2								3		3481501	1245	
34816	2	1		1	34816	2								3		3481601	1245	
34901	2	1		1	34901	2								3		3490101	1244	
34902	2	1		1	34902	2								3		3490201	1244	
34903	2	1		1	34903	2								3		3490301	1244	
34904	2	1		1	34904	2								3		3490401	1244	
34905	2	1		1	34905	2								3		3490501	1244	
34906	2	1		1	34906	2								3		3490601	1244	
34907	2	1		1	34907	2								3		3490701	1244	
34908	2	1		1	34908	2								3		3490801	1244	
34909	2	1		1	34909	2								3		3490901	1244	
34910	2	1		1	34910	2								3		3491001	1244	
34911	2	1		1	34911	2								3		3491101	1244	
34912	2	1		1	34912	2								3		3491201	1244	
35216	2	1		1	35202	2								5		3521601	1005	352
35328	2	1		1	35301	2								5		3532801	1005	353
35506	2	1		1	35505	2								5		3550601	1005	355
35507	2	1		1	35503	2								5		3550701	1005	355
35404	2	1		1	35402	2								5		3540401	1002	354
36001	2	1		1	36004	2								5		3600101	1002	360
35601	1	1		1	35601	2								5		3560101	1002	356
35604	2	1		1	35604	2								1		3560401	1002	356
35723	2	1		1	35723	2								5		3572301	1002	357
35724	2	1		1	35801	2								5		3572401	1005	358
35801	2	1		1	35802	2								5		3580101	1006	358
30603	2	1		1	30600	2								4		3060301	1002	
30611	2	1		1	30601	2								5		3061101	1002	306
30612	2	1		1	30602	2								5		3061201	1002	306
30610	2	1		1	30610	2								1		3061001	1002	306
30703	2	1		1	30700	2								4		3070301	1004	
30711	2	1		1	30701	2								5		3071101	1004	307
30712	1	1		1	30710	2								5		3071201	1004	307
30714	2	1		1	30702	2								5		3071401	1004	307
30715	2	1		1	30715	2								1		3071501	1004	307
30803	2	1		1	30800	2								4		3080301	1007	
30811	2	1		1	30801	2								5		3081101	1007	308
30812	1	1		1	30810	2								5		3081201	1007	308
30813	2	1		1	30802	2								5		3081301	1007	308
30814	2	1		1	30814	2								1		3081401	1007	308
30903	2	1		1	30901	2								4		3090301	1006	309
30902	2	1	1	1	31101	2		1	46904	2				5		3090201	1005	311
30904	2	1	1	1	31101	2		1	46904	3				5		3090401	1005	311
30911	2	1		1	30901	2								5		3091101	10001	309
30912	2	1		1	30901	2								5		3091201	10002	309
30913	2	1		1	30901	2								5		3091301	10003	309
30914	2	1		1	30901	2								5		3091401	10004	309
30915	2	1		1	30901	2								5		3091501	10005	309
30916	2	1		1	30901	2								5		3091601	10006	309
31001	2													1		3100101	1003	
31002	2													1		3100201	22	
31003	2													1		3100301	23	
31004	2													1		3100401	24	
31005	2													1		3100501	25	
31006	2													1		3100601	26	
31008	2													1		3100801	1305	
31009				1	31001	2								5	31010,31011,31012	3100901	1435	
31010														1	31013,31014,31015,31020	3101001	1435	
31011														1	31016,31017,31018,31019,31020	3101101	1435	
31012														1		3101201	1435	
31013				1	31002	2								1		3101301	1435	
31014				1	31003	2								1		3101401	1435	
31015				1	31004	2								1		3101501	1435	
31016				1	31005	2								1		3101601	1435	
31017				1	31006	2								1		3101701	1435	
31018				1	31007	2								1		3101801	1435	
31019				1	31008	2								1		3101901	1435	
31020				1	31001	2								1		3102001	1435	
31101	2													1	31104,31107	3110101	31	
31102	2													1	31105,31108	3110201	32	
31103	2													1	31106,31109	3110301	33	
31104																3110401	31	
31105																3110501	32	
31106																3110601	33	
31107																3110701	31	
31108																3110801	32	
31109																3110901	33	
31110	2													1	31111,31112	3111001	30	
31111																3111101	30	
31112																3111201	30	
31141	2		1	1	35205	3		18	3	1					31159,31153,31157,31156	3114101	1201	
31142	2		1	1	30302	3		18	3	3					31158,31153,31157,31156	3114201	1202	
31143	2		1	1	30303	3		18	3	2					31158,31153,31157,31156	3114301	1203	
31144	2		1	1	30304	3		18	3	4					31158,31153,31157,31156	3114401	1204	
31145	2		1	1	30305	3		18	3	5					31158,31161,31157,31156	3114501	1205	
31146	2		1	1	30306	3		18	3	7					31158,31161,31157,31156	3114601	1206	
31147	2		1	1	30307	3		18	3	6					31158,31161,31157,31156	3114701	1207	
31148	2		1	1	30308	3		18	3	8					31158,31161,31157,31156	3114801	1208	
31149	2															3114901	1209	
31150			1	5	7			6	1		1	35205	3	1		3115001	1201,1202,1203,1204,1205,1206,1207,1208,1209	
31151														1		3115101	1201,1202,1203,1204,1205,1206,1207,1208,1209	
31152														1		3115201	1201,1202,1203,1204,1205,1206,1207,1208,1209	
31153			1	5	7			6	1		1	35205	3	1		3115301	1201,1202,1203,1204,1205,1206,1207,1208,1209	
31154														1		3115401	1201,1202,1203,1204,1205,1206,1207,1208,1209	
31155														1		3115501	1201,1202,1203,1204,1205,1206,1207,1208,1209	
31156														1		3115601	1201,1202,1203,1204,1205,1206,1207,1208,1209	
31157				16	1									1		3115701	1201,1202,1203,1204,1205,1206,1207,1208,1209	
31158				16	1									1		3115801	1201,1202,1203,1204,1205,1206,1207,1208,1209	
31159			1	1	46902	3		16	1					1		3115901	1201,1202,1203,1204,1205,1206,1207,1208,1209	
31160				16	1									1		3116001	1201,1202,1203,1204,1205,1206,1207,1208,1209	
31161			1	5	8			6	1		1	35205	3	1		3116101	1201,1202,1203,1204,1205,1206,1207,1208,1209	
31201	2													1		3120101	34	
31202	2													1		3120201	35	
31234	2													1	31235,31236	3123401	86	
31235															31237,31238,31239,31240,31241,31242	3123501	86	
