对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
4000102	1	1		1	4000102	2									5		400010201	1005	40001
4000103	1	1		1	4000103	2									5		400010301	2026	40001
4000110	2	1		1	4000110	2									5		400011001	2004	40001
4000202	2	1		1	4000202	2									5		400020201	2029	40002
4000205	2	1		1	4000205	2									5		400020501	2029	40002
4000208	2	1	2	1	4000701	2		1	4000702	2					5		400020801	10205	40007
4000214	2	1		1	4000214	2									5		400021001	1005	40002
4000215	2	1		1	4000215	2									5		400021501	2056	40002
4000302	2	1		1	4000302	2									5		400030201	2056	40003
4000304	2	1		1	4000304	2									5		400030401	242801	40003
4000307	1	1		1	4000307	2									5		400030701	1005	40003
4000309	2	1		1	4000309	2									5		400030901	 10204	40003
4000402	2	1		1	4000402	2									5		400040201	1004	40004
4000403	2	1		1	4000403	2									5		400040301	146101	40004
4000409	2	1		1	4000409	2									5		400040901	10207	40004
4000408	1	1		1	4000408	2									5		400040801	10207	40004
4000502	2	1		1	4000502	2									6		400050201	10205	40005
4000504	1	1		1	4000504	2									6		400050401	10205	40005
4000505	2	1		1	4000505	2									5		400050501	 10204	40005
4000601	2	1													5		400060101	10215	
7201501	2	1		31	1001										4		720150101	2015	
7200101	2	1		31	1001										4		720150101	2001	
7200301	2	1		31	1001										4	7200302,7200303	720030101	2003	
7200302	2	1													1		720030201	2003	
7200303	2	1													1		720030301	2003	
7203601	2	1		31	1001										4		720360101	2036	
7200401	2	1		31	1001										4	7200402,7200403,7200404	720040101	2004	
7200402	2	1		10	1006	1									1		720040201	2004	
7200403	2	1													1		720040301	2004	
7200404	2	1													1		720040401	2004	
7200501	2	1		31	1001										4		720050101	2005	
7200601	2	1		31	1001										4		720060101	2006	
7209201	2	1		31	1001										4	7209202,7209203	720920101	2092	
7209202	2	1													1		720920201	2092	
7209203	2	1													1		720920301	2092	
7204401	2	1		31	1001										4	7204402,7204403	720440101	2044	
7204402	2	1													1		720440201	2044	
7204403	2	1													1		720440301	2044	
7201801	2	1		31	1001										4		720180101	2018	
7200701	2	1		31	1001										4		720180101	2007	
7162501	2	1		31	1001										4		716250101	1625	
7200801	2	1		31	1001										4		720080101	2008	
7200901	2	1		31	1001										4		720090101	2009	
7202101	2	1		31	1001										4		720210101	2021	
7201001	2	1		31	1001										4		720100101	2010	
7201101	2	1		31	1001										4		720110101	2011	
7202301	2	1		31	1001										4		720230101	2023	
7209101	2	1		31	1001										4		720910101	2091	
7201201	2	1		31	1001										4	7201202,7201203,7201204	720120101	2012	
7201202	2	1													1		720120201	2012	
7201203	2	1													1		720120301	2012	
7201204	2	1													1		720120401	2012	
7202501	2	1		31	1001										4		720250101	2025	
7202601	2	1		31	1001										4	7202602,7202603	720260101	2026	
7202602	2	1													1		720260201	2026	
7202603	2	1													1		720260301	2026	
7202701	2	1		31	1001										4		720270101	2027	
7202801	2	1		31	1001										4		720280101	2028	
7202901	2	1		31	1001										4	7202902,7202903,7202904,7202905	720290101	2029	
7202902	2	1		1	4000111	3									1		720290201	2029	
7202903	2	1													1		720290301	2029	
7202904	2	1													1		720290401	2029	
7202905	2	1													1		720290501	2029	
7209301	2	1		31	1001										4	7209302,7209303	720930101	2093	
7209302	2	1													1		720930201	2093	
7209303	2	1													1		720930301	2093	
7201401	2	1		31	1001										4		720140101	2014	
7220201	2	1		31	1001										4		722020101	2202	
