对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
2100101	2												5		210010101	20019	
2100102	2												5		210010201	20022	
2100103	2												5		210010301	20023	
2100104	2												5		210010401	20044	
2100105	2												5		210010501	20045	
2100201	2												5		210020101	20042	
2100202	2			1	2100202	2							5		210020201	20028	
2100301	2	1		1	2100301	2							5	2100302,2100303	210030101	2429	21003
2100302		1		1	2100301	2							2		210030201	2429	21003
2100303		1		1	2100301	2							2		210030301	2429	21003
2100311	2	1		1	2100311	2							5		210031101	2429	21003
2100399	2	1		1	2100399	2							5		210039901	2429	21003
2100401	2			1	2100401	2							5	2100490	210040101	2211	21004
2100490													5	2100402,2100409	210049001	2211	21004
2100491	2			1	2100402	2							5	2100402,2100409	210049001	2211	21004
2100402				1	2100402	2							5		210040201	2211	21004
2100409				1	2100402	2							5		210040901	2211	21004
2100403	2			1	2100403	2							5	2100492,2100493,2100495	210040301	2211	21004
2100404				1	2100403	2							5	2100492,2100493,2100495	210040301	2211	21004
2100492				1	2100403	2							5	2100404	210049201	2211	21004
2100493				1	2100403	2							5	2100404	210049301	2211	21004
2100495				1	2100403	2							5		210049501	2211	21004
2100420	2			1	2100420	2							5		210042001	2211	21004
2100421	2			1	2100421	2							5		210042101	2211	21004
2100430	2			1	2100430	2							5		210043001	2211	21004
2100440	2			1	2100440	2							5		210044001	2211	21004
2100450	2			1	2100450	2							5		210045001	2211	21004
2100601	2												3		210060101	20027	21019
2100602	2			1	2101901	3							3		210060201	20047	21019
2100603	2												3		210060301	20056	
2100604	2												3		210060401	20057	
2100605	2												3		210060501	20058	
2100501	2	1											5	2100502,2100503,2100504	210050101	20029	
2100502	2	1												2100506	210050201	20029	
2100503	2	1												2100505	210050301	20029	
2100504	2	1												2100516	210050401	20029	
2100505	2	1												2100502,2100503,2100504	210050501	20029	
2100506	2	1												2100507,2100512,2100514	210050601	20029	
2100507	2	1												2100508,2100509,2100510,2100511	210050701	20029	
2100508	2	1		1	2100501	2									210050801	20029	
2100509	2	1		1	2100503	2									210050901	20029	
2100510	2	1		1	2100505	2									210051001	20029	
2100511	2	1		1	2100506	3									210051101	20029	
2100512	2	1		1	2100506	3								2100513	210051201	20029	
2100513	2	1												2100507,2100512,2100514	210051301	20029	
2100514	2	1												2100515	210051401	20029	
2100515	2	1												2100502,2100503,2100504	210051501	20029	
2100516	2	1													210051601	20029	
2100517	2	1	2	1	2100502	2	1	2100504	2	1	2100506	2			210051701	20029	
2100701	2	1		1	2100701	2							3		210070101	20030	
2100800	2			1	2100800	2							4	2100890	210080000	2428	21008
2100890													4	2100802,2100801,2100804,2100805	210089000	2428	21008
2100891	2			1	2100801	2							4	2100802,2100801,2100804,2100805	210089001	2428	21008
2100801													4		210080101	2428	21008
2100802													4		210080201	2428	21008
2100804													4	2100891	210080401	2428	21008
2100805													4	2100891	210080501	2428	21008
