对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
2210001	2			1	2210001	2										6		221000101	2202	22100
2210002	2		1	1	2210001	3		1	2210002	2						6		221000201	2202	22100
2210003	2		1	1	2210002	3		1	2210003	2						6		221000301	2202	22100
2210101	2			1	2210101	2										6		221010101	2202	22101
2210102	2		1	1	2210101	3		1	2210102	2						6		221010201	2202	22101
2210103	2		1	1	2210102	3		1	2210103	2						6		221010301	2202	22101
2210201	2			1	2210201	2										6		221020101	2202	22102
2210202	2		1	1	2210201	3		1	2210202	2						6		221020201	2202	22102
2210203	2		1	1	2210202	3		1	2210203	2						6		221020301	2202	22102
2210301	2			1	2210301	2										6		221030101	2208	22103
2210302	2		2	1	2210303	2		1	2210302	2						6		221030201	2208	22103
2210303	2			1	2210304	2										6		221030301	2208	22103
2210401	2			1	2210401	2										6		221040101	2208	22104
2210402	2		2	1	2210403	2		1	2210402	2						6		221040201	2208	22104
2210403	2			1	2210404	2										6		221040301	2208	22104
2210501	2			1	2210501	2										6		221050101	2208	22105
2210502	2		2	1	2210503	2		1	2210502	2						6		221050201	2208	22105
2210503	2			1	2210504	2										6		221050301	2208	22105
2210601	2			1	2210601	2										6		221060101	2017	22106
2210602	2			1	2210602	2										6		221060201	207401	22106
2210603	2			1	2210603	2										6		221060301	207401	22106
2210604	2			1	2210604	2										6		221060401	207401	22106
2210605	2			1	2210605	2										6		221060501	203001	22106
2210606	2			1	2210606	2										6		221060601	203001	22106
2210607	2			1	2210607	2										6		221060701	203001	22106
2210608	2			1	2210608	2										6		221060801	203101	22106
2210609	2			1	2210609	2										6		221060901	203101	22106
2210610	2			1	2210610	2										6		221061001	203101	22106
2210611	2			1	2210611	2										6	2210612,2210613,2210633,2210623,2210614,2210632,2210615,2210631,2210616,2210630,2210617,2210629,2210618,2210628,2210619,2210627,2210620,2210626,2210621,2210625,2210622,2210624,2210634	221061101	2017	22106
2210612				24	3	18	22106									6		221061201	2017	22106
2210624				24	3	17	22106									6		221061301	2017	22106
2210625				24	3	16	22106									6		221061401	2017	22106
