对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
1100003	2	1		1	1100003	2							5		110000301	1012	11000
1100004	2	1		1	1100004	2							5		110000401	1012	11000
1100005	2	1	1	1	1100005	2	3	100061	3				5		110000501	1012	11000
1100099	2	1	1	1	1100005	2	8	100061	3				5		110000401	1012	11000
1100102	2	1		1	1100102	2							5		110010201	153701	11001
1100104	2	1		1	1100104	2							5		110010401	1012	11001
1100202	2	1		1	1100202	2							5		110020201	1012	11002
1100207	2	1		1	1100207	2							5		110020701	1012	11002
1100302	2	1		1	1100302	2							5		110030201	163001	11003
1100399	2	1		1	1100303	2							5		110039901	163001	11003
1100398	2	1		1	1100303	2							5		110039801	1012	11003
1100304	2	1	1	1	1100304	2	3	108021	1				5		110030401	163001	11003
1100397	2	1	1	1	1100304	2	8	108021	1				5		110039901	163001	11003
1100396	2	1	1	1	1100304	2	8	108021	1				5		110039801	1012	11003
1100403	2	1		1	1100403	2							5		110040301	1012	11004
1100501	2	1		1	1100501	2							5		110050101	163001	11005
1100502	2	1		1	1100502	2							5		110050201	1012	11005
1100503	2	1		1	1100503	2							5		110050301	1012	11005
1100599	2	1	2	1	1100504	2	1	1100503	2				5		110059901	153701	11005
1100598	2	1	2	1	1100504	2	1	1100503	2				5		110059801	154101	11005
1100597	2	1	2	1	1100505	2	1	1100506	2				5		110059701	1012	11005
1100508	2	1		1	1100508	2							5		110050801	1012	11005
1100596	2	1		1	1100509	2							5		110059601	1012	11005
1100509	2	1	1	1	1100510	2	1	1100509	3				5		110051001	1012	11005
1100510	2	1	1	1	1100510	2	1	1100509	4				5		110051002	1012	11005
1100595	2	1		1	1100511	2							5		110059501	1012	11005
1100594	2	1	2	1	1100504	2	1	1100503	2				5		110059803	163101	11005
1100592	2	1	2	1	1100515	2	1	1100516	2	1	1100517	2	5		110059901	153701	11005
1100591	2	1	2	1	1100515	2	1	1100516	2	1	1100517	2	5		110059801	154101	11005
1100590	2	1	2	1	1100515	2	1	1100516	2	1	1100517	2	5		110059803	163101	11005
1100589	2	1	2	1	1100504	2	1	1100503	2				5		110059805	163001	11005
1100588	2	1	2	1	1100515	2	1	1100516	2	1	1100517	2	5		110059805	163001	11005
1100512	2	1	1	1	1100512	2	3	108013	1				5		110051201	1012	11005
1100513	2	1	1	19	8		1	1100513	2				5		110051301	1012	11005
1100514	2	1		1	1100514	2							5		110051401	1012	11005
1100515	2	1		1	1100515	2							5		110051501	1012	11005
1100516	2	1		1	1100516	2							5		110051601	1012	11005
1100593	2	1	1	1	1100517	2	8	108070	1				5		110051601	1012	11005
1100517	2	1	1	1	1100517	2	3	108070	1				5		110051701	1012	11005
1100518	2	1		1	1100518	2							5		110051801	153701	11005
1100519	2	1		1	1100519	2							5		110051901	1012	11005
1100701	2	1		1	99902	3							5		110070101	20039	
1100702	2	1		1	99902	3							5		110070201	20040	
1100703	2	1		1	99902	3							5		110070301	20041	
1300101	1	1		1	1300101	2							5		130010101	1005	
1300103	1	1		1	1300103	2							5		130010301	1005	
1300104	2	1		1	1300104	2							5		130010401	1005	
1300105	2	1		1	1300105	2							5		130010501	1005	
1300106	2	1		1	1300106	2							5		130010601	1005	
1300107	2	1		1	1300107	2							5		130010701	1005	
1300108	2	1		1	1300108	2							5		130010801	1005	
1300110	1	1		1	1300110	2							5		130011001	1005	
1300201	2	1		1	1300201	2							5		130020101	1005	
1300203	2	1		1	1300203	2							5		130020301	1005	
1300205	2	1		1	1300205	2							5		130020501	1005	
1300207	1	1		1	1300207	2							5		130020701	1005	
1300209	1	1		1	1300209	2							5		130020901	1005	
1300303	1	1		1	1300303	2							5		130030301	1005	
1300304	1	1		1	1300304	2							5		130030401	1005	
1300305	1	1		1	1300305	2							5		130030501	1005	
1300401	1	1		1	1300401	2							5		130040101	1005	
1300403	1	1		1	1300403	2							5		130040301	1005	
1300405	2	1		1	1300405	2							5		130040501	1005	
1300406	2	1		1	1300406	2							5		130040601	1005	
