对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
100001	2	1		1	100001	2										6		10000101	1005	1000
100002	2	1	1	1	100002	2		1	100005	2						6		10000201	203601	1000
10000201	2	1	1	1	100002	2		1	100005	3						6		10000221	203601	1000
10000202	2	1	1	1	100002	3		1	100006	2						6		10000231	203601	1000
10000203	2	1	1	1	100006	3		1	100007	2						6		10000231	203601	1000
100003	2	1	1	1	100003	2		1	100005	2						6		10000301	202301	1000
10000301	2	1	1	1	100003	2		1	100005	3						6		10000321	202301	1000
10000302	2	1	1	1	100003	3		1	100006	2						6		10000331	202301	1000
10000304	2	1	1	1	100006	3		1	100007	2						6		10000331	202301	1000
10000303	2	1	1	1	100003	3		1	100006	2						6		10000333	200901	1000
10000305	2	1	1	1	100006	3		1	100007	2						6		10000333	200901	1000
100004	2	1	1	1	100004	2		1	100005	2						6		10000401	201301	1000
10000401	2	1	1	1	100004	2		1	100005	3						6		10000421	201301	1000
10000402	2	1	1	1	100004	3		1	100006	2						6		10000411	201301	1000
10000405	2	1	1	1	100006	3		1	100007	2						6		10000411	201301	1000
10000403	2	1	1	1	100004	3		1	100006	2						6		10000413	201101	1000
10000404	2	1	1	1	100004	3		1	100006	2						6		10000414	162501	1000
10000406	2	1	1	1	100006	3		1	100007	2						6		10000413	201101	1000
10000407	2	1	1	1	100006	3		1	100007	2						6		10000414	162501	1000
100021	2	1	1	1	100021	2		1	100023	2						6		10002101	2003002	1000
10002101	2	1	1	1	100021	2		1	100023	3						6		10002111	2003002	1000
10002102	2	1	1	1	100021	3		1	100024	2						6		10002113	209001	1000
10002103	2	1	1	1	100024	3		1	100026	2						6		10002113	209001	1000
100022	2	1	1	1	100022	2		1	100023	2						6		10002201	2003003	1000
10002201	2	1	1	1	100022	2		1	100023	3						6		10002211	2003003	1000
10002202	2	1	1	1	100022	3		1	100024	2						6		10002208	207201	1000
10002203	2	1	1	1	100024	3		1	100026	2						6		10002208	207201	1000
100015	1	1		1	100015	2										6		10001501	1005	1000
100013	1	1		1	100013	2										6		10001301	10200	1000
100014	2	1		1	100014	2										6		10001401	10200	1000
100101	1	1		1	100101	2										6		10010101	2002901	1000
100102	1	1		1	100101	2										6		10010103	2003001	1000
100103	2	1	1	1	100403	2		1	100012	3						6		10002221	2003007	
100202	1	1		1	100202	2										5		10020201	1005	1002
100205	1	1		1	100205	2										5		10020501	2002801	1002
100399	2	1	1	1	100303	2		1	100319	2						5		10030301	10204	1003
100398	2	1	1	1	100303	2		1	100319	3						5		10030304	10204	1003
100304	2	1		1	100304	2										5		10030401	220801	1003
100306	2	1		1	100306	2										5		10030601	220401	1003
100308	2	1		1	100308	2										5		10030801	1005	1003
100309	2	1		1	100309	2										5		10030901	220401	1003
100310	2	1		1	100310	2										7		10031001	220801	1003
100315	2	1		1	100315	2										5		10031501	231101	1003
100316	2	1		1	100316	2										5		10031601	220401	1003
100317	2	1	1	1	100317	2		3	100428	1						5		10031701	10204	1003
100397	2	1		1	99902	3										5		10031801	10200	1003
100396	2	1		1	100318	2										5		10031801	10200	1003
100395	2	1		1	100304	2										6	100304,100394,100393,100392	10039501	220801	1003
100394	2	1														5		10039401	220801	1003
100393	2	1														5		10039301	220801	1003
100392	2	1														5		10039201	220801	1003
100391	2	1	2	1	100307	2		1	100308	2						5		10039101	220401	1003
100390	2	1	2	1	100310	2		1	100321	2		1	100311	2		5		10039001	220401	1003
100389	2	1		1	100317	2										5		10038901	220401	1003
100388	2	1	2	1	100305	2		1	100306	2		1	100307	2		6	100394,100393,100392	10038801	220801	1003
100386	2	1	2	1	100308	2		1	100309	2						6	100394,100393,100392	10038801	220801	1003
100387	2	1	2	1	100321	2		1	100311	2						6	100394,100393,100392	10038701	220801	1003
