对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
42901	2	1		1	42901	2											42902,42903	4290101	1180	
42902		1																4290201	1180	
42903		1																4290301	1180	
42904	2	1		1	42902	2												4290401	1180	
42905	2	1		1	42904	2												4290501	1180	
42906	2	1		1	42905	2												4290601	1180	
2000102	2			1	2000102	2										5		200010201	140301	20001
2000109	2		1	1	2000102	3		1	2000103	2						5		200010901	140301	20001
2000110	2			1	2000104	2										5		200011001	140301	20001
2001101	2			1	2001102	2										5		200110101	140801	20011
2001102	2		1	1	2001102	3		1	2001103	2						5		200110201	140801	20011
2001103	2			1	2001104	2										5		200110301	140801	20011
2001201	2			1	2001202	2										5		200120101	157001	20012
2001202	2		1	1	2001202	3		1	2001203	2						5		200120201	157001	20012
2001203	2			1	2001204	2										5		200120301	157001	20012
2001301	2			1	2001302	2										5		200130101	141301	20013
2001302	2		1	1	2001302	3		1	2001303	2						5		200130201	141301	20013
2001303	2			1	2001304	2										5		200130301	141301	20013
2000501	2			1	2000501	2										5		200050101	155101	20005
2000502	2		1	1	2000501	3		1	2000502	2						5		200050201	155101	20005
2000504	2			1	2000502	3										5		200050401	155101	20005
2000505																5		200050501	155101	20005
2000506																4		200050601	155101	20005
2002301	2			1	2002301	2										5		200230101	147101	20023
2002302	2			1	2002302	2										5		200230201	146101	20023
2002303	2			1	2002304	2										5		200230301	1465	20023
2002304	2			1	2002305	2										5		200230401	147101	20023
2002305	2		2	1	2002302	2		1	2002303	2		1	2002304	2		5		200230501	147101	20023
2002307	2		2	1	2002306	2		1	2002307	2						5		200230701	147101	20023
2002308				1	2002307	2										5		200230801	146101	20023
2002309	2			1	2002308	2										5		200230901	147101	20023
2001901	2			1	2001901	2										5		200190101	155101	20019
2001902	2		1	1	2001901	3						1	2001903	2		5		200190201	155101	20019
2001904	2			1	2001903	3										5		200190401	155101	20019
2001905																5		200190501	155101	20019
2001906																4		200190601	155101	20019
2002501	2			1	2002501	2										5		200250101	155101	20025
2002502	2		1	1	2002501	3						1	2002503	2		5		200250201	155101	20025
2002504	2			1	2002503	3										5		200250401	155101	20025
2002505																5		200250501	155101	20025
2002506																4		200250601	155101	20025
2003501	2			1	2003501	2										5		200350101	155101	20035
2003502	2		1	1	2003501	3		1	2003502	2						5		200350201	155101	20035
2003504	2			1	2003502	3										5		200350401	155101	20035
