对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
48602	2	1		1	48602	2							5		4860201	1419	486
48603	1	1		1	48603	2							5		4860301	10030	486
48605	2	1		1	48605	2							5		4860501	10031	486
48607	2	1		1	48607	2							5		4860701	1006	486
48608	2	1		1	48608	2							5		4860801	1008	486
48610	2	1		1	48610	2							5		4861001	1004	486
48611	2	1	1	2	48607	3	1	48602	3				5		4861101	1419	486
48612	2	1	1	2	48607	3	1	48603	3				5		4861201	10030	486
48613	2	1	1	2	48607	3	1	48605	3				5		4861301	10031	486
48614	2	1	1	1	48609	2							5		4861401	1008	486
48701	1	1		1	48701	2							5		4870101	10031	487
48702	2	1		1	48702	2							5		4870201	10007	487
48703	2	1		1	48703	2							5		4870301	10031	487
48704	2	1	1	2	48702	3	1	48701	3				1		4870401	10031	487
48705	2	1		1	48706	2							5		4870501	1005	487
48706		1		1	48704	2							5		4870601	1005	487
48710	2	1		1	48710	2							5		4871001	10031	487
48711	2	1		1	48711	2							3		4871101	10031	487
48712	2	1		1	48712	2							3		4871201	1005	487
48800	1	1		1	48800	2							5		4880001	10030	488
48801	2	1		1	48801	2							5		4880101	153501	488
48803	2	1		1	48803	2							5		4880301	153501	488
48804	2	1	1	1	48800	3	2	48802	3				5		4880401	10030	488
48901	1	1		1	48901	2							5		4890101	1419	489
48910	2	1	1	19	4		1	48902	2				5		4891001	1419	489
48902	2	1		1	48909	2							4		4890201	1419	489
48911	2	1	1	19	5		1	48903	2				5		4891101	1419	489
48903	2	1	1	1	48905	2	1	48903	2				4		4890301	1419	489
48904	2	1	1	1	48906	2	1	48903	2				5		4890401	1419	489
48912	2	1	1	19	6		1	48904	2				5		4891201	1419	489
48905	2	1	1	1	48907	2	1	48904	2				4		4890501	1419	489
48906	2	1	1	1	48908	2	1	48904	2				5		4890601	1419	489
48907	2	1		1	48902	2							4		4890701	1419	489
48908	2	1		1	48903	2							3		4890801	1419	489
48909	2	1		1	48904	2							3		4890901	1419	489
49001	2	1		1	49001	2							5		4900101	1008	490
49003	1	1		1	49003	2							5		4900301	1006	490
49006	2	1		1	49006	2							5		4900601	1006	490
49007	1	1		1	49007	2							5		4900701	1437	490
49009	2	1		1	49009	2							5		4900901	1006	490
49010	2	1		1	49010	2							5		4901001	1006	490
49012	2	1		1	49012	2							5		4901201	1006	490
49000	2	1	1	1	49001	3	1	49002	2				5		4900007	1008	490
49013	2	1		1	49010	2							5		4901301	100801	490
49014	2	1		1	49010	2							5		4901401	100401	490
49015	2	1		1	49010	2							5		4901501	100101	490
49016	2	1		1	49010	2							5		4901601	100901	490
49017	2	1		1	49010	2							5		4901701	100701	490
49018	2	1		1	49010	2							5		4901801	100201	490
1200002	1	1		1	1200002	2							5		120000201	1005	12000
1200003	1	1		1	1200003	2							5		120000301	1625	12000
1200005	2	1		1	1200005	2							5		120000501	1624	12000
1200006	1	1		1	1200006	2							5		120000601	10045	12000
1200010	1	1		1	1200010	2							5		120001001	10045	12000
1200102	1	1		1	1200102	2							5		120010201	1005	12001
1200103	2	1		1	1200103	2							5		120010301	2073	12001
1200105	1	1		1	1200105	2							5		120010501	1005	12001
1200107	1	1		1	1200107	2							5		120010701	162601	12001
1200108	2	1		1	1200108	2							5		120010801	10045	12001
1200202	1	1		1	1200202	2							5		120020201	1005	12002
1200203	2	1		1	1200203	2							5		120020301	1627	12002
1200208	2	1		1	1200208	2							5		120020801	1628	12002
1200210	2	1		1	1200210	2							5		120021001	1628	12002
1200211	2	1		1	1200211	2							5		120030101	1624	12002
1200304	1	1		1	1200304	2							5		120030401	10045	12003
1200306	1	1		1	1200306	2							5		120030601	10045	12003
1200308	1	1		1	1200308	2							5		120030801	10045	12003
1200309	2	1		1	1200309	2							5		120030901	1624	12003
1200012	2	1		1	1200007	2							3		610045101	10045	12000
1200013	2	1		1	1200101	2							3		610045201	10045	12001
1200014	2	1		1	1200102	2							3		610045201	10045	12001
1200015	2	1		1	1200103	2							3		610045201	10045	12001
1200016	2	1		1	1200104	2							3		610045201	10045	12001
1200017	2	1		1	1200105	2							3		610045201	10045	12001
1200018	2	1		1	1200106	2							3		610045201	10045	12001
1200019	2	1		1	1200107	2							3		610045201	10045	12001
1200020	2	1		1	1200109	2							3		610045201	10045	12001
1200021	2	1		1	1200110	2							3		610045201	10045	12001
1200022	2	1		1	1200111	2							3		610045201	10045	12001
1200023	2	1		1	1200201	2							3		610045301	10045	12002
1200024	2	1		1	1200202	2							3		610045301	10045	12002
1200025	2	1		1	1200203	2							3		610045301	10045	12002
1200026	2	1		1	1200204	2							3		610045301	10045	12002
1200027	2	1		1	1200205	2							3		610045301	10045	12002
1200028	2	1		1	1200206	2							3		610045301	10045	12002
1200029	2	1		1	1200207	2							3		610045301	10045	12002
1200030	2	1		1	1200208	2							3		610045301	10045	12002
1200031	2	1		1	1200209	2							3		610045301	10045	12002
1200032	2	1		1	1200210	2							3		610045301	10045	12002
1200033	2	1		1	1200212	2							3		610045301	10045	12002
1200034	2	1		1	1200213	2							3		610045301	10045	12002
1200035	2	1		1	1200214	2							3		610045301	10045	12002
1200036	2	1		1	1200215	2							3		610045301	10045	12002
1200037	2	1		1	1200216	2							3		610045301	10045	12002
