对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
1020001	2	1		1	1020008	2							5		102000101	1006	10200
1020002	1	1		1	1020015	2							5		102000201	1467	10200
1020003	1	1		1	1020005	2							5		102000301	1005	10200
1020004	1	1		1	1020007	2							5		102000401	1006	10200
1020006	1	1		1	1020010	2							5		102000601	10090	10200
1020007		1		1	1020004	2							1		102000701	141401	10200
1020008		1		1	1020011	2							1		102000801	160301	10200
1020009		1		1	1020012	2							1		102000901	1465	10200
1020010		1		1	1020013	2							1		102001001	152301	10200
1020005	2	1		1	1020012	2							5	1020009,40190,40191,40193	102000501	1465	10200
1020011	2	1		1	1020004	2							3	1020007,1020012,1020013,1020014	102001101	141401	10200
1020012		1											1		102001201	141401	10200
1020013		1											1		102001301	141401	10200
1020014		1											1		102001401	141401	10200
1020022	2	1		1	1020004	3							3	1020012,1020013,1020014	102002201	141401	10200
1020015	2	1		1	1020013	2							3	1020010,1020016,1020017	102001501	152301	10200
1020016		1											1		102001601	152301	10200
1020017		1											1		102001701	152301	10200
1020023	2	1		1	1020013	3							3	1020016,1020017	102002301	152301	10200
1020018	2	1		1	1020011	2							3	1020008,1020019	102001801	160301	10200
1020019		1											1		102001901	160301	10200
1020024	2	1		1	1020011	3							3	1020019	102002401	160301	10200
1020021	2	1											3		102002101	10094	
1020101	1	1		1	1020112	2							5		102010101	10090	10201
1020103	1	1		1	1020113	2							5		102010301	10090	10201
1020104	1	1		1	1020111	2							5		102010401	10090	10201
1020106	1	1		1	1020114	2							5		102010601	10091	10201
1020107	1	1		1	1020115	2							5		102010701	10091	10201
1020201	1	1		1	1020201	2							5		102020101	1006	10202
1020204	2	1		1	1020204	2							5		102020401	10092	10202
1020301	2	1		1	1020301	2							5		102030101	1006	10203
1020302	2	1		1	1020302	2							5		102030201	10092	10203
1020303	2	1		1	1020301	3							5		102030301	1006	10203
1040001	2	1		1	1040001	2							5		104000101	1008	10400
