对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
6151701	2	1											3	6151702,6151703,6151704	615170101	1517	
6151702	2	1											1		615170201	1517	
6151703	2	1											1		615170301	1517	
6151704	2	1											1		615170401	1517	
6151905	2	1		1	35901	2							4	6151906,6151902,6151903,6151904	615190501	1519	
6151906	2	1		1	35901	2							1		615190601	1519	
6151901	2	1											3	6151902,6151903,6151904	615190101	1519	
6151902	2	1											1		615190201	1519	
6151903	2	1											1		615190301	1519	
6151904	2	1											1		615190401	1519	
6152101	2	1											3	6152102,6152103,6152104	615210101	1521	
6152102	2	1											1		615210201	1521	
6152103	2	1											1		615210301	1521	
6152104	2	1											1		615210401	1521	
6152301	2	1											3	6152302,6152303	615230101	1523	
6152302	2	1											1		615230201	1523	
6152303	2	1											1		615230301	1523	
6152501	2	1											3	6152502,6152503	615250101	1525	
6152502	2	1											1		615250201	1525	
6152503	2	1											1		615250301	1525	
6152701	2	1											3	6152702,6152703	615270101	1527	
6152702	2	1											1		615270201	1527	
6152703	2	1											1		615270301	1527	
6152901	2	1											3	6152902,6152903	615290101	1529	
6152902	2	1											1		615290201	1529	
6152903	2	1											1		615290301	1529	
6153101	2	1											3	6153102,6153103,6153104	615310101	1531	
6153102	2	1											1		615310201	1531	
6153103	2	1											1		615310301	1531	
6153104	2	1											1		615310401	1531	
6153501	2	1											3	2002603,6153502,6153503,6153504	615350101	1535	
6153502	2	1											1		615350201	1535	
6153503	2	1											1		615350301	1535	
6153504	2	1											1		615350401	1535	
6153901	2	1											3	6153902,6153903,6153904	615390101	1539	
6153902	2	1											1		615390201	1539	
6153903	2	1											1		615390301	1539	
6153904	2	1											1		615390401	1539	
6154101	2	1											3	6154102,6154103,6154104	615410101	1541	
6154102	2	1											1		615410201	1541	
6154103	2	1											1		615410301	1541	
6154104	2	1											1		615410401	1541	
6154301	2	1		21	1								3	6154302,6154303,6154304	615430101	1543	
6154302	2	1		21	1								1		615430201	1543	
6154303	2	1		21	1								1		615430301	1543	
6154304	2	1		21	1								1		615430401	1543	
6154305	2	1		21	0								3	6154306,6154307,6154308	615430501	1543	
6154306	2	1		21	0								1		615430601	1543	
6154307	2	1		21	0								1		615430701	1543	
6154308	2	1		21	0								1		615430801	1543	
6154501	2	1											3	6154502,6154503	615450101	1545	
6154502	2	1											1		615450201	1545	
6154503	2	1											1		615450301	1545	
6154701	2	1											3	6154702,6154703	615470101	1547	
6154702	2	1											1		615470201	1547	
6154703	2	1											1		615470301	1547	
6155301	2	1											3	6155302,6155303	615530101	1553	
6155302	2	1											1		615530201	1553	
6155303	2	1											1		615530301	1553	
6155501	2	1											3	6155502,6155503,6155504	615550101	1555	
6155502	2	1											1		615550201	1555	
6155503	2	1											1		615550301	1555	
6155504	2	1											1		615550401	1555	
6156101	2	1											3	6156102,6156103,6156104	615610101	1561	
6156102	2	1											1		615610201	1561	
6156103	2	1											1		615610301	1561	
6156104	2	1											1		615610401	1561	
6156701	2	1											3	6156702,6156703,6156704	615670101	1567	
6156702	2	1											1		615670201	1567	
6156703	2	1											1		615670301	1567	
6156704	2	1											1		615670401	1567	
6156901	2	1											3	6156902,6156903	615690101	1569	
6156902	2	1											1		615690201	1569	
6156903	2	1											1		615690301	1569	
6155701	2	1											3	6155702,6155703	615570101	1557	
6155702	2	1											1		615570201	1557	
6155703	2	1											1		615570301	1557	
6155101	2	1											3	6155102,6155103,6155104	615510101	1551	
6155102	2	1											1		615510201	1551	
6155103	2	1											1		615510301	1551	
6155104	2	1											1		615510401	1551	
6156501	2	1											3	6156502,6156503,6156504	615650101	1565	
6156502	2	1											1		615650201	1565	
6156503	2	1											1		615650301	1565	
6156504	2	1											1		615650401	1565	
6158901	2	1											3	6158902,6158903	615890101	1589	
6158902	2	1											1		615890201	1589	
6158903	2	1											1		615890301	1589	
6159101	2	1											3	6159102,6159103	615910101	1591	
6159102	2	1											1		615910201	1591	
6159103	2	1											1		615910301	1591	
6159201	2	1											3	6159202,6159203	615920101	1592	
6159202	2	1											1		615920201	1592	
6159203	2	1											1		615920301	1592	
6154901	2	1											3	6154903,6154904	615490101	1549	
6154903	2	1											1		615490301	1549	
6154904	2	1											1		615490401	1549	
6153301	2	1											3	6153304,6153305,6153306	615330101	1533	
6153304	2	1											1		615330401	1533	
6153305	2	1											1		615330501	1533	
6153306	2	1											1		615330601	1533	
6153701	2	1		21	1								3	2006101,2006104,2006105,2006109,2006110,2006113,6153702,6153703,6153704	615370101	1537	
6153702	2	1		21	1								1		615370201	1537	
6153703	2	1		21	1								1		615370301	1537	
6153704	2	1		21	1								1		615370401	1537	
6153705	2	1		21	0								3	2006101,2006104,2006105,2006109,2006110,2006113,6153706,6153707,6153709	615370501	1537	
6153706	2	1		21	0								1		615370601	1537	
6153707	2	1		21	0								1		615370701	1537	
6153709	2	1		21	0								1		615370901	1537	
6156301	2	1											3	6156302,6156303,6156304	615630101	1563	
6156302	2	1		1	41803	2							1		615630201	1563	
6156303	2	1		1	41803	3							1		615630301	1563	
6156304	2	1											1		615630401	1563	
6155901	2	1		1	30904	2							3	6155903,6155905	615590101	1559	
6155902	2	1		1	30904	3							3	6155904,6155905	615590201	1559	
6155903	2	1											1		615590301	1559	
6155904	2	1											1		615590401	1559	
6155905	2	1											1		615590501	1559	
6159501	2	1											1		615950101	1595	
6159601	2	1											1		615960101	1596	
6158101	2	1											3	6158102,6158103,6158104	615810101	1581	
6158102	2	1											1		615810201	1581	
6158103	2	1											1		615810301	1581	
6158104	2	1											1		615810401	1581	
6158301	2	1											3	6158302,6158303,6158304	615830101	1583	
6158302	2	1											1		615830201	1583	
6158303	2	1											1		615830301	1583	
6158304	2	1											1		615830401	1583	
6158501	2	1											3	6158502,6158503,6158504	615850101	1585	
6158502	2	1											1		615850201	1585	
6158503	2	1											1		615850301	1585	
6158504	2	1											1		615850401	1585	
6158701	2	1											3	2003901,2003907,2003908,2003909,2003910,2003911,2003912,2003913,2003914,2003915,6158705,6158702,6158703,6158704	615870101	1587	
6158702	2	1											1		615870201	1587	
6158703	2	1											1		615870301	1587	
6158704	2	1											1		615870401	1587	
6158705	2	1		10	30	1							1		615870501	1587	
40150	2	1													4015140101	1401	
40151	2	1		21	1										4015140301	1403	
40152	2	1		21	0										4015140401	1404	
40153	2	1											3	46413,41715,41716	4015140501	1405	
41715	2	1											1		4015140502	1405	
41716	2	1											1		4015140505	1405	
6009301	2	1											5	6009302,6009303	4015140501	93	
6009302	2	1											1		4015140502	93	
6009303	2	1											1		4015140505	93	
40154	2	1													4015140801	1408	
6140901	2	1		1	35901	2							4	6140902,46111,46110,40215,40216,40217	614090101	1409	
6140902	2	1		1	35901	2							1		614090201	1409	
40155	2	1											3	46111,46110,40215,40216,40217	4015140901	1409	
40215	2	1											1	40218	4015140902	1409	
40216	2	1											1	40219	4015140903	1409	
40217	2	1											1	40220	4015140904	1409	
40218	2	1											1		4015140905	1409	
40219	2	1											1		4015140909	1409	
40220	2	1											1		4015140913	1409	
40156	2	1		21	0										4015141001	1410	
40157	2	1		21	1								3	46113,46105,40221,40223	4015141101	1411	
40221	2	1											1		4015141102	1411	
40222	2	1											1		4015141103	1411	
40223	2	1											1		4015141104	1411	
40158	2	1		21	0								3	40227,40229	4015141201	1411	
40227	2	1											1		4015141202	1411	
40229	2	1											1		4015141204	1411	
40159	2	1											3	46114,46106,40224,40225,40226	4015141301	1413	
40224	2	1											1		4015141302	1413	
40225	2	1											1		4015141303	1413	
40226	2	1											1		4015141304	1413	
40160	2	1		21	0										4015141401	1414	
40161	2	1													4015146701	1467	
6141702	2	1		1	35901	2							4	46411,6141701,6141704,41712,6141703,41713,41714	614170201	1417	
6141703	2	1		1	35901	2							1		614170301	1417	
40162	2	1											2	46411,6141701,6141704,41712,41713,41714	4015141701	1417	
6141701	2	1	1	10	37	1	27	0					1		614170101	1417	
6141704	2	1	1	10	37	1	27	1					1		614170401	1417	
41712	2	1		10	1003	1							1		4015141702	1417	
41713	2	1											1		4015141714	1417	
41714	2	1											1		4015141705	1417	
40163	2												2	2000601,2000604,2002601,2002602,2002604,2001601,2001602,2006112,46417,1010005,41701,41702,41703	4015141901	1419	
41701	2	1		10	1005	1							1		4015141902	1419	
41702	2	1											1		4015141916	1419	
41703	2	1											1		4015141905	1419	
40164	2	1													4015142101	1421	
40165	2	1											3	6142301,6142302,6142303,46406,41704,41705,41706	4015142351	1423	
