层ID	层	关卡组ID	等级	编队数量	5星奖励	10星奖励	15星奖励	星数解锁	地脉异常
1001	1	1	17	1	610001	610021	610041	10	1150
1002	2	2	25	1	610002	610022	610042	10	1151
1003	3	3	33	1	610003	610023	610043	10	1152
1004	4	4	41	1	610004	610024	610044	10	1153
1005	5	5	47	1	610005	610025	610045	10	1154
1006	6	6	53	1	610006	610026	610046	10	1140
1007	7	7	59	2	610007	610027	610047	10	1141
1008	8	8	64	2	610008	610028	610048	10	1142
1009	9	9	69	2	610009	610029	610049	10	1143
1010	10	10	74	2	610010	610030	610050	10	1144
1011	11	11	82	2	610011	610031	610051	10	1155
1012	12	12	90	2	610012	610032	610052	10	1156
1013	13	13	91	2	610013	610033	610053	10	5
1014	14	14	91	2	610014	610034	610054	10	3
1015	15	15	91	2	610015	610035	610055	10	3
1016	16	16	91	2	610016	610036	610056	10	4
1017	17	17	91	2	610017	610037	610057	10	3
1018	18	18	91	2	610018	610038	610058	10	2
1019	19	19	91	2	610019	610039	610059	10	5
1020	20	20	91	2	610020	610040	610060	0	3
2001	1	1	17	1	610001	610021	610041	10	1150
2002	2	2	25	1	610002	610022	610042	10	1151
2003	3	3	33	1	610003	610023	610043	10	1152
2004	4	4	41	1	610004	610024	610044	10	1153
2005	5	5	47	1	610005	610025	610045	10	1154
2006	6	6	53	1	610006	610026	610046	10	1140
2007	7	7	59	2	610007	610027	610047	10	1141
2008	8	8	64	2	610008	610028	610048	10	1142
2009	9	9	69	2	610009	610029	610049	10	1143
2010	10	10	74	2	610010	610030	610050	10	1144
2011	11	11	82	2	610011	610031	610051	10	1155
2012	12	12	90	2	610012	610032	610052	10	1156
2013	13	13	91	2	610013	610033	610053	10	5
2014	14	14	91	2	610014	610034	610054	10	3
2015	15	15	91	2	610015	610035	610055	10	3
2016	16	16	91	2	610016	610036	610056	10	4
2017	17	17	91	2	610017	610037	610057	10	3
2018	18	18	91	2	610018	610038	610058	10	2
2019	19	19	91	2	610019	610039	610059	10	5
2020	20	20	91	2	610020	610040	610060	0	3
