关卡ID	组ID	组内序号	地城ID	[评价]1条件	[评价]1参数	[评价]2条件	[评价]2参数	[评价]3条件	[评价]3参数	战前增益ID1	战前增益ID2	战前增益ID3	每日奖励RewardId	首通奖励RewardId	怪物等级
1	1	1	3100	3	1,90	3	1,150	3	1,210	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	6:100,7:100,15:100,16:100,17:100,18:100		621001	18
2	1	2	3101	3	1,90	3	1,150	3	1,210	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	19:100		621002	20
3	1	3	3102	3	1,90	3	1,150	3	1,210	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	6:100,7:100,15:100,16:100,17:100,18:100		621003	23
4	1	4	3103	3	1,90	3	1,150	3	1,210	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	6:100,7:100,15:100,16:100,17:100,18:100		621004	26
5	1	5	3104	3	1,150	3	1,180	3	1,240	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	19:100		621005	28
6	2	1	3110	2	230200002,2016,30	2	230200002,2016,50	2	230200002,2016,70	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	6:100,7:100,15:100,16:100,17:100,18:100		621006	26
7	2	2	3111	2	230201004,4019,30	2	230201004,4019,50	2	230201004,4019,70	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	19:100		621007	28
8	2	3	3112	2	230202004,4019,30	2	230202004,4019,50	2	230202004,4019,70	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	6:100,7:100,15:100,16:100,17:100,18:100		621008	31
9	2	4	3113	3	1,60	3	1,90	3	1,180	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	6:100,7:100,15:100,16:100,17:100,18:100		621009	34
10	2	5	3114	3	1,180	3	1,210	3	1,240	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	19:100		621010	36
