试用角色ID	角色参数	武器	圣遗物	技能库编号	天赋	固有得意技	核心得意技等级	主动技能等级	$#VersionBegin	$#VersionEnd
1	10000021;5;0	15201;5;0	1;2		1;2		1	1		
2	10000015;5;0	11201;5;0	1;2		1;2		1	1		
3	10000006;5;0	14201;5;0	1;2		1;2		1	1		
4	10000016;23;1	12401;23;1	21;22;23;24;25		1;2;3	1	2	2		
5	10000022;26;1	15301;26;1	21;22;23;24;25		1;2;3	1	2	2		
6	10000015;10;0	11301;10;0	11;12;13;14;15		1;2		1	1		
7	10000003;35;1	11401;40;2	41;42;43;44;45		1;2;3;4	1	4	4		
8	10000021;15;0	15301;15;0	11;12;13;14;15		1;2		1	1		
9	10000020;26;1	12401;30;1	31;32;33;34;35		1;2;3	1	3	3		
10	10000006;19;0	14301;19;0	11;12;13;14;15		1;2		1	1		
11	10000016;18;0	12401;18;0	11;12;13;14;15		1;2		1	1		
12	10000025;26;1	11401;30;1	31;32;33;34;35		1;2;3	1	3	3		
13	10000023;16;0	13301;16;0	11;12;13;14;15		1;2		1	1		
14	10000029;26;1	14401;30;1	31;32;33;34;35		1;2;3	1	3	3		
15	10000026;28;1	13401;36;1	31;32;33;34;35		1;2;3	1	3	3		
