定制ID	对应圣遗物ID	定制等级	定制突破等级	定制主属性类别	定制追加属性ID
1	20002	1		12001	
2	20004	1		14001	
11	52211	4		15003	101032;101062;101022
12	52221	4		12001	101032;101062;101022
13	52231	4		13007	101032;101062;101022
14	52241	4		14001	101032;101062;101052
15	52251	4		10001	101032;101062;101052
21	52311	6		15003	201023;201033;201033;201203;201033
22	52321	6		12001	201233;201063;201063;201203;201033
23	52331	6		13007	201233;201063;201063;201203;201033
24	52341	6		14001	201233;201063;201063;201203;201033
25	52351	6		10001	201023;201063;201063;201203;201033
31	52311	10		15004	201023;201033;201033;201203;201033
32	52321	10		12001	201233;201063;201063;201203;201033
33	52331	10		13007	201233;201063;201063;201203;201033
34	52341	10		14001	201233;201063;201063;201203;201033
35	52351	10		10002	201023;201063;201063;201203;201033
41	52312	12		15004	201023;201033;201033;201203;201033
42	52322	12		12001	201233;201063;201063;201203;201033
43	52332	12		13007	201233;201063;201063;201203;201033
44	52342	12		14001	201233;201063;201063;201203;201033
45	52352	12		10002	201023;201063;201063;201203;201033
51	52412	14		15004	201023;201033;201033;201203;201033
52	52422	14		12001	201233;201063;201063;201203;201033
53	52432	14		13007	201233;201063;201063;201203;201033
54	52442	14		14001	201233;201063;201063;201203;201033
55	52452	14		10002	201023;201063;201063;201203;201033
61	52413	16		15004	201023;201033;201033;201203;201033
62	52423	16		12001	201233;201063;201063;201203;201033
63	52433	16		13007	201233;201063;201063;201203;201033
64	52443	16		14001	201233;201063;201063;201203;201033
65	52453	16		10002	201023;201063;201063;201203;201033
71	52513	16		15004	201023;201033;201033;201203;201033
72	52523	16		12001	201233;201063;201063;201203;201033
73	52533	16		13007	201233;201063;201063;201203;201033
74	52543	16		14001	201233;201063;201063;201203;201033
75	52553	16		10002	201023;201063;201063;201203;201033
81	52514	18		15004	201023;201033;201033;201203;201033
82	52524	18		12001	201233;201063;201063;201203;201033
83	52534	18		13007	201233;201063;201063;201203;201033
84	52544	18		14001	201233;201063;201063;201203;201033
85	52554	18		10002	201023;201063;201063;201203;201033
91	52514	20		15004	201023;201033;201033;201203;201033
92	52524	20		12001	201233;201063;201063;201203;201033
93	52534	20		13007	201233;201063;201063;201203;201033
94	52544	20		14001	201233;201063;201063;201203;201033
95	52554	20		10002	201023;201063;201063;201203;201033
