等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值	[曲线]7类型	[曲线]7运算	[曲线]7值	[曲线]8类型	[曲线]8运算	[曲线]8值	[曲线]9类型	[曲线]9运算	[曲线]9值	[曲线]10类型	[曲线]10运算	[曲线]10值	[曲线]11类型	[曲线]11运算	[曲线]11值	[曲线]12类型	[曲线]12运算	[曲线]12值	[曲线]13类型	[曲线]13运算	[曲线]13值	[曲线]14类型	[曲线]14运算	[曲线]14值	[曲线]15类型	[曲线]15运算	[曲线]15值	[曲线]16类型	[曲线]16运算	[曲线]16值	[曲线]17类型	[曲线]17运算	[曲线]17值	[曲线]18类型	[曲线]18运算	[曲线]18值
1	1101	2	1	1102	2	1	1103	2	1	1104	2	1	1105	2	1	2101	2	1	1201	2	1	1202	2	1	1203	2	1	1204	2	1	1205	2	1	2201	2	1	1301	2	1	1302	2	1	1303	2	1	1304	2	1	1305	2	1	2301	2	1
2	1101	2	1.063	1102	2	1.07	1103	2	1.083	1104	2	1.056	1105	2	1.052	2101	2	1	1201	2	1.073	1202	2	1.081	1203	2	1.095	1204	2	1.066	1205	2	1.061	2201	2	1	1301	2	1.084	1302	2	1.093	1303	2	1.109	1304	2	1.075	1305	2	1.07	2301	2	1
3	1101	2	1.126	1102	2	1.14	1103	2	1.166	1104	2	1.111	1105	2	1.104	2101	2	1	1201	2	1.147	1202	2	1.162	1203	2	1.189	1204	2	1.131	1205	2	1.123	2201	2	1	1301	2	1.168	1302	2	1.186	1303	2	1.218	1304	2	1.149	1305	2	1.139	2301	2	1
4	1101	2	1.189	1102	2	1.21	1103	2	1.249	1104	2	1.167	1105	2	1.156	2101	2	1	1201	2	1.22	1202	2	1.243	1203	2	1.284	1204	2	1.197	1205	2	1.184	2201	2	1	1301	2	1.252	1302	2	1.279	1303	2	1.327	1304	2	1.224	1305	2	1.209	2301	2	1
5	1101	2	1.252	1102	2	1.28	1103	2	1.332	1104	2	1.223	1105	2	1.207	2101	2	1.102	1201	2	1.294	1202	2	1.324	1203	2	1.379	1204	2	1.262	1205	2	1.245	2201	2	1.102	1301	2	1.337	1302	2	1.372	1303	2	1.436	1304	2	1.298	1305	2	1.278	2301	2	1.102
6	1101	2	1.315	1102	2	1.351	1103	2	1.415	1104	2	1.279	1105	2	1.259	2101	2	1.102	1201	2	1.367	1202	2	1.405	1203	2	1.473	1204	2	1.328	1205	2	1.307	2201	2	1.102	1301	2	1.421	1302	2	1.465	1303	2	1.545	1304	2	1.373	1305	2	1.348	2301	2	1.102
7	1101	2	1.379	1102	2	1.421	1103	2	1.498	1104	2	1.334	1105	2	1.311	2101	2	1.102	1201	2	1.441	1202	2	1.486	1203	2	1.568	1204	2	1.393	1205	2	1.368	2201	2	1.102	1301	2	1.505	1302	2	1.558	1303	2	1.653	1304	2	1.448	1305	2	1.417	2301	2	1.102
8	1101	2	1.442	1102	2	1.491	1103	2	1.581	1104	2	1.39	1105	2	1.363	2101	2	1.102	1201	2	1.514	1202	2	1.567	1203	2	1.663	1204	2	1.459	1205	2	1.429	2201	2	1.102	1301	2	1.589	1302	2	1.651	1303	2	1.762	1304	2	1.522	1305	2	1.487	2301	2	1.102
9	1101	2	1.505	1102	2	1.561	1103	2	1.664	1104	2	1.446	1105	2	1.415	2101	2	1.102	1201	2	1.588	1202	2	1.648	1203	2	1.757	1204	2	1.524	1205	2	1.491	2201	2	1.102	1301	2	1.673	1302	2	1.744	1303	2	1.871	1304	2	1.597	1305	2	1.556	2301	2	1.102
10	1101	2	1.568	1102	2	1.631	1103	2	1.747	1104	2	1.501	1105	2	1.467	2101	2	1.236	1201	2	1.661	1202	2	1.729	1203	2	1.852	1204	2	1.59	1205	2	1.552	2201	2	1.236	1301	2	1.757	1302	2	1.837	1303	2	1.98	1304	2	1.671	1305	2	1.626	2301	2	1.236
11	1101	2	1.631	1102	2	1.701	1103	2	1.83	1104	2	1.557	1105	2	1.519	2101	2	1.236	1201	2	1.735	1202	2	1.81	1203	2	1.947	1204	2	1.655	1205	2	1.613	2201	2	1.236	1301	2	1.842	1302	2	1.93	1303	2	2.089	1304	2	1.746	1305	2	1.695	2301	2	1.236
12	1101	2	1.694	1102	2	1.771	1103	2	1.913	1104	2	1.613	1105	2	1.57	2101	2	1.236	1201	2	1.808	1202	2	1.891	1203	2	2.041	1204	2	1.721	1205	2	1.675	2201	2	1.236	1301	2	1.926	1302	2	2.023	1303	2	2.198	1304	2	1.821	1305	2	1.765	2301	2	1.236
13	1101	2	1.757	1102	2	1.841	1103	2	1.996	1104	2	1.669	1105	2	1.622	2101	2	1.236	1201	2	1.882	1202	2	1.972	1203	2	2.136	1204	2	1.786	1205	2	1.736	2201	2	1.236	1301	2	2.01	1302	2	2.116	1303	2	2.307	1304	2	1.895	1305	2	1.834	2301	2	1.236
14	1101	2	1.82	1102	2	1.911	1103	2	2.079	1104	2	1.724	1105	2	1.674	2101	2	1.236	1201	2	1.955	1202	2	2.053	1203	2	2.231	1204	2	1.852	1205	2	1.798	2201	2	1.236	1301	2	2.094	1302	2	2.209	1303	2	2.416	1304	2	1.97	1305	2	1.904	2301	2	1.236
15	1101	2	1.883	1102	2	1.981	1103	2	2.162	1104	2	1.78	1105	2	1.726	2101	2	1.376	1201	2	2.029	1202	2	2.134	1203	2	2.325	1204	2	1.917	1205	2	1.859	2201	2	1.376	1301	2	2.178	1302	2	2.303	1303	2	2.525	1304	2	2.044	1305	2	1.973	2301	2	1.376
16	1101	2	1.946	1102	2	2.052	1103	2	2.245	1104	2	1.836	1105	2	1.778	2101	2	1.376	1201	2	2.102	1202	2	2.215	1203	2	2.42	1204	2	1.983	1205	2	1.92	2201	2	1.376	1301	2	2.262	1302	2	2.396	1303	2	2.634	1304	2	2.119	1305	2	2.043	2301	2	1.376
17	1101	2	2.01	1102	2	2.122	1103	2	2.328	1104	2	1.891	1105	2	1.83	2101	2	1.376	1201	2	2.176	1202	2	2.296	1203	2	2.515	1204	2	2.048	1205	2	1.982	2201	2	1.376	1301	2	2.347	1302	2	2.489	1303	2	2.743	1304	2	2.194	1305	2	2.112	2301	2	1.376
18	1101	2	2.073	1102	2	2.192	1103	2	2.411	1104	2	1.947	1105	2	1.881	2101	2	1.376	1201	2	2.249	1202	2	2.377	1203	2	2.609	1204	2	2.114	1205	2	2.043	2201	2	1.376	1301	2	2.431	1302	2	2.582	1303	2	2.851	1304	2	2.268	1305	2	2.182	2301	2	1.376
19	1101	2	2.136	1102	2	2.262	1103	2	2.494	1104	2	2.003	1105	2	1.933	2101	2	1.376	1201	2	2.323	1202	2	2.458	1203	2	2.704	1204	2	2.18	1205	2	2.104	2201	2	1.376	1301	2	2.515	1302	2	2.675	1303	2	2.96	1304	2	2.343	1305	2	2.251	2301	2	1.376
20	1101	2	2.199	1102	2	2.332	1103	2	2.577	1104	2	2.059	1105	2	1.985	2101	2	1.524	1201	2	2.396	1202	2	2.539	1203	2	2.799	1204	2	2.245	1205	2	2.166	2201	2	1.524	1301	2	2.599	1302	2	2.768	1303	2	3.069	1304	2	2.417	1305	2	2.321	2301	2	1.524
21	1101	2	2.268	1102	2	2.41	1103	2	2.673	1104	2	2.117	1105	2	2.039	2101	2	1.524	1201	2	2.478	1202	2	2.631	1203	2	2.909	1204	2	2.316	1205	2	2.231	2201	2	1.524	1301	2	2.694	1302	2	2.874	1303	2	3.198	1304	2	2.499	1305	2	2.395	2301	2	1.524
22	1101	2	2.336	1102	2	2.489	1103	2	2.769	1104	2	2.176	1105	2	2.092	2101	2	1.524	1201	2	2.56	1202	2	2.723	1203	2	3.02	1204	2	2.387	1205	2	2.296	2201	2	1.524	1301	2	2.788	1302	2	2.981	1303	2	3.327	1304	2	2.58	1305	2	2.469	2301	2	1.524
23	1101	2	2.405	1102	2	2.567	1103	2	2.865	1104	2	2.235	1105	2	2.145	2101	2	1.524	1201	2	2.641	1202	2	2.815	1203	2	3.131	1204	2	2.458	1205	2	2.361	2201	2	1.524	1301	2	2.883	1302	2	3.088	1303	2	3.455	1304	2	2.661	1305	2	2.544	2301	2	1.524
24	1101	2	2.474	1102	2	2.645	1103	2	2.961	1104	2	2.293	1105	2	2.199	2101	2	1.524	1201	2	2.723	1202	2	2.907	1203	2	3.242	1204	2	2.528	1205	2	2.426	2201	2	1.524	1301	2	2.977	1302	2	3.195	1303	2	3.584	1304	2	2.743	1305	2	2.618	2301	2	1.524
25	1101	2	2.543	1102	2	2.724	1103	2	3.057	1104	2	2.352	1105	2	2.252	2101	2	1.681	1201	2	2.805	1202	2	2.999	1203	2	3.352	1204	2	2.599	1205	2	2.491	2201	2	1.681	1301	2	3.072	1302	2	3.302	1303	2	3.712	1304	2	2.824	1305	2	2.692	2301	2	1.681
