ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	武器种类	武器阶数	武器材质	元素类型	金武器	武器初始经验	初始技能词缀1	初始技能词缀2	[属性]1类型	[属性]1初始值	[属性]1成长曲线	[属性]2类型	[属性]2初始值	[属性]2成长曲线	武器突破ID	精炼摩拉消耗	$#VersionBegin	$#VersionEnd
11101	4	1	10	50011101	0			武器	1	1				600			4	23.861	1101		0	2101	11101			
11201	4	1	10	50011201	0			武器	1	2				1200			4	33.803	1101		0	2101	11201			
11301	4	1	10	50011301	0			武器	1	3				1800	111301		4	39.767941	1101	6	0.0646	2101	11301	500,1000,2000,4000		
11302	4	1	10	50011302	0			武器	1	3				1800	111302		4	39.767941	1101	22	0.097	2101	11302	500,1000,2000,4000		
11303	4	1	10	50011303	0			武器	1	3				1800	111303		4	40.869614	1102	9	0.053813	2101	11303	500,1000,2000,4000		
11304	4	1	10	50011304	0			武器	1	3				1800	111304		4	39.767941	1101	28	16.1492	2101	11304	500,1000,2000,4000		
11305	4	1	10	50011305	0			武器	1	3				1800	111305		4	39.767941	1101	6	0.0646	2101	11305	500,1000,2000,4000		
11306	4	1	10	50011306	0			武器	1	3				1800	111306		4	38.669565	1104	23	0.095709	2101	11306	500,1000,2000,4000		
11401	4	1	10	50011401	0			武器	1	4				100000	111401		4	40.552246	1204	23	0.112505	2201	11401	1000,2000,4000,8000		
11402	4	1	10	50011402	0			武器	1	4				100000	111402		4	41.844453	1201	6	0.076	2201	11402	1000,2000,4000,8000		
11403	4	1	10	50011403	0			武器	1	4				100000	111403		4	40.552246	1204	3	0.101308	2201	11403	1000,2000,4000,8000		
11404	4	1	10	50011404	0			武器	1	4				100000	111404		4	41.844453	1201	22	0.114	2201	11404	1000,2000,4000,8000		
11405	4	1	10	50011405	0			武器	1	4				100000	111405		4	41.844453	1201	20	0.0634	2201	11405	1000,2000,4000,8000		
11406	4	1	10	50011406	0			武器	1	4				100000	111406		4	43.140539	1202	30	0.075924	2201	11406	1000,2000,4000,8000		
11407	4	1	10	50011407	0			武器	1	4			1	100000	111407		4	41.844453	1201	6	0.076	2201	11407	1000,2000,4000,8000		
11408	4	1	10	50011408	0			武器	1	4			1	100000	111408		4	43.140539	1202	30	0.075924	2201	11408	1000,2000,4000,8000		
11501	4	1	10	50011501	0			武器	1	5			1	500000	111501		4	45.332518	1302	28	16.449401	2301	11501	2000,4000,8000,16000		
