等级	武器升级经验1	武器升级经验2	武器升级经验3	武器升级经验4	武器升级经验5
1	125	250	325	400	475
2	200	375	500	625	750
3	275	550	725	900	1075
4	350	725	950	1200	1450
5	475	925	1250	1550	1850
6	575	1175	1550	1950	2350
7	700	1400	1875	2350	2825
8	850	1675	2250	2800	3350
9	1000	1975	2650	3300	3950
10	1150	2275	3050	3800	4550
11	1300	2600	3475	4350	5225
12	1475	2950	3950	4925	5900
13	1650	3325	4425	5525	6625
14	1850	3700	4925	6150	7375
15	2050	4075	5450	6800	8150
16	2250	4500	6000	7500	9000
17	2450	4925	6550	8200	9850
18	2675	5375	7150	8950	10750
19	2925	5825	7775	9725	11675
20	3150	6300	8400	10500	12600
21	4075	8150	10875	13600	16325
22	4375	8750	11675	14600	17525
23	4700	9400	12525	15650	18775
24	5025	10050	13400	16750	20100
25	5350	10700	14275	17850	21425
26	5700	11400	15200	19000	22800
27	6050	12100	16150	20175	24200
28	6425	12825	17100	21375	25650
29	6800	13575	18100	22625	27150
30	7175	14325	19100	23875	28650
31	7550	15100	20150	25175	30200
32	7950	15900	21200	26500	31800
33	8375	16725	22300	27875	33450
34	8775	17550	23400	29250	35100
35	9200	18400	24550	30675	36800
36	9650	19275	25700	32125	38550
37	10075	20150	26875	33600	40325
38	10525	21050	28075	35100	42125
39	11000	22000	29325	36650	43975
40	11475	22925	30575	38225	45875
41	14325	28675	38225	47775	57325
42	14925	29825	39775	49725	59675
43	15525	31025	41375	51725	62075
44	16125	32250	43000	53750	64500
45	16750	33475	44650	55800	66950
46	17375	34750	46325	57900	69475
47	18000	36025	48025	60025	72025
48	18650	37300	49750	62175	74600
49	19325	38625	51500	64375	77250
50	20000	39975	53300	66625	79950
51	20675	41325	55100	68875	82650
52	21350	42725	56950	71200	85450
53	22050	44125	58825	73525	88225
54	22775	45550	60725	75900	91075
55	23500	46975	62650	78300	93950
56	24225	48450	64600	80750	96900
57	24975	49925	66575	83225	99875
58	25725	51425	68575	85725	102875
59	26475	52975	70625	88275	105925
60	27250	54500	72675	90850	109025
61	33650	67300	89750	112175	134600
62	34600	69200	92275	115350	138425
63	35575	71150	94850	118575	142300
64	36550	73100	97450	121825	146200
65	37550	75075	100100	125125	150150
66	38550	77075	102775	128475	154175
67	39550	79100	105475	131850	158225
68	40575	81175	108225	135275	162325
69	41625	83225	110975	138725	166475
70	42675	85325	113775	142225	170675
71	43725	87475	116625	145775	174925
72	44800	89600	119475	149350	179225
73	45900	91775	122375	152975	183575
74	47000	94000	125325	156650	187975
75	48100	96200	128275	160350	192425
76	49225	98450	131275	164100	196925
77	50375	100725	134300	167875	201450
78	51500	103025	137350	171700	206050
79	52675	105350	140450	175575	210700
80	53850	107675	143575	179475	215375
81	69350	138675	184900	231125	277350
82	74375	148775	198350	247950	297550
83	79775	159575	212750	265950	319150
84	85550	171100	228150	285175	342200
85	91725	183425	244575	305725	366875
86	98300	196600	262150	327675	393200
87	105350	210675	280900	351125	421350
88	112850	225700	300950	376175	451400
89	120875	241750	322325	402900	483475
90	129450	258875	345175	431475	517775
