武器突破ID	突破等级	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	突破消耗金币	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	[增加属性]4类型	[增加属性]4值	[增加属性]5类型	[增加属性]5值	突破后解锁等级上限	冒险等级要求
11101	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11101	1	114001	3	112014	3	112011	2	5000	4	19.5	20	0	22	0	23	0	28	0	40	12
11101	2	114002	5	112014	12	112011	12	15000	4	42.8	20	0	22	0	23	0	28	0	60	25
11101	3	114003	5	112015	15	112012	15	20000	4	70	20	0	22	0	23	0	28	0	70	35
11201	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11201	1	114005	3	112020	3	112002	2	15000	4	19.5	20	0	22	0	23	0	28	0	40	12
11201	2	114006	5	112020	12	112002	12	30000	4	42.8	20	0	22	0	23	0	28	0	60	25
11201	3	114007	5	112021	15	112003	15	40000	4	70	20	0	22	0	23	0	28	0	70	35
11301	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11301	1	114001	3	112014	3	112011	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
11301	2	114002	5	112014	12	112011	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
11301	3	114003	5	112015	15	112012	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
11301	4	114004	5	112016	18	112013	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
11302	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11302	1	114005	3	112020	3	112002	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
11302	2	114006	5	112020	12	112002	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
11302	3	114007	5	112021	15	112003	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
11302	4	114008	5	112022	18	112004	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
11303	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11303	1	114009	3	112023	3	112008	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
11303	2	114010	5	112023	12	112008	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
11303	3	114011	5	112024	15	112009	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
11303	4	114012	5	112025	18	112010	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
11304	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11304	1	114013	3	112029	3	112011	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
11304	2	114014	5	112029	12	112011	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
11304	3	114015	5	112030	15	112012	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
11304	4	114016	5	112031	18	112013	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
11305	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11305	1	114017	3	112026	3	112002	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
11305	2	114018	5	112026	12	112002	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
11305	3	114019	5	112027	15	112003	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
11305	4	114020	5	112028	18	112004	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
11306	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11306	1	114021	3	112029	3	112008	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
11306	2	114022	5	112029	12	112008	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
11306	3	114023	5	112030	15	112009	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
11306	4	114024	5	112031	18	112010	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
11401	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11401	1	114001	3	112014	3	112005	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
11401	2	114002	5	112014	12	112005	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
11401	3	114003	5	112015	15	112006	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
11401	4	114004	5	112016	18	112007	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
11402	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11402	1	114005	3	112020	3	112011	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
11402	2	114006	5	112020	12	112011	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
11402	3	114007	5	112021	15	112012	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
11402	4	114008	5	112022	18	112013	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
11403	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11403	1	114009	3	112023	3	112002	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
11403	2	114010	5	112023	12	112002	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
11403	3	114011	5	112024	15	112003	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
11403	4	114012	5	112025	18	112004	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
11404	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11404	1	114001	3	112014	3	112008	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
11404	2	114002	5	112014	12	112008	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
11404	3	114003	5	112015	15	112009	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
11404	4	114004	5	112016	18	112010	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
11405	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11405	1	114013	3	112026	3	112005	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
11405	2	114014	5	112026	12	112005	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
11405	3	114015	5	112027	15	112006	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
11405	4	114016	5	112028	18	112007	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
11406	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11406	1	114017	3	112029	3	112011	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
11406	2	114018	5	112029	12	112011	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
11406	3	114019	5	112030	15	112012	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
11406	4	114020	5	112031	18	112013	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
11407	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11407	1	114021	3	112026	3	112002	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
11407	2	114022	5	112026	12	112002	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
11407	3	114023	5	112027	15	112003	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
11407	4	114024	5	112028	18	112004	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
11408	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11408	1	114013	3	112029	3	112008	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
11408	2	114014	5	112029	12	112008	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
11408	3	114015	5	112030	15	112009	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
11408	4	114016	5	112031	18	112010	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
11501	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11501	1	114005	3	112020	3	112005	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
11501	2	114006	5	112020	12	112005	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
11501	3	114007	5	112021	15	112006	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
11501	4	114008	5	112022	18	112007	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
11502	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11502	1	114009	3	112023	3	112011	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
11502	2	114010	5	112023	12	112011	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
11502	3	114011	5	112024	15	112012	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
11502	4	114012	5	112025	18	112013	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
11503	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11503	1	114001	3	112014	3	112002	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
11503	2	114002	5	112014	12	112002	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
11503	3	114003	5	112015	15	112003	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
11503	4	114004	5	112016	18	112004	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
11504	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11504	1	114005	3	112020	3	112008	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
11504	2	114006	5	112020	12	112008	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
11504	3	114007	5	112021	15	112009	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
11504	4	114008	5	112022	18	112010	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
11505	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11505	1	114017	3	112026	3	112005	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
11505	2	114018	5	112026	12	112005	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
11505	3	114019	5	112027	15	112006	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
11505	4	114020	5	112028	18	112007	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
11506	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11506	1	114021	3	112029	3	112011	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
11506	2	114022	5	112029	12	112011	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
11506	3	114023	5	112030	15	112012	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
11506	4	114024	5	112031	18	112013	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
11507	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
11507	1	114013	3	112026	3	112002	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
11507	2	114014	5	112026	12	112002	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
11507	3	114015	5	112027	15	112003	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
11507	4	114016	5	112028	18	112004	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
12101	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12101	1	114009	3	112023	3	112008	2	5000	4	19.5	20	0	22	0	23	0	28	0	40	12
12101	2	114010	5	112023	12	112008	12	15000	4	42.8	20	0	22	0	23	0	28	0	60	25
12101	3	114011	5	112024	15	112009	15	20000	4	70	20	0	22	0	23	0	28	0	70	35
12201	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12201	1	114001	3	112014	3	112005	2	15000	4	19.5	20	0	22	0	23	0	28	0	40	12
12201	2	114002	5	112014	12	112005	12	30000	4	42.8	20	0	22	0	23	0	28	0	60	25
12201	3	114003	5	112015	15	112006	15	40000	4	70	20	0	22	0	23	0	28	0	70	35
12301	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12301	1	114009	3	112023	3	112005	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
12301	2	114010	5	112023	12	112005	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
12301	3	114011	5	112024	15	112006	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
12301	4	114012	5	112025	18	112007	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
12302	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12302	1	114001	3	112014	3	112011	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
12302	2	114002	5	112014	12	112011	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
12302	3	114003	5	112015	15	112012	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
12302	4	114004	5	112016	18	112013	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
12303	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12303	1	114005	3	112020	3	112002	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
12303	2	114006	5	112020	12	112002	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
12303	3	114007	5	112021	15	112003	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
12303	4	114008	5	112022	18	112004	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
12304	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12304	1	114017	3	112029	3	112008	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
12304	2	114018	5	112029	12	112008	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
12304	3	114019	5	112030	15	112009	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
12304	4	114020	5	112031	18	112010	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
12305	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12305	1	114021	3	112026	3	112005	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
12305	2	114022	5	112026	12	112005	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
12305	3	114023	5	112027	15	112006	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
12305	4	114024	5	112028	18	112007	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
12306	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12306	1	114013	3	112029	3	112011	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
12306	2	114014	5	112029	12	112011	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
12306	3	114015	5	112030	15	112012	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
12306	4	114016	5	112031	18	112013	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
12401	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12401	1	114009	3	112023	3	112008	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
12401	2	114010	5	112023	12	112008	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
12401	3	114011	5	112024	15	112009	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
12401	4	114012	5	112025	18	112010	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
12402	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12402	1	114001	3	112014	3	112005	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
12402	2	114002	5	112014	12	112005	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
12402	3	114003	5	112015	15	112006	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
12402	4	114004	5	112016	18	112007	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
12403	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12403	1	114005	3	112020	3	112011	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
12403	2	114006	5	112020	12	112011	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
12403	3	114007	5	112021	15	112012	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
12403	4	114008	5	112022	18	112013	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
12404	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12404	1	114009	3	112023	3	112002	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
12404	2	114010	5	112023	12	112002	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
12404	3	114011	5	112024	15	112003	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
12404	4	114012	5	112025	18	112004	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
12405	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12405	1	114017	3	112026	3	112002	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
12405	2	114018	5	112026	12	112002	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
12405	3	114019	5	112027	15	112003	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
12405	4	114020	5	112028	18	112004	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
12406	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12406	1	114021	3	112029	3	112008	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
12406	2	114022	5	112029	12	112008	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
12406	3	114023	5	112030	15	112009	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
12406	4	114024	5	112031	18	112010	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
12407	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12407	1	114013	3	112026	3	112005	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
12407	2	114014	5	112026	12	112005	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
