ID	GadgetID	默认是否开启	TemplateName	Priority	区域环境配置	DefaultWeather	是否固定使用DefaultWeather
1	70020001	1	Weather_Sunny	100	Data/Environment/MengdeAreaDefault03	1	1
2	70020002	1	Weather_WindDragon	100	Data/Environment/WindDragonEnviroArea	2	1
3	70020003	0	Weather_MengDeInStorm	100	Data/Environment/MengDeInStorm	1	1
4		1	Weather_Standard	100	Data/Environment/Enviro_MengDeWolfBoss	2	1
1000		1	Weather_Standard	5	Data/Environment/MengdeAreaDefault03	1	0
1001		1	Weather_Standard	10	Data/Environment/MengdeAreaDefault03	1	0
1002		1	Weather_Standard	10	Data/Environment/MengdeAreaDefault03	1	0
1003		1	Weather_Standard	10	Data/Environment/MengdeAreaDefault03	1	0
1004		1	Weather_Standard	10	Data/Environment/MengdeAreaDefault03	1	0
1005		1	Weather_Standard	50	Data/Environment/MengdeAreaDefault03	1	0
1006		1	Weather_City	25	Data/Environment/MengdeAreaDefault03	1	0
1007		1	Weather_WindDragon	2000	Data/Environment/WindDragonEnviroArea	2	1
2000		1	Weather_Standard	5	Data/Environment/LiyueAreaDefault02	1	0
2001		1	Weather_LiYueAreaQingCeVilla	100	Data/Environment/LiYueAreaQingCeVilla	1	0
2002		1	Weather_Standard	10	Data/Environment/LiyueAreaDefault02	1	0
2003		1	Weather_Standard	10	Data/Environment/LiyueAreaDefault02	1	0
2004		1	Weather_StoneNeedles	10	Data/Environment/LiYueAreaStoneNeedles	1	1
2005		1	Weather_City	10	Data/Environment/LiyueAreaDefault02_City	1	0
2006		1	Weather_Foggy	50	Data/Environment/LiyueAreaDefault02	6	1
2007		1	Weather_Sunny	50	Data/Environment/LiyueLandLakeMaze	1	1
2008		1	Weather_Standard	10	Data/Environment/LiyueAreaLiShaCountrySide	1	0
2009		0	Weather_LiYueAreaYaoGuangTan	100	Data/Environment/LiyueAreaDefault02	6	0
2010		1	Weather_LiYueAreaQingCeVilla	50	Data/Environment/LiYueAreaQingCeVilla	1	0
2011		1	Weather_Standard	50	Data/Environment/LiYueAreaBeachMine	1	1
2012		1	Weather_Sunny	100	Data/Environment/LiyueAreaBlackForest	1	1
2013		1	Weather_Sunny	100	Data/Environment/LiyueAreaSaltOfGround	1	1
90001		1	Weather_ThunderStorm	50	Data/Environment/MengdeAreaDefault03	4	1
3000		1	Weather_Standard	50	Data/Environment/Level/Level_XianglingPlotLevel01_EnviroArea	1	1
3001		1	Weather_Standard	50	Data/Environment/Level/Level_XianglingPlotLevel01_EnviroArea_1	1	1
