条目ID	场景ID	区域类型	一级区域ID	二级区域ID	默认解锁	对应地标ID	元素属性	地形类型	是否显示跳字	雷达放大	$#VersionBegin	$#VersionEnd
1100	3	1	1		0	7	7		1	1		
1101	3	2	1	101	0				1	1		
1102	3	2	1	102	0			1	1	3		
1103	3	2	1	103	0			2	1	1		
1104	3	2	1	104	0			2	1	1		
1105	3	2	1	105	0			2	1	1		
1106	3	2	1	106	0			2	1	1		
1107	3	2	1	107	0			2	1	1		
1108	3	2	1	108	0			2	1	1		
1109	3	2	1	109	0			2	0	1		
1110	3	2	1	110	0			2	0	1		
1200	3	1	2		0	4	7		1	1		
1201	3	2	2	201	0			2	1	1		
1202	3	2	2	202	0			2	1	1		
1203	3	2	2	203	0			2	1	1		
1204	3	2	2	204	0			2	1	1		
1205	3	2	2	205	0			2	1	1		
1300	3	1	3		0	3	7		1	1		
1301	3	2	3	301	0			1	1	1		
1302	3	2	3	302	0			1	1	1		
1303	3	2	3	303	0			2	1	1		
1400	3	1	4		0	29	7		1	1		
1401	3	2	4	401	0			2	1	1		
1402	3	2	4	402	0			2	1	1		
1403	3	2	4	403	0			2	1	1		
2500	3	1	5		0	72	8		1	1		
2501	3	2	5	501	0			2	1	1		
2502	3	2	5	502	0			2	1	1		
2503	3	2	5	503	0			2	1	1		
2504	3	2	5	504	0			2	1	3		
2505	3	2	5	505	0			2	1	1		
2506	3	2	5	506	0			2	1	1		
2507	3	2	5	507	0			2	1	1		
2508	3	2	5	508	0			2	1	1		
2509	3	2	5	509	0			2	1	1		
2600	3	1	6		0	74	8		1	1		
2601	3	2	6	601	0			2	1	1		
2602	3	2	6	602	0			2	1	1		
2603	3	2	6	603	0			2	1	1		
2604	3	2	6	604	0			2	1	1		
2605	3	2	6	605	0			2	1	1		
2606	3	2	6	606	0			2	1	1		
2607	3	2	6	607	0			2	1	1		
2700	3	1	7		0	73	8		1	1		
2701	3	2	7	701	0			1	1	3		
2702	3	2	7	702	0			2	1	1		
2703	3	2	7	703	0			2	1	1		
2800	3	1	8		0	75	8		1	1		
2801	3	2	8	801	0			2	1	1		
2802	3	2	8	802	0			2	1	1		
2803	3	2	8	803	0			2	1	1		
2804	3	2	8	804	0			2	1	1		
2805	3	2	8	805	0			2	1	1		
