事件ID	场景ID	区域ID	事件类型	参数1	参数2	参数3	探索度权重	探索奖励RewardID
1	3	1	1	7			10	
2	3	1	2	13003063	1330		10	
3	3	1	2	13003001	1346		10	
4	3	1	2	13003010	1372		10	
5	3	1	2	13003004	229		10	
6	3	1	2	13003025	410		10	
7	3	1	2	13003021	1373		10	
8	3	1	2	13003001	1027		10	
9	3	1	2	13003044	1069		10	
10	3	1	2	13003044	1070		10	
11	3	1	2	13003044	1071		10	
12	3	1	2	13003044	1072		10	
13	3	1	2	13003044	1073		10	
14	3	1	2	13003014	1196		10	
15	3	1	2	13003010	1212		10	
16	3	1	3	13003001			10	
17	3	1	3	13003047			10	
18	3	1	3	13003058			10	
19	3	1	3	13003028			10	
20	3	1	3	13003064			10	
21	3	1	4	100001			10	
22	3	1	4	100012			10	
23	3	1	4	100013			10	
24	3	1	4	100014			10	
25	3	1	4	100015			10	
26	3	1	4	100016			10	
27	3	1	4	100017			10	
28	3	1	4	100018			10	
29	3	1	4	100011			10	
30	3	1	4	100021			10	
31	3	1	4	100031			10	
32	3	1	4	100041			10	
33	3	1	4	100051			10	
34	3	1	4	100052			10	
35	3	1	4	100061			10	
36	3	1	4	101001			10	
37	3	1	4	101002			10	
38	3	1	4	101003			10	
39	3	2	5	1			10	
40	3	2	1	4			10	
41	3	2	2	13001029	510		10	
42	3	2	2	13001034	528		10	
43	3	2	2	13001037	606		10	
44	3	2	2	13001041	671		10	
45	3	2	2	13001010	58		10	
46	3	2	2	13001002	73		10	
47	3	2	2	13001014	91		10	
48	3	2	2	13001027	472		10	
49	3	2	2	13001030	511		10	
50	3	2	2	13001036	589		10	
51	3	2	2	13001042	803		10	
52	3	2	2	13001031	816		10	
53	3	2	3	13001020			10	
54	3	2	3	13001039			10	
55	3	2	3	13001019			10	
56	3	2	3	13001001			10	
57	3	2	3	13001009			10	
58	3	2	3	13001015			10	
59	3	2	4	100001			10	
60	3	2	4	100012			10	
61	3	2	4	100013			10	
62	3	2	4	100014			10	
63	3	2	4	100015			10	
64	3	2	4	100016			10	
65	3	2	4	100017			10	
66	3	2	4	100018			10	
67	3	2	4	100011			10	
68	3	2	4	100021			10	
69	3	2	4	100031			10	
70	3	2	4	100041			10	
71	3	2	4	100051			10	
72	3	2	4	100052			10	
73	3	2	4	100061			10	
74	3	2	4	101001			10	
75	3	2	4	101002			10	
76	3	2	4	101003			10	
77	3	3	1	3			10	
78	3	4	1	29			10	
