提示台词ID	停留显示时长	$#VersionBegin	$#VersionEnd
1003	4		
1004	5		
1105001	1		
1105002	1		
1106001	1		
1106002	1		
1106003	1		
1107001	6		
1107002	6		
1107003	6		
1109001	15		
1109002	3		
1109004	5		
1109005	3	0.2	
1109006	5	0.2	
1109007	5	0.2	
1109008	5		
1109009	5		
1109010	5		
1109011	5		
1109012	5		0.1
1109013	5		
1109014	5		
1110004	3		
1110005	3		
1110006	3		
1110007	3		
1110008	3		
1110009	3		
1110010	3		
1110011	3		
1110012	3		
1110013	3		
1110014	3		
1110015	3		
1110016	3		
1110017	3		
1110018	3		
1110019	3		
1110020	3		
1110021	3		
1110022	3		
1110023	3		
1110024	3		
1110025	3		
1110026	3		
1110027	3		
1110028	3		
1110029	3		
1110030	3		
1110031	3		
1110032	3		
1110033	3		
1110034	3		
1110100	3		
1110101	3		
1110102	3		
1110103	3		
1110104	3		
1110035	3		
1110038	3		
1110039	3		
1110042	3		
1110036	3		
1110037	3		
1110040	3		
1110041	3		
1110043	3		
1120001	3		
1120002	3		
1120003	3		
1120004	3		
1120005	3		
1110044	3		
1110045	3		
1110046	3		
1110070	3		
1110071	3		
1110051	2		
1110052	3		
1110053	3		
1110054	2		
1110055	3		
1110056	3		
1110057	2		
1110058	3		
1110059	3		
1110061	2		
1110062	3		
1110063	3		
1110072	3		
1110073	3		
1110064	2		
1110065	3		
1110066	3		
1110074	3		
1110075	3		
1110076	3		
1110077	3		
1110078	3		
1110079	3		
1110080	3		
1110081	3		
1110082	3		
1110083	3		
1110084	3		
1110085	3		
1110086	3		
1110087	3		
1110092	3		
1110093	3		
1110094	3		
30020101	5		
30020102	5		
30020103	7		
30020104	2		
30020111	2		
30020112	3		
30020113	4		
30020114	4		
30020115	7		
30020121	2		
30020122	3		
31050101	5		
31050201	5		
31050202	5		
31050203	5		
31050204	5		
31040101	5		
31040102	5		
31040103	5		
31040104	5		
31040110	5		
31040111	5		
31040112	5		
31040121	5		
31040120	5		
31040131	5		
31040132	5		
31040133	5		
31040134	5		
31040135			
31040141	5		
31040142	5		
31040150	5		
31040160	5		
31040170	5		
31040190	5		
31040195	5		
31040191	5		
31040196	5		
31040192	5		
31040197	5		
31040193	5		
31040194	5		
31040198	5		
31040206	5		0.1
31040207	5		0.1
31040208	5		0.1
31040301	5		
31040302	5		
31040303	5		
31040401	5		
31040402	5		
31040403	5		
31040501	5		
31040503	5		
31040504	5		
31040502	5		
31040505	5		
31040506	5		
31040507	5		
31040508	5		
31040509	5		
31040510	5		
31040601	5		
31040602	5		
31040603	5		
31020101	5		
31020102	5		
31020103	5		
31020104	5		
31020105	5		
31020106	5		
31020107	5		
31020108	5		
31020109	5		
31020110	5		
31020201	5		
31020202	5		
31020301	5		
31020401	5		
31020501	5		
31020502	5		
31020601	5		
31020602	5		
31020603	5		
31020604	5		
31020605	5		
31020606	5		
31020607	5		
